Категории;Показывать товар;Артикул;Основная категория;Фотографии;Описание;Цена_Розничная;Короткое название;Характеристики;Бренд;Цена_Зачеркнутая
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510010;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-blesk-dlya-gub-infaillible-101-verh-sovershenstva.jpg;"Блеск для губ Infaillible от LOREAL светло-розовый из линейки кремовых оттенков «Сладкая малышка». Наносится легко, с помощью профессионального моделирующего аппликатора, повторяя каждый изгиб и создавая ультра-глянцевое покрытие. Включает в себя витамины и антиоксиданты, которые ухаживают за губами и оказывают регенерирующее действие. А входящий в состав гиалуроновый комплекс делает контур губ более четким и увеличивает их в объеме, подчеркивая индивидуальность.
</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Оттенок светло-розовый. </li><li> Легко наносится, хорошо держит контур. </li><li> Увлажняет и улучшает состояние губ. </li><li> Увеличивает объем губ. </li><li>Создает эффект влажных губ.</li>";461;LOREAL блеск для губ Infaillible 101 Верх совершенства;"(Характеристики товара)Тип товара:Блеск для губ;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Infaillible;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522995296;
(Характеристики товара)Объем:8 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510011;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-blesk-dlya-gub-infaillible-103-yarkij-protest.jpg;"Профессиональный блеск для губ Infaillible от LOREAL светло-кофейный из линейки кремовых оттенков «Сладкая малышка». Наносится легко, с помощью профессионального моделирующего аппликатора, повторяя каждый изгиб и создавая ультра-глянцевое покрытие. Включает в себя витамины и антиоксиданты, которые ухаживают за губами и оказывают регенерирующее действие. А входящий в состав гиалуроновый комплекс делает контур губ более четким и увеличивает их в объеме, подчеркивая индивидуальность.
</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Оттенок светло-кофейный. </li><li> Легко наносится, хорошо держит контур. </li><li> Увлажняет и улучшает состояние губ. </li><li> Увеличивает объем губ. </li><li>Создает эффект влажных губ.</li>";461;LOREAL блеск для губ Infaillible 103 Яркий протест;"(Характеристики товара)Тип товара:Блеск для губ;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Infaillible;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522996897;
(Характеристики товара)Объем:8 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510012;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-blesk-dlya-gub-infaillible-109-boris-za-nego.jpg;"Профессиональный блеск для губ Infaillible от LOREAL сочный розовый из линейки кремовых оттенков «Сладкая малышка». Наносится легко, с помощью профессионального моделирующего аппликатора, повторяя каждый изгиб и создавая ультра-глянцевое покрытие. Включает в себя витамины и антиоксиданты, которые ухаживают за губами и оказывают регенерирующее действие. А входящий в состав гиалуроновый комплекс делает контур губ более четким и увеличивает их в объеме, подчеркивая индивидуальность.
</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Оттенок розовый. </li><li> Легко наносится, хорошо держит контур. </li><li> Увлажняет и улучшает состояние губ. </li><li> Увеличивает объем губ. </li><li>Создает эффект влажных губ.</li>";461;LOREAL блеск для губ Infaillible 109 Борись за него;"(Характеристики товара)Тип товара:Блеск для губ;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Infaillible;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522996958;
(Характеристики товара)Объем:8 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510013;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-blesk-dlya-gub-infaillible-211-dragocennij-klub.jpg;"Блеск для губ профессиональной линейки Infaillible от LOREAL. Непревзойденный цвет шампани, из серии ""Обольстительное сияние"", по-летнему сверкающих и переливающихся при естественном свете и искусственном освещении оттенков. Подходит для всех оттенков кожи. Очень естественно и ненавязчиво смотрится на губах, подходит для ежедневного использования. Наносится легко, с помощью профессионального моделирующего аппликатора, повторяя каждый изгиб, создавая ультра-глянцевое покрытие. Включает в себя витамины и антиоксиданты, которые ухаживают за губами и оказывают регенерирующее действие. А входящий в состав гиалуроновый комплекс делает контур губ более четким и увеличивает их в объеме, может служить прекрасным дополнением любого образа.</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Оттенок шампани. </li><li> Легко наносится, хорошо держит контур. </li><li> Увлажняет и улучшает состояние губ. </li><li> Увеличивает объем губ. </li><li>Создает эффект влажных губ.</li>";461;LOREAL блеск для губ Infaillible 211 Драгоценный клуб;"(Характеристики товара)Тип товара:Блеск для губ;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Infaillible;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600523027170;
(Характеристики товара)Объем:8 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510014;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-blesk-dlya-gub-infaillible-401-amin.jpg;"Блеск для губ Infaillible от LOREAL коричневый из линейки роскошных оттенков «Матовое совершенство». Наносится легко, с помощью профессионального моделирующего аппликатора, повторяя каждый изгиб, создавая шелковистое матовое покрытие. Входящий в состав гиалуроновый комплекс делает контур губ более четким и увеличивает их в объеме, дополняя чувственный образ. </p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Оттенок коричневый матовый. </li><li> Легко наносится, хорошо держит контур. </li><li> Увлажняет и улучшает состояние губ. </li><li> Увеличивает объем губ. </li><li>Создает эффект влажных губ.</li>";461;LOREAL блеск для губ Infaillible 401 Аминь;"(Характеристики товара)Тип товара:Блеск для губ;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Infaillible;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522997177;
(Характеристики товара)Объем:8 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510015;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-blesk-dlya-gub-infaillible-505-ne-otpuskaj-menya.jpg;"Блеск для губ из серии «Infaillible Мега Блеск Безупречный» от Лореаль Париж способен удовлетворить каприз любой искушенной красавицы. Изобилие оттенков и текстур открывает неограниченные возможности для ярких экспериментов в области макияжа губ: женственные кремовые, обворожительные сверкающие, спокойные матовые или броские неоновые губы. Блеск дарит губам увлажнение, визуально увеличивает их и комфортно наносится.

Способ использования и нанесения:  Блеск для губ имеет двусторонний моделирующий аппликатор, каждая из сторон которого предназначена для нанесения блеска на одну из губ. Вогнутая сторона аппликатора для нижней губы, выгнутая – для верхней.";461;LOREAL блеск для губ Infaillible 505 не отпускай меня;"(Характеристики товара)Тип товара:Блеск для губ;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Infaillible;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522996828;
(Характеристики товара)Объем:8 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510016;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-balzam-infaillible-sexy-balm-108-nichego-sebe.jpg;Бесконечно соблазнительные губы в любой ситуации! L’Oreal Paris представляет помаду-бальзам Sexy Balm, благодаря которой Вам больше не нужно выбирать между уходом за нежной кожей губ и цветом. Это обязательный продукт для всех, кто не хочет идти на компромисс! Тающая текстура и уникальная формула подарят Вам непревзойденное увлажнение до 12 часов и максимальную защиту, в любую погоду.;393;LOREAL губная помада-бальзам Infaillible Sexy Balm 108 ничего себе!;"(Характеристики товара)Тип товара:Губная помада-бальзам;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Infaillible Sexy Balm;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600523244577;
(Характеристики товара)Вес:14 г";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510017;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-133-bespechnij-rozovij.jpg;"Губная помада Color Riche роскошного розового оттенка «Беспечный розовый». Разработана на основе содержания растительных масел и комплекса витаминов, которые способствуют комфортному нанесению и защите губ. Входящий в состав липидный комплекс обеспечивает насыщенность цветового пигмента и непревзойденную стойкость. А нотки фиалки, жасмина и ириса дарят восхитительный аромат помаде из легендарной натуральной коллекции Color Riche от LOREAL.
</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Цвет розовый. </li><li> Содержит Омега 3 и витамин Е.</li><li> Обладает нежной кремовой текстурой. </li><li> Мягкое нанесение и идеальное закрашивание. </li><li> Хорошо держит контур. </li><li>Стильный дизайн.</li>
<li>101</li>
<li>102</li>
<li>103</li>
<li>106</li>
<li>108</li>
<li>109</li>
<li>110</li>
<li>111</li>
<li>201</li>
<li>202</li>
<li>203</li>
<li>204</li>";469;LOREAL губная помада Color Riche 133 Беспечный розовый;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522851998;
(Характеристики товара)Объем:4,5 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510018;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-232-nezhnij-kashemir.jpg;"Перламутровая губная помада Color Riche золотистого, светло-бежевого оттенка «Нежный кашемир». Разработана на основе содержания растительных масел и комплекса витаминов, которые способствуют комфортному нанесению и защите губ. Входящий в состав липидный комплекс обеспечивает насыщенность цветового пигмента и непревзойденную стойкость. А нотки фиалки, жасмина и ириса дарят восхитительный аромат помаде из легендарной натуральной коллекции Color Riche от LOREAL.
</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Цвет светло-бежевый. </li><li> Содержит Омега 3 и витамин Е.</li><li> Обладает нежной кремовой текстурой. </li><li> Мягкое нанесение и идеальное закрашивание. </li><li> Хорошо держит контур. </li><li>Стильный дизайн.</li>
<li>101</li>
<li>102</li>
<li>103</li>
<li>106</li>
<li>108</li>
<li>109</li>
<li>110</li>
<li>111</li>
<li>201</li>
<li>202</li>
<li>203</li>
<li>204</li>";469;LOREAL губная помада Color Riche 232 Нежный кашемир;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522558095;
(Характеристики товара)Объем:4,5 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510019;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-256-igrivij-rozovij.jpg;"Губная помада Color Riche роскошного розового оттенка «Игривый розовый». Разработана на основе содержания растительных масел и комплекса витаминов, которые способствуют комфортному нанесению и защите губ. Входящий в состав липидный комплекс обеспечивает насыщенность цветового пигмента и непревзойденную стойкость. А нотки фиалки, жасмина и ириса дарят восхитительный аромат помаде из легендарной натуральной коллекции Color Riche от LOREAL.
</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Цвет розовый. </li><li> Содержит Омега 3 и витамин Е.</li><li> Обладает нежной кремовой текстурой. </li><li> Мягкое нанесение и идеальное закрашивание. </li><li> Хорошо держит контур. </li><li>Стильный дизайн.</li>
<li>101</li>
<li>102</li>
<li>103</li>
<li>106</li>
<li>108</li>
<li>109</li>
<li>110</li>
<li>111</li>
<li>201</li>
<li>202</li>
<li>203</li>
<li>204</li>";469;LOREAL губная помада Color Riche 256 Игривый розовый;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522558064;
(Характеристики товара)Объем:4,5 мл";LOREAL;
