"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"HEINZ кетчуп Томатный 0,57 кг;KNORR приправа Для Свинины Хрустящая Корочка 30 г";"FERRAGOSTO горошек консервированный 425 г;ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г;HEINZ фасоль белая 400 г;МАЯК икра сома 125 г;КУБАНОЧКА томаты маринованные 0,72 л;МАЯК икра трески 125 г";"170175";"КОСТРОВОК соус для мяса Брусничный 250 мл"
"HEINZ кетчуп Томатный перевернутый 0,57 кг;KNORR приправа на второе Цезарь с Курицей 30 г";"FERRAGOSTO Кукуруза ж/б 425мл;НЕПТУН Сайра НДМ №6 240г;FERRAGOSTO горошек консервированный 425 г;ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г;HEINZ фасоль белая 400 г;МАЯК икра сома 125 г";"170010";"ДАРЫ КУБАНИ горчица Русская 140 гр"
"HEINZ соус Барбекю 230 мл;KNORR приправа на второе Цыпленок с Чесноком 29 г";"LORADO кукуруза консервированная 425 г;LORADO черника дробленая с сахаром 370 мл;FERRAGOSTO Кукуруза ж/б 425мл;НЕПТУН Сайра НДМ №6 240г;FERRAGOSTO горошек консервированный 425 г;ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г";"170011";"HEINZ горчица Французкая 180 г"
"HEINZ соус Барбекю 250 мл;KNORR приправа на второе Цыпленок в Хрустящей Корочке 29 г";"ПОМИДОРКА лечо 480 мл;LORADO фрукты консервированные Абрикосы Половинки в сиропе 425 мл;LORADO кукуруза консервированная 425 г;LORADO черника дробленая с сахаром 370 мл;FERRAGOSTO Кукуруза ж/б 425мл;НЕПТУН Сайра НДМ №6 240г";"170012";"HEINZ горчица Классическая 185 г"
"HEINZ соус Цезарь 230 мл;KNORR приправа на второе Фрикадельки в Томатном Соусе 44 г";"ПОМИДОРКА  лечо  480 мл;LORADO фрукты консервированные Ананас Кусочки в сиропе 580 мл;ПОМИДОРКА лечо 480 мл;LORADO фрукты консервированные Абрикосы Половинки в сиропе 425 мл;LORADO кукуруза консервированная 425 г;LORADO черника дробленая с сахаром 370 мл";"170013";"БАЛТИМОР кетчуп Адмирал 320 г"
"HEINZ соус Чесночный 230 мл;KNORR приправа на второе Картошка по Деревенски со Сливочно Чесночным Соусом 28 г";"ДОБРОФЛОТ Горбуша Натуральная 245 г;LORADO фрукты консервированные Ананас Кусочки в сиропе 850 мл;ПОМИДОРКА  лечо  480 мл;LORADO фрукты консервированные Ананас Кусочки в сиропе 580 мл;ПОМИДОРКА лечо 480 мл;LORADO фрукты консервированные Абрикосы Половинки в сиропе 425 мл";"170014";"БАЛТИМОР кетчуп Адмирал 530 г"
"HEINZ соус Чесночный 250 мл;KNORR приправа на второе Курица в Лимонном Соусе 21 г";"ДОБРОФЛОТ Сайра Тихоокеанская Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 580 мл;ДОБРОФЛОТ Горбуша Натуральная 245 г;LORADO фрукты консервированные Ананас Кусочки в сиропе 850 мл;ПОМИДОРКА  лечо  480 мл;LORADO фрукты консервированные Ананас Кусочки в сиропе 580 мл";"170015";"БАЛТИМОР кетчуп Цыганский 260 г"
"HEINZ соус Чили 250 г;KNORR приправа на второе Куриные Грудки в Кисло-сладком Соусе По-азиатски 29 г";"ДОБРОФЛОТ Сардина Тихоокеанская ИВАСИ Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 850 мл;ДОБРОФЛОТ Сайра Тихоокеанская Натуральная 245 г;LORADO фрукты консервированные Ананас Шайбы в сиропе 580 мл;ДОБРОФЛОТ Горбуша Натуральная 245 г;LORADO фрукты консервированные Ананас Кусочки в сиропе 850 мл";"170016";"БАЛТИМОР кетчуп Цыганский 530 г"
"HEINZ соус Кисло-сладкий 230 мл;KNORR приправа на второе Лазанья Классическая 41 г";"LORADO оливки зеленые фаршированные креветками 314 мл;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 175 гр;LORADO оливки зеленые без косточек 314 мл;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 160 гр;LORADO огурцы маринованные 6-9 см 720 мл;РЫБНОЕ МЕНЮ Сардинелла натуральная с добавлением масла 230 гр";"170017";"БАЛТИМОР кетчуп Лечо 260 г"
"HEINZ соус Сальса 230 мл;KNORR приправа на второе Макароны в Сливочном Соусе с Гибами 26 г";"LORADO оливки зеленые фаршированные лимоном 314 мл;РЫБНОЕ МЕНЮ Скумбрия атлантическая натуральная с добавлением масла 250 гр;LORADO оливки зеленые фаршированные креветками 314 мл;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 175 гр;LORADO оливки зеленые без косточек 314 мл;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 160 гр";"170018";"БАЛТИМОР кетчуп Шашлычный 260 г"
