"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"ГАДКИЙ Я гель для душа Банан 250 мл";"ЧИСТАЯ ЛИНИЯ бальзам-ополаскиватель Мицеллярный для всех типов волос 5в1 380 мл;LE PETIT MARSEILLAIS Men гель-шампунь для душа Можжевельник и сандал 250 мл + гель-шампунь для душа 250 мл;IKEEP! губка для тела Talia";380070;"CAMAY мыло туалетное DeJour Искрящийся виноград 85 г"
"ГАДКИЙ Я гель для душа Банан 250 мл;МОЯ ПРЕЛЕСТЬ гель-пенка для купания 2 в 1 Капитан Банан 500 мл";"AURA губка для купания Губка Боб;OLD SPICE гель для душа Blocker Sport 250 мл;PANTENE шампунь Блестящие и Шелковистые 250 мл";330027;"ELSEVE бальзам Роскошь 6 масел 400 мл"
"ГАДКИЙ Я гель для душа Банан 250 мл;DURU крем-гель для душа Морские минералы 250 мл";"GLISS KUR экспресс-кондиционер Реновация волос 200 мл;IKEEP! губка для тела Cubi;МИЛК пена для ванн Шоколадная SPA-уход 400 мл";330582;"ПРЕЛЕСТЬ шампунь Укрепление и Защита 500 мл"
"ГАДКИЙ Я гель для душа Банан 250 мл;IKEEP! Мочалка для тела Сфера";"МИЛК пена для ванн Шоколадная Антистресс 400 мл;МИЛК крем-гель для душа Клубничный коктейль 500 мл";330077;"HEAD & SHOULDERS бальзам-ополаскиватель Supreme Увлажнение 275 мл"
"ГАДКИЙ Я гель для душа Тропический микс 250 мл";"FRUCTIS Бальзам-ополаскиватель Густые и роскошные 200 мл;JOHNSON’S Гель для душа Vita-Rich с экстрактом Граната Преображающий 250 мл;AURA губка для купания Губка Боб";330393;"AURA Жидкое мыло антибактериальное с алоэ вера 300 мл"
"ГАДКИЙ Я гель для душа Тропический микс 250 мл";"IKEEP! губка для тела Cubi;GLISS KUR экспресс-кондиционер Магическое Укрепление 200 мл;AURA гель для душа витаминный Апельсин и Лайм 260 мл";330515;"CAMAY мыло туалетное Dynamique Grapefruit Динамик 85 г"
"ГАДКИЙ Я гель для душа Тропический микс 250 мл";"AURA губка для купания Губка Боб;PANTENE бальзам-ополаскиватель 3 Minute Miracle Интенсивное Восстановление 200 мл";330572;"SAFEGUARD мыло Лимон 90 г"
"ГАДКИЙ Я гель для душа Тропический микс 250 мл";"МИЛК пена для ванн Шоколадная Антистресс 400 мл;IKEEP! губка для тела Talia";330665;"ELSEVE шампунь Фибрология 400 мл"
"ГАДКИЙ Я гель для душа Тропический микс 250 мл;AURA губка для купания Губка Боб";"FA пена для ванн Медовый Эликсир 500 мл;SYOSS бальзам-ополаскиватель Volume Lift для Тонких и Ослабленных волос 500 мл;PANTENE Шампунь Очищение и Питание 250 мл";380182;"DURU гель для душа Горная свежесть  250 мл"
"ГАДКИЙ Я гель для душа Тропический микс 250 мл;IKEEP! губка для тела Talia";"PANTENE Бальзам-ополаскиватель Aqua Light 400 мл;ЧИСТАЯ ЛИНИЯ гель для душа массажный 250 мл;PANTENE шампунь-бальзам-уход 3 в 1 Густые и Крепкие 360 мл";330547;"FA туалетное мыло Йогурт Алоэ Вера 90 г"
