"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"LORADO грибы маринованные Опята 314 мл;КАПИТАН МОРЕЙ Тунец натуральный 250 г";"КОСТРОВОК соус для мяса Брусничный 250 мл;КОСТРОВОК маринад для Барбекю 300 г;КОСТРОВОК маринад Чесночый 80 г";"160010";"ГРОДФУД Мясо цыпленка в собственном соку 350 г"
"LORADO икра кабачковая 500 г;МАЯК икра сазана 125 г";"ДАРЫ КУБАНИ горчица Русская 140 гр;КОСТРОВОК маринад для Чесночных Крылышек 60 г;КОСТРОВОК маринад для Барбекю 300 г";"160011";"ГРОДФУД Паштет индюшиный печеночный 100 гр"
"LORADO корнишоны маринованные 3-6 см 370 мл;МАЯК икра сельди 125 г";"HEINZ горчица Французкая 180 г;КОСТРОВОК маринад для Курицы с чесноком и травами 300 г;КОСТРОВОК маринад для Чесночных Крылышек 60 г";"160012";"ГРОДФУД Паштет Куриный Печеночный 100 г"
"LORADO корнишоны маринованные 3-6 см 720 мл;ОТ ИВАНЫЧА килька черноморская неразделанная в томатном соусе 240 г";"HEINZ горчица Классическая 185 г;КОСТРОВОК маринад для Мяса брусничный 300 г;КОСТРОВОК маринад для Курицы с чесноком и травами 300 г";"160013";"ГРОДФУД тушеная говядина 338 г"
"LORADO маслины черные без косточек 314 мл;РЫБНОЕ МЕНЮ Килька балтийская неразделанная в томатном соусе 230 гр";"БАЛТИМОР кетчуп Адмирал 320 г;КОСТРОВОК маринад Кавказский 80 г;КОСТРОВОК маринад для Мяса брусничный 300 г";"160014";"ГРОДФУД Тушеная Свинина 338 г"
"LORADO маслины черные с косточками 314 мл;РЫБНОЕ МЕНЮ Сардина атлантическая натуральная с добавлением масла 230 гр";"БАЛТИМОР кетчуп Адмирал 530 г;БАЛТИМОР кетчуп Адмирал 320 г;HEINZ горчица Классическая 185 г";"160015";"ГРОДФУД Ветчина Европейская 110 г"
"LORADO огурцы маринованные 6-9 см 720 мл;РЫБНОЕ МЕНЮ Сардинелла натуральная с добавлением масла 230 гр";"БАЛТИМОР кетчуп Цыганский 260 г;БАЛТИМОР кетчуп Адмирал 530 г;БАЛТИМОР кетчуп Адмирал 320 г";"160107";"ECOFOOD Долма армянская из говядины 460 г"
"LORADO оливки зеленые без косточек 314 мл;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 160 гр";"БАЛТИМОР кетчуп Цыганский 530 г;БАЛТИМОР кетчуп Цыганский 260 г;БАЛТИМОР кетчуп Адмирал 530 г";"160109";"ECOFOOD Хариса армянская (пшеничная каша с курицей) 500 г"
"LORADO оливки зеленые фаршированные креветками 314 мл;РЫБНОЕ МЕНЮ Шпроты в масле из балтийской кильки 175 гр";"БАЛТИМОР кетчуп Лечо 260 г;БАЛТИМОР кетчуп Цыганский 530 г;БАЛТИМОР кетчуп Цыганский 260 г";"160116";"ECOFOOD Суп Харчо по-армянски из говядины 520 г"
"LORADO оливки зеленые фаршированные лимоном 314 мл;РЫБНОЕ МЕНЮ Скумбрия атлантическая натуральная с добавлением масла 250 гр";"БАЛТИМОР кетчуп Шашлычный 260 г;БАЛТИМОР кетчуп Лечо 260 г;БАЛТИМОР кетчуп Цыганский 530 г";"160117";"ECOFOOD Хаш армянский 525 г"
"LORADO оливки зеленые фаршированные лососем 314 мл;РЫБНОЕ МЕНЮ Скумбрия атлантическая в томатном соусе 230 гр";"БАЛТИМОР кетчуп Татарский 260 г;БАЛТИМОР кетчуп Шашлычный 260 г;БАЛТИМОР кетчуп Лечо 260 г";"170251";"ГРОДФУД паштет Классический 100 г"
"LORADO шампиньоны Отборные целые 425 мл;ECOFOOD Осетр в собственном соку 240 г";"БАЛТИМОР кетчуп Татарский 530 г;БАЛТИМОР кетчуп Татарский 260 г;БАЛТИМОР кетчуп Шашлычный 260 г";"170252";"ГРОДФУД конина тушеная 338 г"
"LORADO шампиньоны резаные 3,1 л;ECOFOOD Осетр в оливковом масле с рисом 240 г";"БАЛТИМОР кетчуп Томатный 260 г;БАЛТИМОР кетчуп Татарский 530 г;БАЛТИМОР кетчуп Татарский 260 г";"170253";"ГРОДФУД паштет с жареным луком 100 г"
"LORADO томаты маринованные 720 мл;ECOFOOD Сиг севанский в томатном соусе 240 г";"БАЛТИМОР кетчуп Томатный 530 г;БАЛТИМОР кетчуп Томатный 260 г;БАЛТИМОР кетчуп Татарский 530 г";"170254";"ГРОДФУД паштет куриный печеночный 50 г"
"ПОМИДОРКА томаты маринованные Черри 720 мл;ECOFOOD Уха из осетра по-царски 530 г";"БАЛТИМОР соус Горчичный 200 г;БАЛТИМОР кетчуп Томатный 530 г;БАЛТИМОР кетчуп Томатный 260 г";"170255";"ГРОДФУД паштет индюшиный печеночный 50 г"
