"Артикул";"Остаток";"Цена_Амизян";"Цена_Розничная"
"110265";"1637";"140.97";"187"
"110266";"532";"127.99";"170"
"110267";"570";"140.74";"187"
"110269";"133";"338.45";"450"
"110268";"3791";"140.74";"187"
"110270";"402";"338.45";"450"
"110271";"450";"126.54";"168"
"110148";"41";"209.55";"279"
"110272";"844";"143.19";"190"
"110273";"937";"111.59";"148"
"110274";"317";"146.52";"195"
"110176";"4512";"172.05";"229"
"110275";"803";"271.95";"362"
"110276";"629";"480.63";"639"
"110277";"49";"750.08";"998"
"110278";"4061";"100.58";"134"
"110279";"1046";"245.31";"326"
"110280";"5676";"96.02";"128"
"110281";"4310";"131.30";"175"
"110282";"1386";"193.14";"257"
"110283";"2892";"59.39";"79"
"110284";"4858";"98.24";"131"
"110293";"1188";"130.68";"174"
"110294";"385";"78.81";"105"
"110295";"1158";"111.00";"148"
"110285";"166";"704.85";"937"
"110286";"5814";"78.03";"104"
"110146";"10555";"111.00";"148"
"110287";"996";"177.60";"236"
"110288";"3223";"325.23";"433"
"110289";"177";"458.21";"609"
"110147";"2929";"73.83";"98"
"110290";"15930";"51.06";"68"
"110291";"1318";"86.58";"115"
"110292";"29";"190.31";"253"
