"Артикул";"Остаток";"Цена_Амизян";"Цена_Розничная"
"110126";"550";"103,89";"138"
"110307";"546";"146,65";"195"
"110308";"43";"174,02";"231"
"110125";"484";"103,89";"138"
"110309";"668";"143,51";"191"
"110124";"744";"103,89";"138"
"110310";"486";"148,31";"197"
"110311";"390";"97,96";"130"
"110313";"385";"87,01";"116"
"110312";"75";"103,01";"137"
"110166";"1476";"117,59";"156"
"110167";"503";"104,42";"139"
"110314";"70";"53,63";"71"
"110315";"468";"53,34";"71"
"110168";"987";"104,42";"139"
"110316";"992";"52,6";"70"
"110169";"1512";"100,46";"134"
"110171";"239";"43,93";"58"
"110172";"1400";"83,62";"111"
"110317";"42";"166,34";"221"
"110173";"1436";"75,71";"101"
"110318";"344";"111,42";"148"
"110319";"419";"71,76";"95"
"110320";"499";"82,99";"110"
