Категории;Основная категория;Артикул;Короткое название;Показывать товар;Трансазия;Характеристики;Описание;Бренд;Фотографии;Цена_Розничная
Бытовая химия/Моющие средства/Средства для мытья полов и стен;Бытовая химия/Моющие средства/Средства для мытья полов и стен;430515;BIO MIO чистящее средство Bio-cleaner средство для мытья полов концентрат c маслом мелиссы 750 мл;1;195;"(Характеристики товара)Тип товара:Чистящее средство;
(Характеристики товара)Бренд:BIO MIO;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4603014008008;
(Характеристики товара)Объем:750 мл;
(Характеристики товара)Код товара:CB-00041708";Эффективно и бережно очищает различные поверхности: ламинат,линолеум, паркетную доску, керамическую плитку, пластик,каменные и деревянные полы.</p><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Устраняет неприятные запахи и ароматизирует.</li><li>Не требует смывания с поверхности, не оставляет разводов,</li><li>Придает блеск.</li><li>Гипоаллергенно.</li><li>99,7% натуральных ингредиентов.</li><li>Концентрированная формула обеспечивает экономичный расход.</li><li>Содержит ионы серебра.</li><li>Подходит для использования в домах с автономной канализацией.</li><li>Не наносит вреда любым видам септиков.</li><li> Биоразлагаемый состав.</li>;BIO-MIO;/storage/photo/original/a/bio-mio-chistyashee-sredstvo-bio-cleaner-sredstvo-dlya-mitya-polov-koncentrat-c-maslom-melissi-750-ml.jpg;244
Бытовая химия/Моющие средства/Средства для мытья стекол и зеркал;Бытовая химия/Моющие средства/Средства для мытья стекол и зеркал;430516;ORGANIC PEOPLE эко-спрей для стекол и зеркал с органическим лимоном и апельсином 500 мл;1;182;"(Характеристики товара)Тип товара:Моющее средство;
(Характеристики товара)Бренд:ORGANIC PEOPLE;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4680007201615;
(Характеристики товара)Объем:500 мл;
(Характеристики товара)Код товара:CB-00045577";"Безопасное и простое в применении средство для очищения стекол, зеркал и любых гладких поверхностей в доме. Содержит 90% натуральных компонентов, обогащено органическими экстрактами лимона и апельсина, которые являются природными антисептиками и наполняют комнату приятным, цитрусовым ароматом. Устраняет различные загрязнения, жирные пятна и следы пальцев, не оставляя разводов. В отличие от большинства моющих средств не раздражает дыхательные пути и не содержит опасных химических веществ.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Не содержит: Парабены, SLS , EDTA и NTA, Нефтепродукты, Соляная кислота, Фосфаты, Хлор, Фталаты, Фенолы, Сульфаты, Формальдегид, Гипохлорид натрия, Синтетические отдушки и красители
<li>Обогащено органическим маслом лимона и апельсина
<li>Не оставляет разводов";ORGANIC PEOPLE;/storage/photo/original/a/organic-people-eko-sprej-dlya-stekol-i-zerkal-s-organicheskim-limonom-i-apelsinom-500-ml.jpg;228
Бытовая химия/Моющие средства/Средства для ручного мытья посуды;Бытовая химия/Моющие средства/Средства для ручного мытья посуды;430517;FAIRY средство для мытья посуды Pure & Clean 650 мл;1;122;"(Характеристики товара)Тип товара:Для посуды;
(Характеристики товара)Бренд:FAIRY;
(Характеристики товара)Серия:Pure & Clean;
(Характеристики товара)Для кого:Для взрослых;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Фасовка:0,4 - 0,7 л;
(Характеристики товара)EAN:8001090837455;
(Характеристики товара)Объем:650 мл;
(Характеристики товара)Код товара:CB-00030637";"Fairy Pure & Clean, не содержит красителей и ароматизаторов. Новая формула обеспечивает образование активной пены, проникающей вглубь загрязнения и расщепляющей его изнутри даже в холодной воде, не требуя дополнительного замачивания. В том числе осуществляет уход за стеклянной посудой, предотвращая коррозию и износ, а также образование разводов и помутнения после мытья. Густая консистенция, дает возможность экономно расходовать моющее средство и отмыть большее количество посуды. Обладает приятным ароматом ягодной свежести. Не оказывает воздействия на кожу рук.</p><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li> O% Красителей и Ароматизаторов
<li> Быстро справляется с засохшим жиром</li>
<li> Эффективно справляется с самыми сложными жировыми загрязнениями</li>
<li> Без остатка смывается водой</li>
<li> Мягкий для рук</li>
<li> Экономичная концентрированная формула.
<li> Удобная и герметичная упаковка.</li>";FAIRY;/storage/photo/original/a/fairy-sredstvo-dlya-mitya-posudi-pure-clean-650-ml.jpg;153
Бытовая химия/Чистящие средства/Чистящие средства для кухни;Бытовая химия/Чистящие средства/Чистящие средства для кухни;430518;VORTEX	чистящее средство Daze для обезжиривания и удаления нагара 500 мл;1;139;"(Характеристики товара)Тип товара:Чистящее средство;
(Характеристики товара)Бренд:VORTEX;
(Характеристики товара)Форма:Спрей;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Область применения:Металл, Нагар, Плита, Посуда;
(Характеристики товара)EAN:4630008889046;
(Характеристики товара)Объем:500 мл;
(Характеристики товара)Код товара:CB-00035946";"Щелочное моющее средство с высоким пенообразованием предназначено для удаления жира, нагара, копоти с посуды, кухонных плит, коптильных камер, грилей
Обладает высоким смачивающим, очищающим, эмульгирующим дейсвтвием
Эффективно удаляет белково-жировые пригары и смолы
Предназначено для удаления загрязнений с оборудования и поверхностей, стойких к воздействию щелочи
Легко смывается с поверхности";VORTEX;/storage/photo/original/a/vortexchistyashee-sredstvo-daze-dlya-obezzhirivaniya-i-udaleniya-nagara-500-ml.jpg;147
Бытовая химия/Чистящие средства/Чистящие средства для кухни;Бытовая химия/Чистящие средства/Чистящие средства для кухни;430519;VORTEX	чистящее средство Daze для обезжиривания и удаления нагара 1 л;1;182;"(Характеристики товара)Тип товара:Чистящее средство;
(Характеристики товара)Бренд:VORTEX;
(Характеристики товара)Форма:Жидкость;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Область применения:Металл, Нагар, Плита, Посуда;
(Характеристики товара)EAN:4630008889053;
(Характеристики товара)Объем:1 л;
(Характеристики товара)Код товара:CB-00035947";"Щелочное моющее средство с высоким пенообразованием предназначено для удаления жира, нагара, копоти с посуды, кухонных плит, коптильных камер, грилей
Обладает высоким смачивающим, очищающим, эмульгирующим дейсвтвием
Эффективно удаляет белково-жировые пригары и смолы
Предназначено для удаления загрязнений с оборудования и поверхностей, стойких к воздействию щелочи
Легко смывается с поверхности";VORTEX;/storage/photo/original/a/vortexchistyashee-sredstvo-daze-dlya-obezzhirivaniya-i-udaleniya-nagara-1-l.jpg;222
Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты;Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты;430520;BREF туалетный блок Сила-Актив океанский бриз 2 шт;1;260;"(Характеристики товара)Тип товара:Туалетные блоки;
(Характеристики товара)Бренд:BREF;
(Характеристики товара)Страна происхождения:СЕРБИЯ;
(Характеристики товара)EAN:9000100656863;
(Характеристики товара)Количество:2 шт;
(Характеристики товара)Код товара:CB-00028437";"Чистящее средство для унитаза Bref Сила-Актив Лимонная Свежесть - это подвесной туалетный блок с формулой 4 в 1, который обеспечивает:
1. Гигиеническую чистоту
2. Защиту от известкового налета
3. Лимонную свежесть
4. Обильную пену
Bref Сила-Актив - чистота и свежесть с каждым смыванием!
Состав: >30% анионные ПАВ; 5-15% неионогенные ПАВ; <5% краситель, комплексообразователь, растворитель, отдушка (в т.ч. гераниол, лимонен, линалоол, цитраль, цитронеллол); соли неорганические, вода.";BREF;/storage/photo/original/a/bref-tualetnij-blok-sila-aktiv-okeanskij-briz-2-sht.jpg;325
Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты;Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты;430521;BREF туалетный блок Сила-Актив океанский бриз 1 шт;1;153;"(Характеристики товара)Тип товара:Туалетные блоки;
(Характеристики товара)Бренд:BREF;
(Характеристики товара)Страна происхождения:СЕРБИЯ;
(Характеристики товара)EAN:9000100625319;
(Характеристики товара)Количество:1 шт;
(Характеристики товара)Код товара:CB-00028434";"Чистящее средство для унитаза Bref Сила-Актив Лимонная Свежесть - это подвесной туалетный блок с формулой 4 в 1, который обеспечивает:
1. Гигиеническую чистоту
2. Защиту от известкового налета
3. Лимонную свежесть
4. Обильную пену
Bref Сила-Актив - чистота и свежесть с каждым смыванием!
Состав: >30% анионные ПАВ; 5-15% неионогенные ПАВ; <5% краситель, комплексообразователь, растворитель, отдушка (в т.ч. гераниол, лимонен, линалоол, цитраль, цитронеллол); соли неорганические, вода.";BREF;/storage/photo/original/a/bref-tualetnij-blok-sila-aktiv-okeanskij-briz-1-sht.jpg;191
Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты;Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты;430522;BREF туалетный блок Сила-Актив свежесть лаванды 2 шт;1;260;"(Характеристики товара)Тип товара:Туалетные блоки;
(Характеристики товара)Бренд:BREF;
(Характеристики товара)Страна происхождения:СЕРБИЯ;
(Характеристики товара)EAN:9000100956154;
(Характеристики товара)Количество:2 шт;
(Характеристики товара)Код товара:CB-00028438";"Чистящее средство для унитаза Bref Сила-Актив Лимонная Свежесть - это подвесной туалетный блок с формулой 4 в 1, который обеспечивает:
1. Гигиеническую чистоту
2. Защиту от известкового налета
3. Лимонную свежесть
4. Обильную пену
Bref Сила-Актив - чистота и свежесть с каждым смыванием!
Состав: >30% анионные ПАВ; 5-15% неионогенные ПАВ; <5% краситель, комплексообразователь, растворитель, отдушка (в т.ч. гераниол, лимонен, линалоол, цитраль, цитронеллол); соли неорганические, вода.";BREF;/storage/photo/original/a/bref-tualetnij-blok-sila-aktiv-svezhest-lavandi-2-sht.jpg;325
Детские товары/Подгузники и пеленание/Впитывающие пеленки;Детские товары/Подгузники и пеленание/Впитывающие пеленки;710514;HELEN HARPER Детские впитывающие пеленки Soft & Dry 40х60 30 шт;1;328;"(Характеристики товара)Тип товара:Пеленки;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:40х60 см;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416032267;
(Характеристики товара)Количество:30 шт;
(Характеристики товара)Код товара:CB-00015802";"Пеленки одноразовые впитывающие Helen Harper не пропускают влагу, и не скользят. Служат дополнительной защитой от влаги во время сна, переодеваний или смены подгузника, посещений врача и детских поликлиник, или для комфорта в гостях.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Размер 40х60 сантиметров
<li>Не ароматизированные
<li>Не пропускают воду";HELEN HARPER;/storage/photo/original/a/helen-harper-detskie-vpitivayushie-pelenki-soft-dry-40h60-30-sht.jpg;410
Детские товары/Подгузники и пеленание/Впитывающие пеленки;Детские товары/Подгузники и пеленание/Впитывающие пеленки;710515;HELEN HARPER Детские впитывающие пеленки Soft & Dry 40х60 5 шт;1;60;"(Характеристики товара)Тип товара:Пеленки;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:40х60 см;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416032243;
(Характеристики товара)Количество:5 шт;
(Характеристики товара)Код товара:CB-00015801";"Пеленки одноразовые впитывающие Helen Harper не пропускают влагу, и не скользят. Служат дополнительной защитой от влаги во время сна, переодеваний или смены подгузника, посещений врача и детских поликлиник, или для комфорта в гостях.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Размер 40х60 сантиметров
<li>Не ароматизированные
<li>Не пропускают воду";HELEN HARPER;/storage/photo/original/a/helen-harper-detskie-vpitivayushie-pelenki-soft-dry-40h60-5-sht.jpg;75
