"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"АВАНТА Зубная паста Фтородент Мятный вкус 125 г;KOTEX ежедневные прокладки Normal 60 шт";"VEET Тёплый воск для депиляции с эфирными маслами 250 мл;SPLAT Зубная щетка Sensitive мягкая";350089;"DOVE дезодорант-антиперсперант аэрозольный Pure Бережная забота 150 мл"
"АВАНТА Зубная паста Фтородент Отбеливающая 125 г;ЛЕСНОЙ БАЛЬЗАМ ополаскиватель для полости рта Кедровые орешки и шалфей 250 мл";"VEET Восковые полоски с маслом ши серии Naturals c технологией Easy Gel-wax 10 шт;LIBRESSE ежедневные прокладки Dailyfresh Multistyle 20 шт;ORAL-B Зубная щетка Pro-Expert Clinic Line Pro-Flex  средняя";350044;"REXONA твердый антиперсперант Алоэ Вера 40 мл"
"АВАНТА Зубная паста Фтородент Прополис 125 г;GILLETTE сменные кассеты для бритья Sensor Excel для женщин 5 шт";"GREEN LOVE ополаскиватель для детского белья 1 л;LOREAL лосьон после бритья Гидра Энергетик Ледяной эффект 100 мл;ЛЕСНОЙ БАЛЬЗАМ зубная щетка С бамбуковой солью Мягкая 1 шт";350160;"GARNIER Дезодорант аэрозольный Невидимый Черное Белое Цветное мужской 150 мл"
"АВАНТА зубной порошок Семейный Отбеливающий;LOREAL гель после бритья Men Expert Гидра Сенситив для чувствительной кожи 125 мл";"BIC станок Flex 5 Hybrid с 2 сменными кассетами;R.O.C.S. ополаскиватель для полости рта Двойная мята 75 мл;PIGEON зубные щетки для детей (6-18 мес) 3 шт";350166;"GILLETTE Антиперспирант гелевый Cool Wave 70 мл"
"ВЕСНА зубная паста Волжский жемчуг Кальций 100 г;ORAL-B Зубная щетка 3D White Отбеливание средняя";"GREEN LOVE ополаскиватель для детского белья 1 л;VEET Восковые полоски с маслом ши серии Naturals c технологией Easy Gel-wax 10 шт;TENA ежедневные прокладки Lady Ultra Mini 28 шт";350079;"CAMAY антиперсперант аэрозольный French Romantique Алые Розы 150 мл"
"ВЕСНА Зубная паста Природный бальзам кора дуба 100 гр;NATURELLA ежедневные прокладки Calendula Tenderness Normal 100 шт";"ORAL-B Сменные ершики интердентальные конические Pro-Expert Clinic Line 6 шт;VEET Тёплый воск для депиляции с эфирными маслами 250 мл;SPLAT очищающая пенка для зубов и десен 2 в 1 Oral Care Foam с ароматом мяты 50 мл";350036;"ЧИСТАЯ ЛИНИЯ Фито-дезодорант антиперспирант Защита Без Белых Следов 150 мл"
"ВЕСНА Зубная паста Семейная 100 гр;BELLA ежедневные прокладки Panty Soft Verbena 60 шт";"CJ LION зубная щетка Dentor System средняя 1 шт;VEET Восковые полоски с маслом ши серии Naturals c технологией Easy Gel-wax 10 шт";380122;"REXONA роликовый антиперсперант Без запаха 50 мл"
"ВЕСНА зубная паста Фтородент 100 мл;GILLETTE станки для бритья Одноразовые BLUE2 Plus 5 шт";"SPLAT Зубная щетка Innova деликатная с ионами серебра;LISTERINE Ополаскиватель полости рта Защита десен 250 мл;ARKO Бальзам после бритья Cool 150 мл";350208;"REXONA роликовый антиперсперант Антибактериальный эффект 50 мл + REXONA Men роликовый антиперсперант 50 мл"
"ВЕСНА Ополаскиватель для полости рта Фтородент 275 мл;ORAL-B зубная щетка Комплекс Антибактериальная средняя 1 шт";"VEET Восковые полоски с маслом ши серии Naturals c технологией Easy Gel-wax 10 шт;DISCREET ежедневные прокладки Deo Spring Breeze Multiform 100 шт";350119;"FA дезодорант аэрозольный Sport Двойное Действие 150 мл"
"ВЕСНА Ополаскиватель для полости рта Фтородент 275 мл;TENA ежедневные прокладки Lady Ultra Mini 14 шт";"CJ LION зубная щетка Kids Safe 7 - 12 лет мягкая 1 шт;SPLAT зубная паста Junior Ягодный коктейль детская 73 мл";380055;"REXONA роликовый антиперсперант Свежесть душа 50 мл"
"ДРАКОША зубная паста-гель Груша детская 60 мл;ЛЕСНОЙ БАЛЬЗАМ ополаскиватель для полости рта Кедровые орешки и шалфей 400 мл";"BELLA ежедневные прокладки Panty Soft 40 шт;VEET Восковые полоски с маслом ши серии Naturals c технологией Easy Gel-wax 10 шт;LACALUT зубная щетка Sensitive для чувствительных зубов, мягкая 1 шт";380123;"DOVE дезодорант-антиперсперант аэрозольный Go Fresh Прикосновение Свежести 150 мл"
"ДРАКОША ополаскиватель для полости рта Тутти-Фрутти детский 250 мл";"МАЛЕНЬКАЯ ФЕЯ зубная паста Happy Moments Клубничная Мечта 60 мл;NATURELLA ежедневные прокладки Calendula Tenderness Plus 58 шт;ORAL-B Зубная щетка 3-Effect Maxi Clean средняя";350054;"REXONA твердый антиперсперант Антибактериальная и невидимая на черном и белом 40 мл"
