"Артикул";"Остаток";"Цена_Амизян";"Цена_Розничная"
"110265";"1 637,000";"140.97";"187"
"110266";"532,000";"127.99";"170"
"110267";"570,000";"140.74";"187"
"110269";"133,000";"338.45";"450"
"110268";"3 791,000";"140.74";"187"
"110270";"402,000";"338.45";"450"
"110271";"450,000";"126.54";"168"
"110148";"41,000";"209.55";"279"
"110272";"844,000";"143.19";"190"
"110273";"937,000";"111.59";"148"
"110274";"317,000";"146.52";"195"
"110176";"4 512,000";"172.05";"229"
"110275";"803,000";"271.95";"362"
"110276";"629,000";"480.63";"639"
"110277";"49,000";"750.08";"998"
"110278";"4 061,000";"100.58";"134"
"110279";"1 046,000";"245.31";"326"
"110280";"5 676,000";"96.02";"128"
"110281";"4 310,000";"131.30";"175"
"110282";"1 386,000";"193.14";"257"
"110283";"2 892,000";"59.39";"79"
"110284";"4 858,000";"98.24";"131"
"110293";"1 188,000";"130.68";"174"
"110294";"385,000";"78.81";"105"
"110295";"1 158,000";"111.00";"148"
"110285";"166,000";"704.85";"937"
"110286";"5 814,000";"78.03";"104"
"110146";"10 555,000";"111.00";"148"
"110287";"996,000";"177.60";"236"
"110288";"3 223,000";"325.23";"433"
"110289";"177,000";"458.21";"609"
"110147";"2 929,000";"73.83";"98"
"110290";"15 930,000";"51.06";"68"
"110291";"1 318,000";"86.58";"115"
"110292";"29,000";"190.31";"253"
