"Короткое название";"Артикул";"Характеристики"
"ВАРЕНКА Сгущенка Вареная с Сахаром 370 гр";"150240";"(Характеристики товара (Продукты))Код товара:00000003567"
"ДОБРОФЛОТ Сайра Тихоокеанская с добавлением масла 245 г";"160066";"(Характеристики товара (Продукты))Код товара:CB-00034079"
"ПРЕЛЕСТЬ лак для волос экстрасильной фиксации Классик 200 мл";"520607";"(Характеристики товара (Косметика и уход))Код товара:CB-00021043"
"BIMAX стиральный порошок Color & Fashion автомат 0,4 кг";"460264";"(Характеристики товара (Бытовая химия))Код товара:CB-00008127"
"BIMAX стиральный порошок Color автомат 0,4 кг";"410281";"(Характеристики товара (Бытовая химия))Код товара:CB-00008590"
"DURACELL батарейки Basic AA 2 шт";"240051";"(Характеристики товара (Товары для дома))Код товара:00000036635"
"DURACELL батарейки Basic AAA 2 шт";"240058";"(Характеристики товара (Товары для дома))Код товара:00000039560"
"DURACELL батарейки Electronics CR2032 1 шт";"240062";"(Характеристики товара (Товары для дома))Код товара:CB-00030962"
"MEDLEX кожный антисептик (пенка) Бетасептин без спирта 180 мл";"540014";"(Характеристики товара (Косметика и уход))Код товара:CB-00045752"
"PRO PLAN сухой корм Small & Mini Adult для собак мелких и миниатюрных пород 0,7 кг";"620085";"(Характеристики товара (Зоотовары))Код товара:CB-00034925"
"PRO PLAN сухой корм Small & Mini Adult Sensitive Skin для собак мелких пород 0,7 кг";"620089";"(Характеристики товара (Зоотовары))Код товара:CB-00034926"
"ROYAL CANIN сухой корм для котят Kitten British Shorthair 0,4 кг";"610264";"(Характеристики товара (Зоотовары))Код товара:CB-00022312"
"ROYAL CANIN сухой корм для котят Kitten Persian 0,4 кг";"610272";"(Характеристики товара (Зоотовары))Код товара:CB-00022302"
"ROYAL CANIN сухой корм для кошек и котят Mother & Babycat 0,4 кг";"610207";"(Характеристики товара (Зоотовары))Код товара:CB-00022412"
"ROYAL CANIN сухой корм для кошек British Shorthair 0,4 кг";"610191";"(Характеристики товара (Зоотовары))Код товара:CB-00022406"
"ROYAL CANIN сухой корм для кошек Digestive Care 0,4 кг";"610194";"(Характеристики товара (Зоотовары))Код товара:CB-00022360"
"ROYAL CANIN сухой корм для кошек Fit 0,4 кг";"610198";"(Характеристики товара (Зоотовары))Код товара:CB-00022275"
"ROYAL CANIN сухой корм для кошек Hair & Skin Care 0,4 кг";"610201";"(Характеристики товара (Зоотовары))Код товара:CB-00022363"
"ROYAL CANIN сухой корм для кошек Hairball Care 0,4 кг";"610204";"(Характеристики товара (Зоотовары))Код товара:CB-00022370"
"ROYAL CANIN сухой корм для кошек Indoor 0,4 кг";"610540";"(Характеристики товара (Зоотовары))Код товара:CB-00024386"
"ROYAL CANIN сухой корм для кошек Indoor 0,4 кг";"610539";"(Характеристики товара (Зоотовары))Код товара:CB-00024386"
"ROYAL CANIN сухой корм для кошек Indoor Long Hair 0,4 кг";"610215";"(Характеристики товара (Зоотовары))Код товара:CB-00022292"
"ROYAL CANIN сухой корм для кошек Light Weight Care 0,4 кг";"610218";"(Характеристики товара (Зоотовары))Код товара:CB-00022368"
"ROYAL CANIN сухой корм для кошек Maine Coon 0,4 кг";"610222";"(Характеристики товара (Зоотовары))Код товара:CB-00022316"
"ROYAL CANIN сухой корм для кошек Oral Care 0,4 кг";"610223";"(Характеристики товара (Зоотовары))Код товара:CB-00022366"
"ROYAL CANIN сухой корм для кошек Outdoor 0,4 кг";"610227";"(Характеристики товара (Зоотовары))Код товара:CB-00022294"
"ROYAL CANIN сухой корм для кошек Savour Exigent 0,4 кг";"610241";"(Характеристики товара (Зоотовары))Код товара:CB-00022415"
"ROYAL CANIN сухой корм для кошек Sensible 0,4 кг";"610245";"(Характеристики товара (Зоотовары))Код товара:CB-00022409"
"ROYAL CANIN сухой корм для кошек Sphynx 0,4 кг";"610250";"(Характеристики товара (Зоотовары))Код товара:CB-00022308"
"ROYAL CANIN сухой корм для кошек Sterilised 0,4 кг";"610254";"(Характеристики товара (Зоотовары))Код товара:CB-00022400"
"ROYAL CANIN сухой корм Norwegian Adult для кошек породы Норвежская лесная старше 12 месяцев 0,4 кг";"610279";"(Характеристики товара (Зоотовары))Код товара:CB-00039646"
"ROYAL CANIN VET DIET сухой корм для котов Neutered Young Male 0,4 кг";"610333";"(Характеристики товара (Зоотовары))Код товара:CB-00022418"
"ROYAL CANIN VET DIET сухой корм для кошек Senior Consult Stage 1 0,4 кг";"610316";"(Характеристики товара (Зоотовары))Код товара:CB-00023140"
"SCHAUMA шампунь Энергия Природы Свежая крапива и Зеленое яблоко 400 мл";"330868";"(Характеристики товара (Средства гигиены))Код товара:CB-00039339"
"TIDE  Гель для стирки в капсулах Альпийская свежесть 15 шт";"410482";"(Характеристики товара (Бытовая химия))Код товара:CB-00010498"
"VERNEL кондиционер для белья Ароматерапия белый пион & масло хлопка 0,91 л";"410150";"(Характеристики товара (Бытовая химия))Код товара:CB-00028635"
"VERNEL кондиционер для белья Ароматерапия черная орхидея & масло пачули 0,91 л";"410152";"(Характеристики товара (Бытовая химия))Код товара:CB-00028632"
