"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M";"MOONY подгузники-трусики для девочек XXL (13 - 25 кг) 26 шт;YOKOSUN подгузники L (9 - 13 кг) 54 шт;HUGGIES влажные салфетки Classic 128 шт";770050;"NAN молочная смесь Optipro 1 с рождения 400 г"
"ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M;HUGGIES подгузники Ultra Comfort для мальчиков 4 (8-14кг) 19 шт";"HUGGIES влажные салфетки Ultra Comfort алоэ 128 шт;YOKOSUN подгузники L (9 - 13 кг) 54 шт;MOMI подгузники L (9-14 кг) 54 шт";770053;"NAN молочная смесь Optipro 2 с шести месяцев 400 г"
"AURA Влажные салфетки Ultra Comfort для детей 15 шт";"ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M;KABRITA молочная смесь Gold 3 с двенадцати месяцев 800 г;YOKOSUN подгузники L (9 - 13 кг) 54 шт";770038;"МАЛЮТКА молочная смесь 2 с шести месяцев 300 г"
"AURA Влажные салфетки Ultra Comfort для детей 15 шт;GREEN LOVE средство для мытья детской посуды 500 мл";"PAMPERS влажные салфетки Baby Fresh Clean 4x64";770013;"NAN молочная смесь Гипоаллергеный 1 с рождения 400 г"
"AURA Влажные салфетки Ultra Comfort для детей 60 шт";"YOKOSUN подгузники L (9 - 13 кг) 54 шт;ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M";770052;"МАЛЮТКА молочная смесь 1 с рождения 600 г"
"HUGGIES влажные салфетки Classic 128 шт";"ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M;YOKOSUN подгузники L (9 - 13 кг) 54 шт;MOONY подгузники-трусики для девочек XL (12 - 17 кг) 38 шт";790117;"KABRITA молочная смесь Gold 3 с двенадцати месяцев 800 г"
"HUGGIES подгузники Ultra Comfort для мальчиков 4 (8-14кг) 19 шт;MOONY подгузники L (9 - 14 кг) 54 шт";"YOKOSUN подгузники L (9 - 13 кг) 54 шт;AURA Влажные салфетки Ultra Comfort для детей с экстрактом Алоэ и витамином Е 100 шт;ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M";770072;"KABRITA молочная смесь Gold 2 с шести месяцев 400 г"
"PAMPERS влажные салфетки Sensitive 12 шт;YOKOSUN подгузники L (9 - 13 кг) 54 шт";"MOMI трусики-подгузники Premium Night XL (12-20 кг) 22 шт;ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M";770051;"МАЛЮТКА молочная смесь 2 с шести месяцев 600 г"
"PAMPERS влажные салфетки Sensitive 4x56 шт;ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M";"YOKOSUN подгузники L (9 - 13 кг) 54 шт;MERRIES подгузники-трусики XL (12 - 22 кг) 38 шт;JOHNSON'S Baby влажные салфетки детские Нежная забота 64 шт";770071;"KABRITA молочная смесь Gold 3 с двенадцати месяцев 400 г"
"PAMPERS подгузники-трусики Premium Care 5 (12 - 18 кг) 40 шт;ЧИСТЮЛЯ ЛЕГКАЯ перчатки хозяйственные легкие прочные M";"LURE влажные салфетки для детей с крышкой 120 шт;YOKOSUN подгузники L (9 - 13 кг) 54 шт";770048;"KABRITA каша на козьем молочке Рисовая с 4 месяцев 180 г"
