"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7797";"Ahmad Tea зеленый чай, 25 пакетиков";124022
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7798";"Ahmad Tea зеленый чай с жасмином, 25 пакетиков";124023
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7800";"Ahmad Tea Классический черный чай, 25 пакетиков";124025
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7802";"Ahmad Tea English Tea No.1 черный чай с легким ароматом бергамота, 25 пакетиков";124015
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7803";"Ahmad Tea English Breakfast черный чай, 25 пакетиков";124017
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7804";"Ahmad Tea Ceylon Tea черный чай, 25 пакетиков";124030
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7805";"Ahmad Tea Earl Grey черный чай с бергамотом, 25 пакетиков";124032
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7813";"Ahmad Tea Вечерний черный чай без кофеина, 25 пакетиков";124020
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7814";"Ahmad Tea зеленый чай с кленовым сиропом, 25 пакетиков";124026
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7815";"Ahmad Tea черный чай с летним чабрецом, 25 пакетиков";124027
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7816";"Ahmad Tea чай улун с молочным ароматом, 25 пакетиков";124028
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7817";"Ahmad Tea Strawberry Cream черный чай с клубникой со сливками, 25 пакетиков";124029
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7818";"Ahmad Tea Citrus Sensation черный чай с лимоном и лаймом, 25 пакетиков";124031
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7820";"Ahmad Tea Blueberry Breeze зеленый чай с голубикой, 25 пакетиков";124019
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7923";"Ahmad Tea English Breakfast черный чай, 100 пакетиков";124018
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7924";"Ahmad Tea зеленый чай, 100 пакетиков";124021
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7925";"Ahmad Tea Healthy&Tasty эксклюзивный набор травяного чая, 60 пакетиков";124013
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7929";"Ahmad Tea Классический черный чай, 100 пакетиков";124024
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7930";"Ahmad Tea English Tea No.1 черный чай с легким ароматом бергамота, 100 пакетиков";124016
"(Характеристики товара (Продукты))Тип товара:Чай пакетированный;
(Характеристики товара (Продукты))Код товара:АМ-7931";"Ahmad Tea Earl Grey черный чай с бергамотом, 100 пакетиков";124033
