"Сопутствующие товары";"Артикул";"Короткое название"
"ROYAL CANIN VET DIET влажный корм Renal (банка) для взрослых собак с хронической почечной недостаточностью 200 г;8 IN 1 мультивитамины для щенков Excel 100 шт;8 IN 1 добавка Excel Calcium для щенков и взрослых собак 155 таблеток";620255;"ROYAL CANIN VET DIET влажный консервированный корм Mobility МС25 С2Р+ для собак с заболеваниями опорно-двигательного аппарата 400 г"
"ROYAL CANIN VET DIET влажный корм Renal (банка) для взрослых собак с хронической почечной недостаточностью 200 г;8 IN 1 мультивитамины для щенков Excel 100 шт;8 IN 1 добавка Excel Calcium для щенков и взрослых собак 155 таблеток";620303;"PEDIGREE влажный корм для взрослых собак миниатюрных и мелких пород с говядиной 85 г"
"ROYAL CANIN сухой корм Medium Ageing 10+ для пожилых собак средних пород старше 10 лет 15 кг;CESAR влажный корм для собак из говядины с овощами 100 г;8 IN 1 добавка Excel Calcium для щенков и взрослых собак 155 таблеток";620128;"ROYAL CANIN сухой корм French Bulldog Adult для взрослых собак породы Французский бульдог старше 12 месяцев 9 кг"
"PEDIGREE сухой корм для щенков всех пород с курицей 2,2 кг;N1 игрушки для собак Грейфер веревка с 2 узлами 32 см;8 IN 1 добавка Excel Calcium для щенков и взрослых собак 155 таблеток";620152;"ROYAL CANIN сухой корм Maxi Ageing 8+ для пожилых собак крупных пород старше 8 лет 3 кг"
"PEDIGREE сухой корм для щенков всех пород с курицей 2,2 кг;N1 игрушки для собак Грейфер веревка с 2 узлами 32 см;8 IN 1 добавка Excel Calcium для щенков и взрослых собак 155 таблеток";620284;"ROYAL CANIN заменитель молока Babydog Milk для щенков с рождения 2 кг"
"ROYAL CANIN сухой корм Labrador Retriever Junior для щенков Лабрадора 3 кг;PEDIGREE лакомство для собак Biscrok 200 г;8 IN 1 добавка Excel Calcium для щенков и взрослых собак 155 таблеток";620023;"BRIT Premium сухой корм Adult Large для собак крупных пород 15 кг"
"ROYAL CANIN сухой корм Labrador Retriever Junior для щенков Лабрадора 3 кг;PEDIGREE лакомство для собак Biscrok 200 г;8 IN 1 добавка Excel Calcium для щенков и взрослых собак 155 таблеток";620115;"ROYAL CANIN сухой корм для щенков породы Чихуахуа до 8 месяцев 1,5 кг"
"ROYAL CANIN сухой корм Mini Adult для собак мелких пород старше 10 месяцев 4 кг;N1 игрушка для собак Мини-гусь с пищалкой  14 см;8 IN 1 Косточка для мелких и средних собак с Говядиной DELIGHTS Beef S 11 см 1 шт";620159;"ROYAL CANIN сухой корм Maxi Joint Care для собак крупных пород старше 15 месяцев с повышенной чувствительностью суставов 12 кг"
"ROYAL CANIN сухой корм Mini Adult для собак мелких пород старше 10 месяцев 4 кг;N1 игрушка для собак Мини-гусь с пищалкой  14 см;8 IN 1 Косточка для мелких и средних собак с Говядиной DELIGHTS Beef S 11 см 1 шт";620392;"ROYAL CANIN VET DIET влажный корм для собак Urinary S/O (банка) 195 г"
"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;ROYAL CANIN сухой корм для собак породы Чихуахуа старше 8 месяцев 0,5 кг;8 IN 1 Косточка для мелких и средних собак с Говядиной DELIGHTS Beef S 11 см 1 шт";620267;"ROYAL CANIN VET DIET влажный корм Satiety Weight Management для собак контроль избыточного веса 195 г"
