"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"МОЕ СОЛНЫШКО зубная паста Апельсин гелевая 75 г;ARKO Бальзам после бритья Sensitive 150 мл";"GIBBS пена для бритья Regular 200 мл;ARKO крем после бритья Cool 50 мл;ORAL-B Зубная щетка Pro-Expert Clinic Line Ortho";570032;"VENUS подарочный набор Spa станок для бритья с 1 сменной кассетой + расческа"
"Подарочный набор GILLETTE Станок для бритья Mach3 Turbo, 2 запасные кассеты и Гель для бритья Extra Comfort;ПРЕЛЕСТЬ подарочный набор Эффект памяти Лак для волос 300 мл + Мусс для волос 160 мл + резинка для волос 2 шт";"OLD SPICE подарочный набор лосьонпосле бритья Whitewater 100 мл + дезодорант WhiteWater 150 мл + гель для душа WhiteWater 250 мл;VENUS подарочный набор SPA Breeze Станок для бритья с 2 сменными кассетами + Расческа;GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл";570208;"GLISS KUR подарочный набор Oil Nutritive  Шампунь 250 мл + Бальзам для волос 250 мл"
"BELLA ежедневные прокладки Panty Soft Tilia 60 шт;ЛЕСНОЙ БАЛЬЗАМ ополаскиватель для полости рта Кора дуба и пихты 250 мл";"VEET Тёплый воск для депиляции с эфирными маслами 250 мл;ЛЕСНОЙ БАЛЬЗАМ зубная щетка Комлексный уход Мягкая 1 шт;BLEND-A-MED Зубная паста 3D White Свежесть Прохладная Свежесть 100мл";570015;"DOVE Подарочный набор Прикосновение Природы антиперсперант 40 мл + крем-мыло Нежное отшелушивание 100 г"
"DIADEMINE подарочный набор Дневной крем 50 мл + Мицеллярная вода 200 мл;GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл";"OLD SPICE подарочный набор лосьонпосле бритья Whitewater 100 мл + дезодорант WhiteWater 150 мл + гель для душа WhiteWater 250 мл;VENUS подарочный набор SPA Breeze Станок для бритья с 2 сменными кассетами + Расческа;GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл";570210;"SHAMTU подарочный набор  Питание и сила Экстракт фруктов Шампунь 360 мл + Бальзам для волос 200 мл + Косметичка"
"DOVE Подарочный набор Прикосновение Природы антиперсперант 40 мл + крем-мыло Нежное отшелушивание 100 г";"Подарочный набор GILLETTE Станок для бритья Mach3 Turbo, 2 запасные кассеты и Гель для бритья Extra Comfort;GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;OLD SPICE подарочный набор лосьонпосле бритья Whitewater 100 мл + дезодорант WhiteWater 150 мл + гель для душа WhiteWater 250 мл";570024;"ПРЕЛЕСТЬ подарочный набор Ultra Power Лак для волос 300 мл + Мусс для укладки волос 160 мл + Маска для волос 100 мл"
"DOVE Подарочный набор Прикосновение Природы антиперсперант 40 мл + крем-мыло Нежное отшелушивание 100 г;ПРЕЛЕСТЬ подарочный набор Ultra Power Лак для волос 300 мл + Мусс для укладки волос 160 мл + Маска для волос 100 мл";"GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл;GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;Подарочный набор GILLETTE Станок для бритья Mach3 Turbo, 2 запасные кассеты и Гель для бритья Extra Comfort";570019;"FA подарочный набор Ритмы Острова Фиджи Dream Дезодорант-спрей 150 мл + Гель для душа 250 мл"
"FA подарочный набор Ритмы Острова Фиджи Dream Дезодорант-спрей 150 мл + Гель для душа 250 мл;Подарочный набор GILLETTE Станок для бритья Mach3 Turbo, 2 запасные кассеты и Гель для бритья Extra Comfort";"GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;OLEA подарочный набор Oat Silk Крем-гель для душа 200 мл + Скраб для тела 200 мл";570211;"ЧЕРНЫЙ ЖЕМЧУГ Подарочный набор Нежность Скраб для лица для нормальной и комбинированной кожи 80 мл +  Освежающий тоник для нормальной и комбинированной кожи 200 мл"
"GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл;GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл";"OLD SPICE подарочный набор лосьонпосле бритья Whitewater 100 мл + дезодорант WhiteWater 150 мл + гель для душа WhiteWater 250 мл;DOVE Подарочный набор Прикосновение Природы антиперсперант 40 мл + крем-мыло Нежное отшелушивание 100 г";570213;"DIADEMINE подарочный набор 48 часов увлажнения Гель 50 мл +  Лосьон для снятия макияжа с глаз 125 мл"
"GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл;OLD SPICE подарочный набор лосьонпосле бритья Whitewater 100 мл + дезодорант WhiteWater 150 мл + гель для душа WhiteWater 250 мл";"GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл";570014;"DIADEMINE подарочный набор Дневной крем 50 мл + Мицеллярная вода 200 мл"
"GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл;TAFT подарочный набор Power Нежность Кашемира №5 Мегафиксация Лак для волос 225 мл+пена для укладки волос 150 мл+косметичка";"DIADEMINE подарочный набор Дневной крем 50 мл + Мицеллярная вода 200 мл;VENUS подарочный набор SPA Breeze Станок для бритья с 2 сменными кассетами + Расческа;OLD SPICE подарочный набор лосьонпосле бритья Whitewater 100 мл + дезодорант WhiteWater 150 мл + гель для душа WhiteWater 250 мл";570041;"Подарочный набор GILLETTE Станок для бритья Mach3 Turbo, 2 запасные кассеты и Гель для бритья Extra Comfort"
