"Минимальное количество товара для заказа";"Цена_Розничная";"Короткое название";"Артикул"
;72;"OREO печенье  шоколад 228 г";140146
;72;"QUALITA пакеты для мусора Stripe Top с затяжками 60 литров 10 шт";250137
;72;"ROYAL CANIN влажный корм Ageing 12+ (в соусе) для кошек старше 12 лет 85 г";620534
;72;"ROYAL CANIN влажный корм Kitten Instinctive (в желе) для котят от 4 до 12 месяцев 85 г";620488
;72;"SANITAPLAST лейкопластырь №20 Стандартный 20 шт";360045
;72;"ЦЕЛЕБНЫЕ ТРАВЫ бальзам-ополаскиватель Клевер и масло зародышей пшеницы 220 мл";320271
;73;"МАКА кетчуп Шашлычный 900 г";170094
;74;"AURA ватные диски 120 шт";360113
;74;"CJ LION зубная щетка Kids Safe 7 - 12 лет мягкая 1 шт";720002
;74;"FAMILIA бумажные полотенца белые двухслойные 2 шт";360046
;74;"TESS чай Ginger Mojito зеленый в пирамидках 20 шт";120246
;75;"AOS средство для мытья посуды Бальзам Алоэ Вера 0,45 л";420006
;75;"AOS средство для мытья посуды Лимон 450 мл";420007
;75;"HELEN HARPER Детские впитывающие пеленки Soft & Dry 40х60 5 шт";710111
;76;"ROYAL CANIN влажный корм Persian (паштет) для персидских кошек 85 г";620581
;77;"BROOKE BOND чай черный листовой 100 г";120055
;77;"ШЕСТЬ СОТОК зеленый горошек 425 г";160064
;78;"ALPEN GOLD шоколад молочный Арахис и Кукурузные Хлопья 95 г";140203
;78;"QUALITA зубочистки бамбуковые 300 шт";310010
;79;"NESСAFE Кофе растворимый гранулированный Classic 50 г";110283
;79;"КУБАНОЧКА сахар рафинад 1 кг";150306
;79;"МОЕ СОЛНЫШКО пенка для купания С чередой 200 мл";720031
;80;"BRIT Care влажный корм для кошек Тунец и Лосось 80 г";610040
;80;"LEBO Кофе молотый для заваривания в чашке Gold Арабика 100 г";110254
;80;"LOSK стиральный порошок Горное Озеро ручная стирка 410 г";410370
;82;"QUALITA пакеты для мусора T-shirt с ручками 60 литров 15 шт";250139
;82;"SULA леденцы Лесная Ягода без сахара с витамином С 60 гр";140300
;82;"ДИХЛОФОС средство от насекомых Эко 190 мл + 30 % бесплатно";250157
;82;"ПРИНЦЕССА крем детский С миндальным маслом 75 мл";790195
;83;"CJ LION зубная паста Kids Safe клубника 3 - 12 лет 90 г";720004
;83;"KNORR приправа Ароматная Классика Овощей 200 г";170130
;84;"CJ LION зубная щетка Kids Safe 4 - 6 лет мягкая 1 шт";720001
;84;"DURACELL батарейки Basic AA 2 шт";240048
;84;"DURACELL батарейки Basic AAA 2 шт";240055
;84;"FAMILIA Plus туалетная бумага Волшебный Цветок белая с ароматом и рисунком двухслойная 4 шт";360187
;84;"RITTER SPORT шоколад молочный с Дробленым лесным орехом 100 г";140285
;84;"RITTER SPORT шоколад молочный с начинкой Карамельный мусс 100 г";140287
;84;"Я САМАЯ ватные диски 120 шт";360018
;85;"ПЕМОЛЮКС чистящее средство Сода 5 морской бриз 480 г";460399
;86;"NATURELLA прокладки Classic Camomile Maxi 8 шт";340195
