Артикул;Цена_Розничная;Доступно
121005;119;1
121006;237;1
121007;119;1
121008;237;1
121009;478;1
121010;108;1
121011;119;1
121012;237;1
121013;101;1
121014;190;1
121015;119;1
121016;249;1
121017;590;1
121018;119;1
121019;237;1
121020;153;1
124011;402;1
124012;402;1
124013;260;1
124014;310;1
124015;76;1
124016;283;1
124017;76;1
124018;283;1
124019;98;1
124020;98;1
124021;254;1
124022;69;1
124023;69;1
124024;278;1
124025;71;1
124026;98;1
124027;98;1
124028;98;1
124029;98;1
124030;76;1
124031;98;1
124032;76;1
124033;283;1
127005;271;1
127006;101;1
127007;101;1
127008;101;1
127009;101;1
127010;101;1
127011;101;1
128000;88;1
128001;88;1
128002;88;1
128003;88;1
128004;88;1
128005;88;1
128006;88;1
128007;88;1
128008;88;1
