"Короткое название";"Цена_Трансазия";"Цена_Розничная";"Оценка товарного запаса";"Артикул";"Показывать товар"
"МИФ стиральный порошок Cвежий цвет автомат 9 кг";634;792;25;410387;1
"PANTENE Бальзам-ополаскиватель дополнительный объем 400 мл";207;259;25;330094;1
"HEAD & SHOULDERS Шампунь Объем от самых корней 400 мл";242;302;25;330701;1
"PAMPERS подгузники Active Baby 6 (15+ кг) 16 шт";315;394;25;710321;1
"МИФ стиральный порошок Cвежий цвет автомат 6 кг";446;558;25;410386;1
"ARIEL стиральный порошок Color автомат 4,5 кг";521;651;25;410246;1
"МИФ стиральный порошок Cвежий цвет автомат 4 кг";301;376;25;410384;1
"PAMPERS подгузники Active Baby 5 (11 - 18 кг) 58 шт";955;1194;5;710454;1
"МИФ стиральный порошок Морозная Свежесть автомат 9 кг";634;792;15;410394;1
"HEAD & SHOULDERS Шампунь 2 в 1 Энергия океана 400 мл";242;302;25;330720;1
"HEAD & SHOULDERS Шампунь Old Spice 400 мл";242;302;25;330758;1
"HEAD & SHOULDERS Шампунь 2 в 1 Мгновенная помощь 400 мл";242;302;25;330719;1
"AUSSIE Шампунь Aussome Volume 300 мл";242;302;25;330620;1
"PAMPERS подгузники Active Baby 6 (15+ кг) 54 шт";955;1194;25;710455;1
"МИФ стиральный порошок Свежесть долины роз автомат 4 кг";301;376;25;410402;1
"ARIEL стиральный порошок Touch of Lenor Fresh автомат 3 кг";349;436;25;410262;1
"HEAD & SHOULDERS Шампунь 2 в 1 Густые и крепкие 400 мл";242;302;25;330716;1
"TIDE стиральный порошок Детский автомат 6 кг";559;699;25;740046;1
"GILLETTE Антиперспирант аэрозольный Arctic Ice 150 мл";190;238;25;380125;1
"BLEND-A-MED Зубная паста 3D White Luxe Гламур 75мл";116;145;25;310088;1
"BLEND-A-MED Зубная паста 3D White Luxe с Экстрактом Жемчуга 75мл";116;145;25;310087;1
"PANTENE Бальзам-ополаскиватель Защита Цвета и Блеск 400 мл";207;259;25;330095;1
"GILLETTE Антиперспирант гелевый Power Rush 70 мл";218;272;25;350167;1
"GILLETTE Антиперспирант гелевый Cool Wave 70 мл";218;272;25;350166;1
"GILLETTE Антиперспирант гелевый Arctic Ice 70 мл";218;272;25;350169;1
"AUSSIE Бальзам-ополаскиватель Aussome Volume 250 мл";242;302;25;330031;1
"HEAD & SHOULDERS Шампунь Густые и крепкие 400 мл";242;302;25;330715;1
"HEAD & SHOULDERS Шампунь Густые и крепкие 600 мл";268;335;25;330718;1
"AUSSIE Шампунь Colour Mate 300 мл";242;302;25;330621;1
"AUSSIE Бальзам-ополаскиватель Colour Mate 250 мл";242;302;25;330032;1
"GILLETTE Антиперспирант гелевый Cool Wave Power Beads 75 мл";218;272;25;350192;1
"HEAD & SHOULDERS Шампунь 2 в 1 Гладкие и шелковистые 400 мл";242;302;25;330724;1
"GILLETTE Антиперспирант Гелевый Sport Triumph 70 мл";218;272;25;350168;1
"AUSSIE Шампунь Miracle Moist 300 мл";242;302;25;330622;1
"HEAD & SHOULDERS шампунь Увлажняющий уход 400 мл";242;302;25;330733;1
"HEAD & SHOULDERS Шампунь Объем от самых корней 600 мл";268;335;5;330700;1
"ARIEL стиральный порошок Color автомат 3 кг";349;436;25;410245;1
"GILLETTE Антиперспирант аэрозольный Cool Wave 150 мл";190;238;25;380126;1
"GILLETTE Антиперспирант аэрозольный Power Rush 150 мл";190;238;25;380127;1
"TIDE Гель для стирки в капсулах Lenor 20 шт";428;535;25;410491;1
"TIDE Гель для стирки в капсулах Альпийская свежесть 26 шт";559;699;15;410484;1
"TIDE Гель для стирки в капсулах Альпийская свежесть 12 шт";182;228;25;410481;1
"ORAL-B Зубная паста Stages Ягодный взрыв 75 мл";116;145;25;310117;1
"GILLETTE станок для бритья Fusion ProGlide с 1 сменной кассетой";573;716;25;320239;1
"GILLETTE Гель для бритья ProGlide Sensitive Ocean Breeze 170 мл";323;404;5;320041;1
"GILLETTE Пена для бритья ProGlide Sensitive Active Sport 250 мл";207;259;25;320070;1
"ORAL-B Зубная щетка Stages 1 (до 2 лет)";116;145;25;720036;1
"PAMPERS подгузники Active Baby 6 (15+ кг) 56 шт";869;1086;25;710162;1
"PANTENE Шампунь Укрепление и блеск 400мл";207;259;25;330849;1
"ORAL-B Зубная щетка Stages 3 ( от 5 до 7 лет)";116;145;25;790118;1
"PANTENE Бальзам-ополаскиватель Слияние с природой Укрепление и блеск 400 мл";207;259;25;330109;1
"LENOR концентрированный кондиционер для белья Скандинавская весна 2 л";239;299;25;410122;1
"HEAD & SHOULDERS Шампунь 2 в 1 Основной уход 400 мл";242;302;25;330731;1
"LENOR концентрированный кондиционер для белья Прохлада океана 0,93 л";130;162;25;410118;1
"LENOR концентрированный кондиционер для белья Золотая орхидея 1,8 л";239;299;25;410130;1
"PANTENE Шампунь Очищение и Питание 400мл";207;259;25;330846;1
"PANTENE Бальзам-ополаскиватель Слияние с природой Очищение и Питание 400мл";207;259;25;330106;1
"LENOR концентрированный кондиционер для белья Альпийские луга 1 л";130;162;25;410111;1
