"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Код товара:АМ-7777";"ЖОКЕЙ кофе молотый По-восточному 100 г";"110316"
"(Характеристики товара (Продукты))Код товара:АМ-7778";"NESСAFE Кофе растворимый сублимированный Gold 47,5 г";"110280"
"(Характеристики товара (Продукты))Код товара:АМ-7779";"NESСAFE Кофе растворимый сублимированный Gold 75 г";"110278"
"(Характеристики товара (Продукты))Код товара:АМ-7780";"NESСAFE Кофе растворимый сублимированный Gold 95 г";"110281"
"(Характеристики товара (Продукты))Код товара:АМ-7781";"NESСAFE Кофе растворимый Gold 190 г";"110279"
"(Характеристики товара (Продукты))Код товара:АМ-7782";"NESСAFE Кофе растворимый сублимированный Gold 250 г";"110275"
"(Характеристики товара (Зоотовары))Код товара:АМ-7783";"ROYAL CANIN сухой корм X-Small Puppy для щенков миниатюрных пород 0,5 кг";"620204"
"(Характеристики товара (Продукты))Код товара:АМ-7784";"NESСAFE Кофе растворимый сублимированный Gold 500 г";"110276"
"(Характеристики товара (Зоотовары))Код товара:АМ-7785";"PERFECT FIT Sensitive Сухой корм с индейкой для взрослых кошек с чувствительным пищеварением 2,5кг";"620400"
"(Характеристики товара (Продукты))Код товара:АМ-7786";"NESCAFE Кофе растворимый сублимированный Gold 750 г";"110277"
"(Характеристики товара (Продукты))Код товара:АМ-7787";"ЧЕРНАЯ КАРТА Кофе в зернах 100 г";"110199"
"(Характеристики товара (Продукты))Код товара:АМ-7788";"LEBO Кофе молотый Extra Арабика 75 г";"110260"
"(Характеристики товара (Продукты))Код товара:АМ-7789";"AMBASSADOR Кофе молотый Adora 95 г";"110221"
"(Характеристики товара (Продукты))Код товара:АМ-7790";"ЧЕРНАЯ КАРТА Кофе растворимый Gold 36 г";"110206"
"(Характеристики товара (Продукты))Код товара:АМ-7791";"МОСКОФЕ кофе растворимый Индийский 45 г";"110301"
"(Характеристики товара (Продукты))Код товара:АМ-7792";"ЧЕРНАЯ КАРТА Кофе молотый 100 г";"110211"
"(Характеристики товара (Продукты))Код товара:АМ-7793";"LEBO Кофе в зернах Original Арабика 100 г";"110256"
"(Характеристики товара (Продукты))Код товара:АМ-7794";"LEBO Кофе молотый Принц Лебо 100 г";"110264"
"(Характеристики товара (Продукты))Код товара:АМ-7795";"NESCAFE Кофе растворимый гранулированный Classic 47,5 г";"110290"
"(Характеристики товара (Продукты))Код товара:АМ-7796";"ЖОКЕЙ кофе молотый Классический 100 г";"110315"
"(Характеристики товара (Продукты))Код товара:АМ-7797";"Ahmad Tea зеленый чай, 25 пакетиков";"124022"
"(Характеристики товара (Продукты))Код товара:АМ-7798";"Ahmad Tea зеленый чай с жасмином, 25 пакетиков";"124023"
"(Характеристики товара (Продукты))Код товара:АМ-7799";"ЖОКЕЙ кофе молотый Итальяно 100 г";"110314"
"(Характеристики товара (Продукты))Код товара:АМ-7800";"Ahmad Tea Классический черный чай, 25 пакетиков";"124025"
"(Характеристики товара (Продукты))Код товара:АМ-7801";"NESСAFE Кофе растворимый гранулированный Classic 50 г";"110283"
