Артикул;Цена_Розничная;Цена_Закупочная
110053;494;395
110142;206;165
120152;105;84
120181;149;119
130037;288;230
140248;246;197
150036;53;42
150107;688;550
150109;120;96
150110;145;116
150311;151;121
160059;181;145
160102;85;68
170024;130;104
170146;56;45
170155;56;45
170166;93;74
170169;93;74
210041;1149;919
250020;334;267
310284;6521;5217
310290;12990;10101
310291;10962;10101
310293;6521;5217
330215;73;51
330216;73;51
330235;244;195
330272;188;150
330276;188;150
330403;96;77
330582;101;81
330680;179;143
350022;254;203
350125;190;152
350126;190;152
350235;208;166
410392;55;44
410404;49;39
410481;243;182
410483;603;428
410484;788;559
430216;108;86
430244;96;77
430287;384;307
430316;104;83
430402;85;68
430450;191;153
430453;191;153
430454;191;153
430455;325;260
430456;191;153
430500;1003;802
440111;256;205
460185;265;212
460218;196;176
520012;934;747
520061;1134;907
520103;333;289
520111;1028;822
520151;1134;907
520160;551;441
520303;540;432
520489;469;375
520526;440;352
520632;439;351
520675;666;533
520747;274;219
520749;274;219
520752;274;219
520756;369;295
520761;274;219
520766;274;219
520788;433;346
520809;734;587
520883;86;69
530087;366;293
530088;366;293
530134;269;215
530136;285;228
530227;275;220
530228;275;220
530251;270;216
530260;384;307
530261;384;307
530309;739;681
530310;803;739
540020;48;38
540024;58;46
540047;201;161
610188;6766;5941
610195;7766;6817
610202;6906;6062
610213;7356;5885
610216;6906;6062
610219;6766;5941
610224;6409;5127
610225;7356;5885
610229;6766;5974
610238;6221;5459
610242;8444;7416
610248;6766;5941
610257;6026;5291
610264;341;307
610265;8000;6400
610270;8000;6400
610272;410;328
610301;6324;5553
610314;7330;5864
610370;110;88
620037;8750;7000
620039;6653;5775
620046;6443;5485
620107;7085;5668
620165;6263;5010
620214;8309;6647
620217;7855;6895
620219;7764;6211
620222;6983;6129
620227;8320;7302
620235;9894;7915
620250;8988;7190
620253;7726;6784
620271;10088;8070
710374;815;652
710388;908;726
720018;134;107
720067;73;58
730023;30;24
730024;30;24
730041;69;55
730043;98;78
740048;98;77
