"Артикул";"Остаток";"Цена_Амизян";"Цена_Розничная"
"110296";"79";"259,55";"345"
"110056";"25";"457,08";"608"
"110300";"38";"492,67";"655"
"110057";"137";"470,17";"625"
"110297";"115";"271,37";"361"
"110298";"122";"254,45";"338"
"110299";"100";"450,97";"600"
"110301";"591";"46,99";"62"
"110302";"602";"79,29";"105"
"110137";"845";"49,16";"65"
"110138";"2419";"82,28";"109"
"110303";"56";"486,05";"646"
"110074";"51";"510,41";"679"
"110304";"318";"93,55";"124"
"110072";"127";"293,67";"391"
"110305";"212";"307,94";"410"
"110306";"221";"422,67";"562"
"110073";"235";"436,23";"580"
"110076";"218";"293,67";"391"
"110071";"171";"293,67";"391"
