"Категории";"Основная категория";"Артикул";"Показывать товар";"Короткое название";"Бренд";"Цена_Трансазия";"Цена_Розничная";"Фотографии";"Характеристики";"Описание товара"
"Детские товары/Купание и гигиена/Зубные пасты и щетки";"Детские товары/Купание и гигиена/Зубные пасты и щетки";790193;1;"ПРИНЦЕССА зубная паста Сливочный пломбир 50 мл";"ПРИНЦЕССА";49;61;"/storage/photo/original/c/princessa-zubnaya-pasta-slivochnij-plombir-50-ml.jpg";"(Характеристики товара (Детские товары))Тип товара:Зубная паста;
(Характеристики товара (Детские товары))Бренд:ПРИНЦЕССА;
(Характеристики товара (Детские товары))Для кого:Для детей;
(Характеристики товара (Детские товары))Страна происхождения:РОССИЯ;
(Характеристики товара (Детские товары))EAN:4690494034276;
(Характеристики товара (Детские товары))Объем:50 мл;
(Характеристики товара (Детские товары))Код товара:CB-00016494";"Специально разработанная рецептура для детей от 3 лет и старше. Мягко очищает и освежает полость рта, эффективно защищает от кариеса, как молочные, так и постоянные зубы. Проведены клинические исследования.<br />
Состав: Sorbitol, Aqua, Hydrated Silica, Glycerin, Sodium Lauryl Sulfate, Cellulose Gum, Calcium Glycerophosphate, Maltooligosyl Glucoside, Hydrogenated Starch Hydrolysate, Sodium Saccharin, Aroma, Sodium Methylparaben, Benzyl Benzoate, Eugenol, Titanium Dioxide."
"Детские товары/Купание и гигиена/Шампуни и уход за волосами";"Детские товары/Купание и гигиена/Шампуни и уход за волосами";790194;1;"ПРИНЦЕССА спрей для легкого расчесывания Послушные кудряшки 150 мл";"ПРИНЦЕССА";110;138;"/storage/photo/original/c/princessa-sprej-dlya-legkogo-raschesivaniya-poslushnie-kudryashki-150-ml.jpg";"(Характеристики товара (Детские товары))Тип товара:Спрей для волос;
(Характеристики товара (Детские товары))Бренд:ПРИНЦЕССА;
(Характеристики товара (Детские товары))Страна происхождения:РОССИЯ;
(Характеристики товара (Детские товары))EAN:4607075863026;
(Характеристики товара (Детские товары))Объем:150 мл;
(Характеристики товара (Детские товары))Код товара:CB-00048463";"Спрей для легкого расчесывания ""Послушные кудряшки"" - это незаменимый продукт для принцесс с длинными и кудрявыми волосами. Всего несколько капель чудо-средства, и волосы не только легко расчесываются, но и приобретают красивый натуральный блеск.
Протеины шелка делают волосы мягкими и шелковистыми, предотвращая ломкость и спутывание при расчесывании."
"Детские товары/Уход за кожей ребенка/Кремы, масла, присыпки";"Детские товары/Уход за кожей ребенка/Кремы, масла, присыпки";790195;1;"ПРИНЦЕССА крем детский С миндальным маслом 75 мл";"ПРИНЦЕССА";66;82;"/storage/photo/original/c/princessa-krem-detskij-s-mindalnim-maslom-75-ml.jpg";"(Характеристики товара (Детские товары))Тип товара:Крем детский;
(Характеристики товара (Детские товары))Бренд:ПРИНЦЕССА;
(Характеристики товара (Детские товары))Страна происхождения:РОССИЯ;
(Характеристики товара (Детские товары))EAN:4607075861510;
(Характеристики товара (Детские товары))Объем:75 мл;
(Характеристики товара (Детские товары))Код товара:00000040476";"Незаменимый продукт для юной Принцессы! Чтобы выглядеть безупречно. Крем смягчает и увлажняет кожу, витамины - питают, а специальные компоненты восстанавливают её защитные функции."
"Косметика и Уход/Уход за волосами/Шампуни";"Косметика и Уход/Уход за волосами/Шампуни";570264;1;"ГАДКИЙ Я шампунь 2-в-1 250 мл";"ГАДКИЙ Я";84;105;"/storage/photo/original/c/gadkij-ya-shampun-2-v-1-250-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Шампунь;
(Характеристики товара (Косметика и уход))Бренд:ГАДКИЙ Я;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4650092452148;
(Характеристики товара (Косметика и уход))Объем:250 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00049843";"Мягкая формула бережно ухаживает за детскими волосами и кожей головы и позволяет использовать его для ежедневной гигиены.
Экстракты авакадо, папайи, маракуйи, входящие в состав шампуня, благотворно действуют на кожу головы, защищая ее от раздражений и пересушивания, а так же оказывает питательное действие на волосы малыша,оставляя их мягкими и послушными."
"Косметика и Уход/Уход за волосами/Шампуни";"Косметика и Уход/Уход за волосами/Шампуни";570265;1;"ПРИНЦЕССА шампунь-уход Волшебные локоны 250 мл";"ПРИНЦЕССА";86;108;"/storage/photo/original/c/princessa-shampun-uhod-volshebnie-lokoni-250-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Шампунь;
(Характеристики товара (Косметика и уход))Бренд:ПРИНЦЕССА;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4650092451172;
(Характеристики товара (Косметика и уход))Объем:250 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00041629";"Натурально, Гипоаллергенно,
Провитамин В5.
Без слез.
Содержит масло арганы!
Питание и увлажнение.
Активные компоненты в составе шампуня:
Экстракты - груша, яблоко, слива, вишня.
Масло арганы – источник витаминов, питания, увлажнения, блеска волос,
Провитамин В5."
"Косметика и Уход/Уход за волосами/Шампуни";"Косметика и Уход/Уход за волосами/Шампуни";570266;1;"ГАДКИЙ Я шампунь-гель 250 мл";"ГАДКИЙ Я";84;105;"/storage/photo/original/c/gadkij-ya-shampun-gel-250-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Шампунь;
(Характеристики товара (Косметика и уход))Бренд:ГАДКИЙ Я;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4650092452155;
(Характеристики товара (Косметика и уход))Объем:250 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00049842";"Для детей от 1 года
Густая пена с ароматом молочной карамели подарит малышам целое море удовольствия от купания!
Мягкая формула бережно ухаживает за детскими волосами и кожей головы.
Может использоваться в качестве геля для душа.
Без SLS, силиконов
Без парабенов
Без метилов
Без красителей"
"Косметика и Уход/Уход за волосами/Шампуни";"Косметика и Уход/Уход за волосами/Шампуни";570267;1;"ГОНКИ детский шампунь 2-в-1 300 мл";"ГОНКИ";89;111;"/storage/photo/original/c/gonki-detskij-shampun-2-v-1-300-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Шампунь;
(Характеристики товара (Косметика и уход))Бренд:ГОНКИ;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4650092452025;
(Характеристики товара (Косметика и уход))Объем:300 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00047115";"Шампунь с кондиционером серии ""Гонки"" бережно очищает и увлажняет кожу головы.
Благодаря мягкой формуле и натуральным экстрактом в составе волосы не спутываются и легко расчесываются.
Идеальное средство для ежедневного ухода.
Содержит: Провитамин В5 (Д-пантенол), экстракт молока, брусники, ежевики.
Гипоаллергенная отдушка.
Без красителей,SLS,силиконов.
Рекомендован для детей от 1 года."
"Косметика и Уход/Уход за волосами/Шампуни";"Косметика и Уход/Уход за волосами/Шампуни";570268;1;"ПРИНЦЕССА шампунь-гель Нежный уход 250 мл";"ПРИНЦЕССА";86;108;"/storage/photo/original/c/princessa-shampun-gel-nezhnij-uhod-250-ml.jpg";"(Характеристики товара (Косметика и уход))Тип товара:Шампунь;
(Характеристики товара (Косметика и уход))Бренд:ПРИНЦЕССА;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4650092451189;
(Характеристики товара (Косметика и уход))Объем:250 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00041628";"Натурально, Гипоаллергенно,
Без слез .
Питание и увлажнение.
Активные компоненты в составе шампунь-геля:
Экстракты садовых ягод -  крыжовник, смородина, клубника, виноград,
Провитамин В5"
"Средства гигиены/Душ и ванная/Гели для душа";"Средства гигиены/Душ и ванная/Гели для душа";380198;1;"ПРИНЦЕССА гель для душа Молочный апельсин 400 мл";"ПРИНЦЕССА";111;139;"/storage/photo/original/c/princessa-gel-dlya-dusha-molochnij-apelsin-400-ml.jpg";"(Характеристики товара (Средства гигиены))Тип товара:Гель для душа;
(Характеристики товара (Средства гигиены))Бренд:ПРИНЦЕССА;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:4670002411669;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:00000040813";"Сказочное удовольствие для любимой Принцессы! Мягкий гель для душа делает кожу гладкой и бархатистой, а яркий аромат создает солнечное настроение. Экстракты апельсина и молока бережно очищают и увлажняют кожу, даруя свежесть и нежность."
"Средства гигиены/Душ и ванная/Гели для душа";"Средства гигиены/Душ и ванная/Гели для душа";380199;1;"ПРИНЦЕССА гель для душа Ласковая забота 250 мл";"ПРИНЦЕССА";86;108;"/storage/photo/original/c/princessa-gel-dlya-dusha-laskovaya-zabota-250-ml.jpg";"(Характеристики товара (Средства гигиены))Тип товара:Гель для душа;
(Характеристики товара (Средства гигиены))Бренд:ПРИНЦЕССА;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:4650092451196;
(Характеристики товара (Средства гигиены))Объем:250 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00041631";"Натурально, Гипоаллергенно,
Содержит масло персика!
Питание и увлажнение.
Активные компоненты в составе геля для душа:
Экстракты фруктов - абрикос, персик, манго, инжир, арбуз, дыня, хурма.
Масло персика – источник витаминов и минералов, питает и защищает кожу от воспаления,
Провитамин В5."
