Категории;Основная категория;Артикул;Цена_Розничная;Характеристики;Описание товара;Короткое название;Бренд;Фотографии;Цена_Зачеркнутая
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790010;100;"(Характеристики товара)Тип товара:Мягкие уголки;
(Характеристики товара)Бренд:БУСИНКА;
(Характеристики товара)Страна происхождения;
(Характеристики товара)EAN:4820121901293;
(Характеристики товара)Количество:4 шт";"Накладки на углы защитят малыша от ударов об острые углы столов, стульев, низко висящих полок.
Благодаря липкой основе, легко крепятся на углы мебели.
В упаковке 4 штуки.";БУСИНКА накладки на углы 4 шт;БУСИНКА;/storage/photo/original/b/businka-nakladki-na-ugli-4-sht.jpg;106
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790011;101;"(Характеристики товара)Тип товара:Блокиратор;
(Характеристики товара)Бренд:БУСИНКА;
(Характеристики товара)Страна происхождения;
(Характеристики товара)EAN:4820121901309;
(Характеристики товара)Количество:2 шт";"Блокиратор прост в использовании, многофункционален.
Подходит как для плоских (дверцы шкафа, ящики столов), так и для угловых (дверцы холодильника) поверхностей.
Не позволяет ребенку поранить пальчики при попытке открыть дверь.
Удобен в применении. Изготавливаются из прочного и безопасного материала.
В комплекте: 2 шт.
Длина: 7 см";БУСИНКА блокиратор 7 см 2 шт;БУСИНКА;/storage/photo/original/b/businka-blokirator-7-sm-2-sht.jpg;107
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790012;114;"(Характеристики товара)Тип товара:Заглушки для розеток;
(Характеристики товара)Бренд:БУСИНКА;
(Характеристики товара)Страна происхождения:КИТАЙ;
(Характеристики товара)EAN:4820121902016;
(Характеристики товара)Количество:6 шт";"Незаменимые и универсальные:
не дают ребёнку вставить в розетку палец или острые предметы исключают риск поражения электротоком
для установки на розетках с заземлением и без заземления
простая установка и съём с помощью специального ключа
В комплекте 6 шт. с ключом";БУСИНКА заглушки для розеток 6 шт;БУСИНКА;/storage/photo/original/b/businka-zaglushki-dlya-rozetok-6-sht.jpg;120
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790013;94;"(Характеристики товара)Тип товара:Блокиратор;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016130034";Приспособление для блокировки дверей шкафов от детей избавит Вас от постоянной тревоги за нежные пальчики ребенка, которые озорной шалун шустро просовывает во всевозможные двери. Устройство хорошо и по эстетическим соображениям. Защита от прищемления пальцев в виде компактного замочка впишется в интерьер не только детской, но и кухни, и остальных комнат. Приспособление для блокировки дверей шкафов от детей подходит для шкафов, холодильника, морозильной камеры, унитаза и т.д.;BRADEX блокиратор гибкий мебельный голубой 2 шт;BRADEX;/storage/photo/original/b/bradex-blokirator-gibkij-mebelnij-goluboj-2-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790014;94;"(Характеристики товара)Тип товара:Блокиратор;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016199628";Приспособление для блокировки дверей шкафов от детей избавит Вас от постоянной тревоги за нежные пальчики ребенка, которые озорной шалун шустро просовывает во всевозможные двери. Устройство хорошо и по эстетическим соображениям. Защита от прищемления пальцев в виде компактного замочка впишется в интерьер не только детской, но и кухни, и остальных комнат. Приспособление для блокировки дверей шкафов от детей подходит для шкафов, холодильника, морозильной камеры, унитаза и т.д.;BRADEX блокиратор гибкий мебельный розовый 2 шт;BRADEX;/storage/photo/original/b/bradex-blokirator-gibkij-mebelnij-rozovij-2-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790015;181;"(Характеристики товара)Тип товара:Блокиратор;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4607101203475;
(Характеристики товара)Количество:1 шт";Не позволяет ребенку открыть двери холодильника, морозильной камеры, шкафов, микроволновых печей. Благодаря гибкому материалу может использоваться на углах и неровных поверхностях. Крепится на стеклянные, ламинированные, пластмассовые, металлические поверхности, в том числе на холодильники и морозильные камеры. Легко демонтируется при необходимости. Ширина блокиратора 10 см.;LUBBY блокиратор Для дверей гибкий большой;LUBBY;/storage/photo/original/b/lubby-blokirator-dlya-dverej-gibkij-bolshoj.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790016;166;"(Характеристики товара)Тип товара:Блокиратор;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4607101203482;
(Характеристики товара)Количество:1 шт";"Не позволяет ребенку открыть двери холодильника, морозильной камеры, шкафов, микроволновых печей.<br>
<br>
Благодаря гибкому материалу может использоваться на углах и неровных поверхностях. Крепится на стеклянные, ламинированные, пластмассовые, металлические поверхности, в том числе на холодильники и морозильные камеры. Легко демонтируется при необходимости. Ширина блокиратора 16см.";LUBBY блокиратор Для дверей гибкий малый;LUBBY;/storage/photo/original/b/lubby-blokirator-dlya-dverej-gibkij-malij.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790017;163;"(Характеристики товара)Тип товара:Блокиратор;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4607101203512;
(Характеристики товара)Количество:1 шт";"Не позволяет ребенку открывать створки шкафчиков и прищемить пальцы. Крепится на деревянные, пластмассовые, а также стеклянные поверхности. Ширина замка 10см. Инструкция по применению:<br>
<br>
Тщательно протрите поверхность, на которую собираетесь закрепить замок.<br>
Снимите защитную пленку с задней поверхности замка, сильно прижмите к поверхности шкафчика.<br>
После закрепления";LUBBY блокиратор Замок для створок шкафчика;LUBBY;/storage/photo/original/b/lubby-blokirator-zamok-dlya-stvorok-shkafchika.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790018;230;"(Характеристики товара)Тип товара:Блокиратор;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4607101203529;
(Характеристики товара)Количество:1 шт";Не позволяет ребенку открывать выдвижные шкафчики и прищемить пальцы. Крепится на деревянные, пластмассовые, а также стеклянные поверхности.;LUBBY блокиратор Замок для выдвижных шкафчиков;LUBBY;/storage/photo/original/b/lubby-blokirator-zamok-dlya-vidvizhnih-shkafchikov.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790019;113;"(Характеристики товара)Тип товара:Заглушки для розеток;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016199116";"Любопытного малыша, который только начал ползать, опасности поджидают на каждом шагу: острые углы, мелкие предметы и самое страшное – доступ к электросети. Но ведь ежесекундно следить за подрастающим поколением просто невозможно! Уберечь ребенка от контакта с электричеством помогут защитные накладки на розетку: • легкие в использовании – просто вставьте их в розетку, как обычный штекер, и она будет надежно заблокирована от проникновения; • не требуют специального ключа, который часто теряется – чтобы снять накладку, достаточно вставить штекер в отверстия и повернуть по часовой стрелке; • в комплекте целых 6 накладок для стандартных европейских розеток. Защитные накладки на розетку – безопасность ребенка, спокойствие родителей!";BRADEX заглушки для розеток 6 шт;BRADEX;/storage/photo/original/b/bradex-zaglushki-dlya-rozetok-6-sht.jpg;
