"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"АВАНТА Зубная паста Фтородент Тотал 125 г;QUALITA Зубочистки бамбуковые 200 шт";"SPLAT Дорожный набор Зубная паста Ультракомплекс 40 мл + Зубная щетка;SPLAT очищающая пенка для зубов и десен 2 в 1 Oral Care Foam с ароматом мяты 50 мл;МОЕ СОЛНЫШКО зубная паста Мультивитамин 65 г";310271;"ORAL-B Насадки для электрических зубных щеток Ortho Essentials 3 шт"
"АВАНТА зубной порошок Семейный Отбеливающий;GREEN LOVE ополаскиватель для белья 1 л";"ORAL-B Зубная нить Essential floss невощеная 50 м;CJ LION зубная паста Kids Safe виноград 3 - 12 лет 90 г;R.O.C.S. зубная паста Kids Фруктовый рожок от 3-7 лет 45 г";310277;"ORAL-B Насадка для электрических зубных щеток 3D White 4 шт"
"ВЕСНА Зубная паста Буратино лимонадный взрыв 75 гр;ORAL-B набор электрических зубных щеток Genius 8200 (D701 + Mickey Kids D10)";"ORAL-B Набор интердентальный Pro-Expert Clinic Line;ORAL-B Зубная нить Satin floss 25 м";310155;"SPLAT зубная паста Special Sea Minerals 75 мл"
"ВЕСНА Зубная паста Буратино лимонадный взрыв 75 гр;R.O.C.S. зубная паста Teens для детей школьного возраста Земляника 74 г";"ORAL-B Электрическая зубная щетка детская Stages Power DB4 от 3 лет;ORAL-B Зубная щетка Stages 1 (до 2 лет);ORAL-B Зубная нить Essential floss мятная 50 м";310242;"ЛЕСНОЙ БАЛЬЗАМ ополаскиватель для полости рта Прополис и зверобой 250 мл"
"ВЕСНА Зубная паста Буратино лимонадный взрыв 75 гр;SPLAT Зубная паста Juicy Тутти-фрутти для детей 35 мл";"ORAL-B Ополаскиватель полости рта 3D White Luxe 250мл;ORAL-B Зубная нить Satin floss 25 м;SPLAT зубная паста Special Sea Minerals 75 мл";310176;"SPLAT зубная щетка Blackwood Medium 1 шт"
"ВЕСНА Зубная паста Дюймовочка клубника со сливками 75 гр;ЛЕСНОЙ БАЛЬЗАМ ополаскиватель для полости рта Комплексная защита 10в1 250 мл";"ORAL-B Зубная нить Satin floss 25 м;CJ LION зубная щетка Dentor System средняя 1 шт;ORAL-B Насадки для электрических зубных щеток Sensitive Бережное очищение зубов 2 шт";310064;"ЛЕСНОЙ БАЛЬЗАМ зубная паста 2в1 с бальзамом для десен 75 мл"
"ВЕСНА Ополаскиватель для полости рта Фтородент 275 мл;ORAL-B Зубная нить Essential floss невощеная 50 м";"ВЕСНА зубная паста Фтородент 100 мл;SPLAT Зубная паста Kids Молочный шоколад для детей от 2 до 6 лет 50 мл;ВЕСНА зубная паста Семейная Фтор + кальций 100 г";310186;"CJ LION зубная щетка Dentor System средняя 1 шт"
"ВЕСНА Ополаскиватель полости рта Фтородент целебные травы 275 мл;ДРАКОША зубная паста-гель Клубника детская 60 мл";"ORAL-B Зубная щетка 3D White Отбеливание средняя;ORAL-B Насадки для электрических зубных щеток Trizone 2 шт;SPLAT зубная нить Черное дерево 30 м";310032;"SPLAT зубная паста Black Lotus 75 мл"
"ГАДКИЙ Я зубная паста детская Апельсин 60 гр";"SANINO Зубная паста Белоснежная улыбка 100 мл;ЧИСТЮЛЯ зубочистки мятные 100 шт;SPLAT зубная паста Junior Ягодный коктейль детская 73 мл";380198;"ЛЕСНОЙ БАЛЬЗАМ Набор Зубная паста Комплексная защита 20 мл + Ополаскиватель  90 мл + Зубная щетка Тонус эффект 1 шт"
"ГАДКИЙ Я зубная паста детская Апельсин 60 гр;QUALITA Зубочистки бамбуковые 200 шт";"R.O.C.S. зубная паста Нежный уход с ароматом липы 0-3 лет 45 г;ДРАКОША ополаскиватель для полости рта Тутти-Фрутти детский 250 мл;R.O.C.S. зубная паста Kids Ягодная фантазия 3-7 лет 45 г";310226;"SPLAT зубная щетка Complete мягкая"
