"Рекомендуемые товары";"Сопутствующие товары";"Короткое название";"Артикул"
"ДОМИНГО Губки поролоновые с абразивом Bubbler 4 шт;FORESTER Решетка-гриль для сосисок, купат, колбасок 1 шт";"ENERGIZER батарейки MAX AA (LR6) 2 шт;DURACELL батарейки Turbo Max AA 8 шт;ЧИСТЮЛЯ губки поролоновые с абразивом Комфорт 5 шт";"REFRESH ароматизатор для автомобиля Your Car Тропические Фрукты клипса 4 шт";450132
"ДОМИНГО Перчатки с длинной манжетой Longa L;ЧИСТЮЛЯ губки поролоновые с абразивом Комфорт 7 шт";"CIF чистящий крем Active Fresh 500 мл;Совок с закрывающейся крышкой Леголэнд;VILEDA салфетка вискозная универсальная 38х40 см красная 1 шт";"SYMPHONY сменный баллон для автоматического освежителя воздуха Свежесть океана 250 мл";450178
"ДОМИНГО Перчатки с длинной манжетой Longa S";"ДОННА РОЗА салфетки вискозные 3 шт;CIF чистящий крем Max Ледяной Бриз 450 мл;Щетка для совка Леголэнд 25 см";"SYMPHONY освежитель воздуха Антитабак 300 мл";450173
"ДОМИНГО Перчатки хозяйственные Brute прочные L;БИОЛАН чистящее средство Сочный лимон 400 г";"VILEDA салфетка хозяйственная МикроТафф Плюс 38х38 см красная 1 шт;Совок с закрывающейся крышкой Леголэнд;ДОМИНГО Салфетка из микрофибры для пола Ламинат";"SYMPHONY Дезинфектор Воздуха Expert без запаха 250 мл";450171
"ДОМИНГО Перчатки хозяйственные Brute прочные L;ЧИСТЮЛЯ мочалка-нержавейка Маленькая кухня";"ENERGIZER батарейка CR2025 1 шт;ДОМИНГО Губки поролоновые с абразивом Bubbler 4 шт;СОЮЗГРИЛЬ решетка-гриль Универсальная с регулируемой высотой 24 х 37 см";"CALIFORNIA SCENTS ароматизатор для автомобиля Монтерейская Ваниль банка 1 шт";450102
"ДОМИНГО Перчатки хозяйственные Brute прочные S;SANITA спрей Жироудалитель 500 мл";"ЧИСТЮЛЯ швабра отжимная с губкой ПВА 1 ролик;ДОМИНГО Салфетка из микрофибры для пола Ламинат;COMET чистящий порошок Лимон без хлоринола 475 г";"SYMPHONY сменный баллон для автоматического освежителя воздуха Горный воздух 250 мл";450176
"ДОМИНГО Салфетка из микрофибры для пола Ламинат;DURACELL аккумуляторы AA 2500 mAh 4 шт";"FORESTER Решетка-гриль для стейков большая;ЧИСТЮЛЯ Салфетка вискозная тонкая 10 шт;ENERGIZER батарейки Maximum AAA 2 шт";"DELISS автомобильный ароматизатор Harmony набор 1 шт";450121
"ДОННА РОЗА губка поролоновая с абразивом 10 шт;ДОМИНГО Перчатки хозяйственные Brute прочные L";"ЧИСТЮЛЯ швабра с насадкой из микрофибры;QUALITA cкребок из нержавеющей стали 1 шт;DR. SCHNELL средство для очистки санитарных зон и удаления отложений Milizid 1 л";"SUNNY DAY освежитель воздуха Летний Дождь 300 мл";450167
"Пакеты для мусора 60 л Особо Прочные 20 шт;ENERGIZER батарейки AAA (LR03) 20 шт";"ЧИСТЮЛЯ Салфетки целлюлозные Маленькая кухня мини 3 шт;FORESTER решетка-гриль большая;ENERGIZER батарейки A27 2 шт";"DELISS ароматизатор для автомобиля Joy саше 1 шт";450114
"Совок с закрывающейся крышкой Леголэнд;VILEDA салфетка хозяйственная МикроТафф Бэйс 36х36 см желтая 1 шт";"VILEDA перчатки Контракт резиновые M;COMET порошок чистящий Океан 475 г;EXPEL средство для чистки унитаза соединенного с септиком";"SYMPHONY Освежитель воздуха Морской бриз 300см3 /12/12";450174
