"Категории";"Артикул";"Основная категория";"Короткое название";"Цена_Трансазия";"Цена_Розничная";"Бренд";"Фотографии";"Показывать товар";"Цена_Зачеркнутая";"Характеристики";"Описание товара"
"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";460415;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"TIDE  Гель для стирки в капсулах Альпийская свежесть 15 шт";289;361;"TIDE";"/storage/photo/original/h/tide-gel-dlya-stirki-v-kapsulah-alpijskaya-svezhest-15-sht.jpg";1;402;"(Характеристики товара (Бытовая химия))Тип товара:Капсулы для стирки;
(Характеристики товара (Бытовая химия))Бренд:TIDE;
(Характеристики товара (Бытовая химия))Серия:Альпийская свежесть;
(Характеристики товара (Бытовая химия))Страна происхождения:Франция;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Количество:15 шт;
(Характеристики товара (Бытовая химия))EAN:4084500569508;
(Характеристики товара (Бытовая химия))Количество:15 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00010498";"Гель для стирки TIDE в капсулах Альпийская свежесть автомат --><br><p>Жидкий стиральный порошок, заключенный в водорастворимую капсулу, для стирки белого и светлоокрашенного белья в автоматических стиральных машинах любого типа. Применяется для всех видов ткани, в том числе со смешанными волокнами. Не рекомендуется применять для ухода за деликатными тканями, такими как шерсть, шелк, кашемир и т. д. Содержит активные добавки из трех отдельных компонентов, направленные на эффективное удаление пятен, восстановление и поддержание цвета и бережное отношение к структуре ткани. Загрузка капсулы происходит непосредственно в барабан стиральной машины. После стирки белье наполняется мягкостью и свежестью, сохраняющиеся длительное время. </p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li>Применяется для белого и светлоокрашенного белья.</li><li>Может использоваться для всех типов ткани, кроме деликатных.</li><li>Эффективен при температуре от 20 градусов.</li><li>Удобен в применении, 1 капсула=1 стирка</li><li> Хорошо растворяется и пенится.</li><li>Тщательно выполаскивается с поверхности ткани.</li><li>Не требует использование кондиционера.</li><li> Беречь от детей.</li><li> Удобен в хранении за счет компактной упаковки.</li><li> Упаковка рассчитана на 15 стирок.</li>
<br>
Состав:15-30% анионные ПАВ, мыло; 5-15% неионогенные ПАВ; энзимы, оптические отбеливатели, ароматизирующие добавки, альфа-изометилионон, бензил салицилат, бутилфенил метилпропиональ, цитронелол, эвгенол, гераниол, линалоол."
"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";460416;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"ЛАСКА гель для стирки Эффект Восстановления Белого 3D 1 л";331;414;"ЛАСКА";"/storage/photo/original/h/laska-gel-dlya-stirki-effekt-vosstanovleniya-belogo-3d-1-l.jpg";1;;"(Характеристики товара (Бытовая химия))Тип товара:Гель для стирки;
(Характеристики товара (Бытовая химия))Бренд:ЛАСКА;
(Характеристики товара (Бытовая химия))Серия:Эффект восстановления белого 3D;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))EAN:9000100616881;
(Характеристики товара (Бытовая химия))Объем:1 л;
(Характеристики товара (Бытовая химия))Код товара:CB-00028410";"Жидкое средство для стирки Ласка 3D Эффект восстановления Белого - это жидкое средство для стирки одежды белого цвета. Формула 3D ухаживает за тканью, и стирка за стиркой поддерживает красоту цвета в 3 ключевых направлениях: <br />
1. Интенсивность Цвета - Защищает насыщенность белого <br />
2. Стойкость Цвета - Защищает белые ткани от появления серого оттенка <br />
3. Сияние Цвета - Разглаживает шероховатые волокна для оптимального отражения света. Для белых изделий из любых видов ткани (кроме шерсти и шелка). <br />
<br />
Состав: <br />
5-15% анионные ПАВ; <5% неионогенные ПАВ, мыло, фосфонаты, оптические отбеливатели, консервант, энзимы, отдушка."
"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";460417;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"PEMOS стиральный порошок зимнее утро автомат 350 г";41;51;"ПЕМОС";"/storage/photo/original/h/pemos-stiralnij-poroshok-zimnee-utro-avtomat-350-g.jpg";1;;"(Характеристики товара (Бытовая химия))Тип товара:Стиральный порошок;
(Характеристики товара (Бытовая химия))Бренд:PEMOS;
(Характеристики товара (Бытовая химия))Серия:Зимнее утро;
(Характеристики товара (Бытовая химия))Тип белья:Белое;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Фасовка:0,3 - 1 кг;
(Характеристики товара (Бытовая химия))EAN:9000100547048;
(Характеристики товара (Бытовая химия))Вес:350 г;
(Характеристики товара (Бытовая химия))Код товара:CB-00035370";"<p>
""Pemos. Зимнее утро"" - это стиральный порошок с эффективной формулой, которая отлично отстирывает различные загрязнения. Проникая между волокнами ткани, он растворяет и удаляет грязь, а содержащиеся в его формуле активный кислород придает вещам сияющую белизну.
</p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для белого и светлого белья
<li>Содержит активный кислород"
"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";460418;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"ЛАСКА гель для стирки Эффект Восстановления Белого 3D 2 л";627;784;"ЛАСКА";"/storage/photo/original/h/laska-gel-dlya-stirki-effekt-vosstanovleniya-belogo-3d-2-l.jpg";1;;"(Характеристики товара (Бытовая химия))Тип товара:Гель для стирки;
(Характеристики товара (Бытовая химия))Бренд:ЛАСКА;
(Характеристики товара (Бытовая химия))Серия:Эффект восстановления белого 3D;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))EAN:9000100616850;
(Характеристики товара (Бытовая химия))Объем:2 л;
(Характеристики товара (Бытовая химия))Код товара:CB-00028629";"Жидкое средство для стирки Ласка 3D Эффект восстановления Белого - это жидкое средство для стирки одежды белого цвета. Формула 3D ухаживает за тканью, и стирка за стиркой поддерживает красоту цвета в 3 ключевых направлениях: <br />
1. Интенсивность Цвета - Защищает насыщенность белого <br />
2. Стойкость Цвета - Защищает белые ткани от появления серого оттенка <br />
3. Сияние Цвета - Разглаживает шероховатые волокна для оптимального отражения света. Для белых изделий из любых видов ткани (кроме шерсти и шелка). <br />
<br />
Состав: <br />
5-15% анионные ПАВ; <5% неионогенные ПАВ, мыло, фосфонаты, оптические отбеливатели, консервант, энзимы, отдушка."
"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";460419;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"LOSK стиральный порошок Арома Лотос автомат 2,7 кг";403;504;"LOSK";"/storage/photo/original/h/losk-stiralnij-poroshok-aroma-lotos-avtomat-27-kg.jpg";1;;"(Характеристики товара (Бытовая химия))Тип товара:Стиральный порошок;
(Характеристики товара (Бытовая химия))Бренд:LOSK;
(Характеристики товара (Бытовая химия))Серия:Арома;
(Характеристики товара (Бытовая химия))Тип белья:Цветное;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Фасовка:1,2 - 3 кг;
(Характеристики товара (Бытовая химия))EAN:9000101404647;
(Характеристики товара (Бытовая химия))Вес:2.7 кг;
(Характеристики товара (Бытовая химия))Код товара:CB-00037849";"<p>
Стиральный порошок Losk Ароматерапия – последнее поколение средств для стирки LOSK, которые объединяют в себе:
- Эксклюзивную формулу Active-Zyme 6 с комбинацией из 6 энзимов для эффективного удаления различных пятен и ухода за тканью,
- Уникальное сочетание притягательных ароматов цветов и эфирных масел, которое подарит вещам длительную свежесть и чарующий аромат.
Ароматерапия – сила Losk против пятен и ароматы, которые создадут настроение!
</p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Содержит эфирные масла
<li>Против пятен"
"Бытовая химия/Чистящие средства/Универсальные чистящие средства";460420;"Бытовая химия/Чистящие средства/Универсальные чистящие средства";"SANFOR чистящее средство Белизна гель 3-в-1 0,7 л";86;108;"SANFOR";"/storage/photo/original/h/sanfor-chistyashee-sredstvo-belizna-gel-3-v-1-07-l.jpg";1;;"(Характеристики товара (Бытовая химия))Тип товара:Чистящее средство;
(Характеристики товара (Бытовая химия))Бренд:SANFOR;
(Характеристики товара (Бытовая химия))Форма:Гель;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4602984001637;
(Характеристики товара (Бытовая химия))Объем:700 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00005939";" Чистящее средство SANFOR Белизна гель 3-в-1 --><br><p>Комплексное специализированное средство в виде геля с инновационной формулой отбеливания и выведения пятен. Рекомендуется применять при замачивании белых вещей перед основной стиркой, для дезинфекции санитарных зон, мытье полов и различных поверхностей, а также для чистки стоков, уничтожения микробов и загрязнений. В процессе работы необходимо пользоваться средствами индивидуальной защиты кожи рук. </p>
<br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li> Специализированное средство с широкого применения.</li><li> Подходит только для белых тканей.</li><li>Не рекомендуется для ухода за деликатными тканями.</li><li> Обеспечивает антибактериальную защиту всего дома.</li><li> Не содержит хлор.</li><li> Не подходит для кипячения. </li>
<br>
<br>
Состав:5%-15% гидрохлорид натрия, >5% : АПАВ и НПАВ, щелочь, соль, ЭДТА и ароматизирующая добавка."
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";460421;"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"BREF туалетный блок Сила-Актив океанский бриз 3 шт";;" ";"BREF";"/storage/photo/original/h/bref-tualetnij-blok-sila-aktiv-okeanskij-briz-3-sht.jpg";1;;"(Характеристики товара (Бытовая химия))Тип товара:Туалетные блоки;
(Характеристики товара (Бытовая химия))Бренд:BREF;
(Характеристики товара (Бытовая химия))Страна происхождения:СЕРБИЯ;
(Характеристики товара (Бытовая химия))EAN:9000100753494;
(Характеристики товара (Бытовая химия))Количество:3 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00028443";"Чистящее средство для унитаза Bref Сила-Актив Лимонная Свежесть - это подвесной туалетный блок с формулой 4 в 1, который обеспечивает:
1. Гигиеническую чистоту
2. Защиту от известкового налета
3. Лимонную свежесть
4. Обильную пену
Bref Сила-Актив - чистота и свежесть с каждым смыванием!
Состав: >30% анионные ПАВ; 5-15% неионогенные ПАВ; <5% краситель, комплексообразователь, растворитель, отдушка (в т.ч. гераниол, лимонен, линалоол, цитраль, цитронеллол); соли неорганические, вода."
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";460422;"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"BREF туалетный блок Сила-Актив свежесть лаванды 3 шт";;" ";"BREF";"/storage/photo/original/h/bref-tualetnij-blok-sila-aktiv-svezhest-lavandi-3-sht.jpg";1;;"(Характеристики товара (Бытовая химия))Тип товара:Туалетные блоки;
(Характеристики товара (Бытовая химия))Бренд:BREF;
(Характеристики товара (Бытовая химия))Страна происхождения:СЕРБИЯ;
(Характеристики товара (Бытовая химия))EAN:9000100956277;
(Характеристики товара (Бытовая химия))Количество:3 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00028444";"Чистящее средство для унитаза Bref Сила-Актив Лимонная Свежесть - это подвесной туалетный блок с формулой 4 в 1, который обеспечивает:
1. Гигиеническую чистоту
2. Защиту от известкового налета
3. Лимонную свежесть
4. Обильную пену
Bref Сила-Актив - чистота и свежесть с каждым смыванием!
Состав: >30% анионные ПАВ; 5-15% неионогенные ПАВ; <5% краситель, комплексообразователь, растворитель, отдушка (в т.ч. гераниол, лимонен, линалоол, цитраль, цитронеллол); соли неорганические, вода."
"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";460423;"Бытовая химия/Чистящие средства/Чистящие средства для туалета и ванной комнаты";"BREF туалетный блок Сила-Актив лимонная свежесть 3 шт";;" ";"BREF";"/storage/photo/original/h/bref-tualetnij-blok-sila-aktiv-limonnaya-svezhest-3-sht.jpg";1;;"(Характеристики товара (Бытовая химия))Тип товара:Туалетные блоки;
(Характеристики товара (Бытовая химия))Бренд:BREF;
(Характеристики товара (Бытовая химия))Страна происхождения:СЕРБИЯ;
(Характеристики товара (Бытовая химия))EAN:9000100753463;
(Характеристики товара (Бытовая химия))Количество:3 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00028442";"Чистящее средство для унитаза Bref Сила-Актив Лимонная Свежесть - это подвесной туалетный блок с формулой 4 в 1, который обеспечивает:
1. Гигиеническую чистоту
2. Защиту от известкового налета
3. Лимонную свежесть
4. Обильную пену
Bref Сила-Актив - чистота и свежесть с каждым смыванием!
Состав: >30% анионные ПАВ; 5-15% неионогенные ПАВ; <5% краситель, комплексообразователь, растворитель, отдушка (в т.ч. гераниол, лимонен, линалоол, цитраль, цитронеллол); соли неорганические, вода."
"Зоотовары/Товары для кошек/Корма для кошек";620530;"Зоотовары/Товары для кошек/Корма для кошек";"ROYAL CANIN влажный корм Instinctive (в желе) для кошек старше 1 года 85 г";58;72;"ROYAL CANIN";"/storage/photo/original/h/royal-canin-vlazhnij-korm-instinctive-v-zhele-dlya-koshek-starshe-1-goda-85-g.jpg";1;;"(Характеристики товара (Зоотовары))Тип товара:Консервы для кошек;
(Характеристики товара (Зоотовары))Бренд:ROYAL CANIN;
(Характеристики товара (Зоотовары))Серия:Instinctive;
(Характеристики товара (Зоотовары))Для кого:Для кошек;
(Характеристики товара (Зоотовары))Возраст питомца:Взрослые;
(Характеристики товара (Зоотовары))Форма упаковки:Пауч;
(Характеристики товара (Зоотовары))Вес упаковки:85 г;
(Характеристики товара (Зоотовары))Страна происхождения:Австрия;
(Характеристики товара (Зоотовары))EAN:9003579309513;
(Характеристики товара (Зоотовары))Вес:85 г;
(Характеристики товара (Зоотовары))Код товара:CB-00022286";"ВЛАЖНЫЙ КОРМ ДЛЯ КОШЕК СТАРШЕ 1 ГОДА<br>
Какой бы здоровой ни была пища, если кошка не захочет ее есть, от нее будет мало пользы!<br>
Взрослые кошки предпочитают особую формулу Macro Nutritional Profile.<br>
У взрослых кошек и котов, особенно стерилизованных или кастрированных, повышается риск заболевания мочекаменной болезнью.<br>
Их рацион должен содержать питательные вещества, необходимые для поддержания их жизненной энергии, и в то же время способствовать сохранению идеального веса.<br>
Корм для кошек INSTINCTIVE 12 является идеально сбалансированным рационом, соответствующим оптимальной формуле макронутриентного профиля (MNP*), инстинктивно предпочитаемый кошками.<br>
<br>
Здоровая мочевыводящая система <br>
Корм помогает поддерживать здоровье мочевыделительной системы кошки, сокращая концентрацию минеральных веществ, способствующих образованию мочевых камней.<br>
Поддержание идеального веса <br>
Исключительно аппетитные тонкие кусочки в соусе умеренной калорийности способствуют сохранению идеального веса тела кошки.<br>
<br>
РЕКОМЕНДУЕМЫЙ СУТОЧНЫЙ РАЦИОН<br>
В зависимости от веса кошки, возможны 2 варианты кормления:<br>
100% влажного продукта<br>
смешанное кормление: 1 или 2 пауча Instinctive + сухой корм (г)<br>
<br>
ИНГРЕДИЕНТЫ<br>
Мясо и мясные субпродукты, рыба и рыбные субпродукты, злаки, экстракты белков растительного происхождения, субпродукты растительного происхождения, минеральные вещества, углеводы.<br>
Добавки (в 1 кг): Витамин D3: 15 ME, Железо: 3,5 мг, Марганец: 1,1 мг, Цинк: 11 мг."
