"Цена_Трансазия";"Цена_Розничная";"Артикул"
341;426;710204
372;465;710224
430;538;320206
447;559;410273
467;584;710248
484;605;530314
516;645;620060
518;648;620058
530;662;780138
572;715;710279
576;720;310271
581;726;530330
581;726;710463
587;734;520804
587;734;520808
587;734;560161
600;750;710461
600;750;710462
600;750;710510
601;751;720111
606;758;330918
610;762;780219
613;766;430154
615;769;410387
615;769;410394
616;770;560015
619;774;620061
620;775;240026
624;780;710294
639;799;710485
639;799;710488
639;799;710491
639;799;710494
645;806;520806
645;806;520809
663;829;240074
663;829;240075
663;829;410210
663;829;410232
663;829;410240
663;829;410243
663;829;410248
663;829;410257
669;836;240033
678;848;710448
683;854;710505
683;854;710506
702;878;430425
720;900;710449
720;900;710457
726;908;530240
733;916;710424
733;916;710425
736;920;710447
746;932;710438
746;932;710498
747;934;530280
751;939;520801
751;939;520802
751;939;520865
751;939;560160
754;942;710468
754;942;710470
754;942;710474
759;949;410504
760;950;430106
773;966;710437
774;968;620174
775;969;710446
775;969;710466
775;969;710495
775;969;710496
781;976;530011
799;999;430155
799;999;430160
802;1002;430500
803;1004;710413
804;1005;620172
811;1014;710458
811;1014;790136
819;1024;620017
822;1028;520105
822;1028;520107
830;1038;530360
843;1054;710162
843;1054;710163
850;1062;710167
850;1062;710167
850;1062;710168
860;1075;520062
860;1075;520063
860;1075;520064
860;1075;520111
860;1075;520112
860;1075;520114
860;1075;520115
860;1075;520149
879;1099;710473
879;1099;710478
883;1104;530355
887;1109;240037
890;1112;770071
890;1112;770074
907;1134;520151
910;1138;710132
919;1149;380017
919;1149;520058
919;1149;520059
919;1149;520061
919;1149;520089
919;1149;520146
919;1149;520147
919;1149;520148
926;1158;520795
926;1158;710450
926;1158;710451
926;1158;710454
926;1158;710455
926;1158;710456
932;1165;410466
932;1165;410468
939;1174;520110
940;1175;710122
954;1192;410249
954;1192;460260
954;1192;710487
954;1192;710493
956;1195;610459
956;1195;610460
956;1195;610461
960;1200;520805
962;1202;710444
962;1202;710445
968;1210;770072
986;1232;430156
986;1232;430161
987;1234;710129
992;1240;710501
992;1240;710502
992;1240;710503
992;1240;710504
998;1248;710174
1014;1268;520152
1021;1276;240030
1039;1299;330772
1046;1308;520867
1067;1334;520109
1075;1344;620247
1094;1368;430107
1097;1371;710465
1098;1372;710469
1107;1384;240031
1117;1396;430424
1120;1400;710235
1120;1400;710236
1123;1404;430414
1142;1428;710472
1154;1442;520086
1158;1448;710203
1158;1448;710205
1158;1448;790144
1173;1466;240036
1174;1468;520108
1182;1478;610258
1196;1495;530359
1198;1498;710225
1200;1500;610205
1224;1530;460238
1274;1592;240012
1277;1596;710486
1277;1596;710490
1279;1599;620149
1286;1608;610271
1308;1635;620127
1312;1640;610266
1366;1708;610262
1384;1730;620209
1396;1745;620228
1423;1779;310295
1451;1814;710471
1451;1814;710475
1451;1814;710479
1453;1816;620173
1487;1859;620197
1508;1885;620175
1598;1998;310281
1633;2041;710264
1633;2041;710265
1633;2041;710266
1633;2041;710267
1633;2041;710268
1633;2041;710269
1654;2068;520803
1737;2171;310283
1867;2334;520065
