"Сопутствующие товары";"Рекомендуемые товары";"Артикул";"Короткое название"
"ЧИМ ЧИМ соус для курицы в сладком чили 90 г;НАЦИОНАЛЬ фасоль Красная 450 г;BARILLA макароны Fettucсine 500 г";"МАКФА макароны Спирали 450 г;МАКФА макароны Спирали Фантазия 500 г;PUPO фрукты сушеные Дикая Вишня 150 г";"150010";"ЧИМ ЧИМ набор для приготовления Фунчозы в Устричном Соусе 190 г"
"ЧИМ ЧИМ корейская заправка для Хе из рыбы 60 г;НАЦИОНАЛЬ Горох 900 г;BARILLA макароны Filini Vermicelles №30 500 г";"МАКФА макароны Спирали Цельнозерновые 450 г;МАКФА лапша длинная 500 г;PUPO фрукты сушеные Фруктовое Ассорти 300 г";"150011";"ЧИМ ЧИМ Соус Терияки 250 мл"
"ЧИМ ЧИМ соус Якитори для курицы 90 г;НАЦИОНАЛЬ Гречка Алтайская 800 г;BARILLA макароны Fusilli №98 500 г";"МАКФА макароны Спирали Экспресс 400 г;МАКФА макароны Перья Станичные 400 г;PUPO фрукты сушеные Имбирь Огненный дой-пак 150 г";"150012";"ЧИМ ЧИМ Соус Устричный 250 мл"
"ЯМЧАН соус соевый Жгучий чили 200 мл;НАЦИОНАЛЬ Киноа 450 г;BARILLA макароны Girandole №34 500 г";"МАКФА макароны Триолли 400 г;MALTAGLIATI макароны Filini вермишель 500 гр;PUPO фрукты сушеные Королевский Манго 150 г";"150013";"ЧИМ ЧИМ вермишель бобовая Фунчоза 200 г"
"ЯМЧАН заправка для фунчозы 40 г;НАЦИОНАЛЬ крупа Гречневая ядрица 900 г;BARILLA макароны Lasagne 500 г";"МАКФА макароны Трубочки 450 г;МАКФА макароны Ракушечки 250 г;PUPO фрукты сушеные Курага 200 г";"150014";"HEINZ соус Соевый классический 150 мл"
"ЯМЧАН заправка для моркови по-корейски 40 г;НАЦИОНАЛЬ крупа Манная 800 г;BARILLA макароны Penne Rigate №73 500 г";"МАКФА макароны Улитки 400 г;МАКФА макароны Звездочки 250 г;PUPO фрукты сушеные Райская Дыня 200 г";"150015";"MIVIMEX соевый соус 200 г"
"МАКФА хлопья 4 Злака 400 г;НАЦИОНАЛЬ крупа Пшено 900 г;BARILLA макароны Piccolini Mini Farfalle №64 500 г";"МАКФА макароны Витки 400 г;MALTAGLIATI  макароны Filini вермишель 500 гр;PUPO фрукты сушеные Солнечный Ананас 150 г";"150016";"SEN SOY циновка для приготовления суши-роллов"
"МАКФА хлопья 5 Злаков 400 г;НАЦИОНАЛЬ Кускус 450 г;BARILLA макароны Piccolini Mini Penne Rigate №66 500 г";"МАКФА макароны Витки 450 г;АЛЕКСЕЕВСКИЙ МКК цельное сгущенное молоко с сахаром Советское 8,5% 270 г;PUPO фрукты сушеные Золотой Персик 200 г";"150017";"SEN SOY Имбирь маринованный 145 г"
"МАКФА хлопья Геркулес Традиционный 400 г;НАЦИОНАЛЬ Маш 450 г;BARILLA макароны Pipe Rigate №91 500 г";"МАКФА макароны Волна 500 г;КОРЕНОВСКАЯ сгущенное молоко 1,25 кг;SEEBERGER Бананы сушеные кусочки 200г";"150018";"SEN SOY Корейская Заправка для Фунчозы 80 г"
"МАКФА хлопья Гречневые 450 г;НАЦИОНАЛЬ Нут 450 г;BARILLA макароны Spaghetti №5 500 г";"МАКФА спагетти 400 г;КОРОВКА ИЗ КОРЕНОВКИ Молоко Сгущенное с Сахаром и Какао 380 гр;SEEBERGER Фисташки жаренные соленые 150г";"150019";"SEN SOY Корейская Заправка для Моркови 80 г"
"МАКФА хлопья Овсяные 400 г;НАЦИОНАЛЬ Premium рис Басмати 500 г;BARILLA макароны Spaghettini №3 500 г";"МАКФА спагетти 500 г;КОРОВКА ИЗ КОРЕНОВКИ сгущенные сливки 270 г;SEEBERGER курага крупная 200 г";"150020";"SEN SOY мука панировочная японская Темпура 150 г"
"МАКФА хлопья Овсяные с отрубями 400 г;НАЦИОНАЛЬ Premium рис Дикий 500 г;BARILLA макароны Stelline №27 500 г";"МАКФА спагетти Гречневые 500 г;КОРОВКА ИЗ КОРЕНОВКИ сгущенное молоко 1250 г;SEEBERGER миндаль жареный 150 г";"150021";"SEN SOY набор для приготовления суши"
"НАЦИОНАЛЬ хлопья Геркулес 450 г;НАЦИОНАЛЬ Premium рис Ризотто 500 г;BARILLA макароны Tortiglioni №83 500 г";"МАКФА спагетти шпинатные 500 г;КОРОВКА ИЗ КОРЕНОВКИ сгущенное молоко 270 г;SEEBERGER смесь орехов и ягод Trail Mix 150 г";"150022";"SEN SOY панировочные хлопья Tempura 100 г"
"РУССКИЙ ЗАВТРАК хлопья 4 злака крупные 400 г;НАЦИОНАЛЬ Premium рис смесь Золотистого и дикого 500 г;GRAND DI PASTA макароны Campanelle 500 г";"МАКФА спагетти Томатные 500 г;КОРОВКА ИЗ КОРЕНОВКИ сгущенное молоко 370 г;SEEBERGER смесь кешью и клюквы 150 г";"150023";"SEN SOY приправа Васаби классический 43 г"
"РУССКИЙ ЗАВТРАК хлопья 4 злака мелкие 400 г;НАЦИОНАЛЬ Premium рис Суши 500 г;GRAND DI PASTA макароны Cavatappi 500 г";"МАКФА спагетти Яичные 950 г;КОРОВКА ИЗ КОРЕНОВКИ сгущенное молоко С Какао 270 г;SEEBERGER манго дольками сушеный 100 г";"150024";"SEN SOY рисовая бумага 100 г"
"РУССКИЙ ЗАВТРАК хлопья 4 злака меллкие с отрубями 400 г;НАЦИОНАЛЬ Premium рис Жасмин 500 г;GRAND DI PASTA макароны Conchiglie Rigate 500 г";"МАКФА Вермишель 450 г;РОГАЧЕВСКИЙ МКК Молоко сгущенное 8,5% 380 г;SEEBERGER инжир деликатесный 200 г";"150025";"SEN SOY Рисовый уксус 220 г"
"РУССКИЙ ЗАВТРАК хлопья 5 злаков мелкие 400 г;НАЦИОНАЛЬ рис Адриатика 900 г;GRAND DI PASTA макароны Farfalle 500 г";"МАКФА вермишель длинная Паутинка 500 г;КОРОВКА ИЗ КОРЕНОВКИ сгущенное молоко 380 г;SEEBERGER финики 200 г";"150026";"SEN SOY соевый соус Для Суши 250 мл"
