"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7778";"NESСAFE Кофе растворимый сублимированный Gold 47,5 г";"110280"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7779";"NESСAFE Кофе растворимый сублимированный Gold 75 г";"116011"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7780";"NESСAFE Кофе растворимый сублимированный Gold 95 г";"116012"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7781";"NESСAFE Кофе растворимый Gold 190 г";"110279"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7782";"NESСAFE Кофе растворимый сублимированный Gold 250 г";"110275"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7784";"NESСAFE Кофе растворимый сублимированный Gold 500 г";"110276"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7786";"NESCAFE Кофе растворимый сублимированный Gold 750 г";"110277"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7790";"ЧЕРНАЯ КАРТА Кофе растворимый Gold 36 г";"110206"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7791";"МОСКОФЕ кофе растворимый Индийский 45 г";"110301"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7795";"NESCAFE Кофе растворимый гранулированный Classic 47,5 г";"110290"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7801";"NESСAFE Кофе растворимый гранулированный Classic 50 г";"110283"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7807";"TCHIBO Кофе растворимый Gold Selection 40 г";"110236"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7808";"ЖОКЕЙ кофе растворимый гранулированный Фаворит 75 г";"110319"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7809";"ЧЕРНАЯ КАРТА Кофе растворимый Exclusive Brasilia 47,5 г";"110217"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7810";"ЧЕРНАЯ КАРТА Кофе растворимый Gold 47,5 г";"110201"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7811";"LEBO Кофе растворимый Gold 2 г х 25 шт";"110255"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7812";"LEBO Кофе растворимый Extra 2 г х 25 шт";"110262"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7819";"NESCAFE Кофе растворимый гранулированный Classic 100 г";"110286"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7821";"NESСAFE Кофе растворимый порошкообразный Classic Crema 70 г";"110294"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7828";"МОСКОФЕ кофе растворимый Индийский 90 г";"110302"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7829";"TCHIBO Кофе растворимый Gold Selection 47,5 г";"110238"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7830";"ЖОКЕЙ кофе растворимый гранулированный Фаворит 95 г";"110320"
