"Рекомендуемые товары";"Короткое название";"Артикул";"Сопутствующие товары"
"8 IN 1 добавка Excel Calcium для щенков и взрослых собак 155 таблеток;PEDIGREE лакомство Jumbone Mini для взрослых собак мелких пород с говядиной 180 г;ROYAL CANIN VET DIET влажный корм Early Cardiac EС26 для собак страдающих сердечной недостаточностью 410 г";"ROYAL CANIN VET DIET влажный корм Early Cardiac EС26 для собак страдающих сердечной недостаточностью 410 г";620256;"ROYAL CANIN сухой корм для пожилых собак X-Small Adult 500 г;N1 игрушка для собак Петух с пищалкой средний 23 см;ROYAL CANIN VET DIET сухой корм Sensitivity Control SC21 canine для собак с пищевой аллергией 7 кг"
"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;УЮТ игрушки для кошек Дразнилка Перья фиолетово-синие 40 см;ROYAL CANIN сухой корм для кошек Ageing 12+ 4 кг";"ROYAL CANIN сухой корм для кошек Ageing 12+ 4 кг";620539;"УЮТ игрушки для кошек Катушка пластиковая, с погремушкой 7x4 см;CATSAN наполнитель для кошачьего туалета Ultra 5 л;БАРСИК поглотитель запаха и пятен для кошек 500 мл"
"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;FRESH STEP наполнитель для кошачьего туалета Extreme впитывающий 12 л;ROYAL CANIN сухой корм для кошек Indoor Long Hair 10 кг";"ROYAL CANIN сухой корм для кошек Indoor Long Hair 10 кг";610213;"УЮТ игрушки для кошек Дразнилка Перья фиолетово-синие 40 см;ЧИСТЮЛЯ Легкая салфетки для уборки Шерсть и Волосы из микрофибры для пола  1 шт;УЮТ игрушки для кошек Дразнилка Катушка сизаль 40 см"
"АВАНТА Зубная паста Фтородент Отбеливающая 125 г;ЛЕСНОЙ БАЛЬЗАМ ополаскиватель для полости рта Кедровые орешки и шалфей 250 мл;REXONA твердый антиперсперант Алоэ Вера 40 мл";"REXONA твердый антиперсперант Алоэ Вера 40 мл";350044;"VEET Восковые полоски с маслом ши серии Naturals c технологией Easy Gel-wax 10 шт;LIBRESSE ежедневные прокладки Dailyfresh Multistyle 20 шт;ORAL-B Зубная щетка Pro-Expert Clinic Line Pro-Flex  средняя"
"АНТИПЯТИН мыло-пятновыводитель для детских вещей 90 г;PAMPERS подгузники Active Baby 5 (11 - 18 кг) шт;SYNERGETIC cредство для мытья посуды и детских игрушек с ароматом алоэ 1 л";"SYNERGETIC cредство для мытья посуды и детских игрушек с ароматом алоэ 1 л";740011;"СОЛНЦЕ И ЛУНА подгузники для детей Мягкая Забота 3 (4-9 кг) 16 шт;LIBERO подгузники-трусики Up & Go 5 (10 - 14 кг) 48 шт;HUGGIES влажные салфетки Ultra Comfort алоэ 64 шт"
"АНТИПЯТИН пятновыводитель концентрированный гель с щеткой 200 мл;ЛИРА Антистатик нейтральный запах 150 мл;TIDE стиральный порошок Color автомат 6 кг";"TIDE стиральный порошок Color автомат 6 кг";410503;"VERNEL кондиционер для белья Ароматерапия белый пион & масло хлопка 0,91 л;CALGON средство для смягчения воды 2-в-1 порошок 1,1 кг;MEINE LIEBE концентрированный кондиционер для белья Детский 500 мл"
"БАРСИК наполнитель для кошачьего туалета Кукурузный  4,5 л;DREAMIES лакомство для кошек с уткой 60 г;ROYAL CANIN влажный корм Kitten Instinctive (в желе) для котят от 4 до 12 месяцев 85 г";"ROYAL CANIN влажный корм Kitten Instinctive (в желе) для котят от 4 до 12 месяцев 85 г";620488;"ЧИСТЮЛЯ Легкая салфетки для уборки Шерсть и Волосы из микрофибры для пола  1 шт;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см;УЮТ игрушки для кошек Дразнилка Перья зелено-оранжевые 40 см"
"БАРСИК наполнитель для кошачьего туалета Натуральный древесный 4,54 л;DREAMIES лакомство для кошек с курицей 140 г;ROYAL CANIN сухой корм для кошек Indoor 0,4 кг";"ROYAL CANIN сухой корм для кошек Indoor 0,4 кг";620424;"УЮТ средство для приучения к туалету Отучитель 250 мл;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см;УЮТ игрушки для кошек Дразнилка Перья фиолетово-синие 40 см"
"БАРСИК наполнитель для кошачьего туалета Стандарт 4,5 л;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см;ROYAL CANIN VET DIET влажный корм Urinary Feline S/O для кошек в целях лечения и профилактики мочекаменной болезни 100 г";"ROYAL CANIN VET DIET влажный корм Urinary Feline S/O для кошек в целях лечения и профилактики мочекаменной болезни 100 г";620541;"DREAMIES лакомство для кошек с сыром 60 г;BREESAL Aqua-нейтрализатор Запаха Освежающий Микс 375 мл;УЮТ игрушки для кошек Дразнилка Перья зелено-оранжевые 40 см"
"БАРСИК наполнитель для кошачьего туалета Mix - Древесный 4,5 л;БАРСИК поглотитель запаха и пятен для кошек 500 мл;ROYAL CANIN влажный корм Sterilised (паштет) для стерилизованных кошек 85 г";"ROYAL CANIN влажный корм Sterilised (паштет) для стерилизованных кошек 85 г";620553;"УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см;DREAMIES лакомство для кошек с курицей 30 г;УЮТ игрушки для кошек Дразнилка Перья зелено-оранжевые 40 см"
