"Артикул";"Цена_Закупочная"
"430100";"234"
"430101";"342"
"430102";"219"
"430103"
"430104";"264"
"430105";"79"
"430106";"760"
"430107";"1094"
"430108"
"430109";"190"
"430110";"190"
"430111";"190"
"430112";"156"
"430113";"200"
"430114";"84"
"430115";"152"
"430116";"84"
"430117";"131"
"430118";"152"
"430119";"84"
"430120";"131"
"430121";"180"
"430122";"84"
"430123";"131"
"430124";"152"
"430125";"84"
"430126";"84"
"430127";"131"
"430128";"152"
"430129";"84"
"430130";"152"
"430131";"152"
"430132";"152"
"430133"
"430134";"188"
"430135";"147"
"430136";"119"
"430137";"202"
"430138";"210"
"430139";"210"
"430140";"475"
"430141";"51"
"430142";"51"
"430143"
"430144";"98"
"430145";"98"
"430146";"85"
"430147";"170"
"430148";"54"
"430149";"453"
"430150";"249"
"430151";"455"
"430152";"355"
"430153";"502"
"430154";"632"
"430155";"824"
"430156";"1016"
"430157";"276"
"430158";"355"
"430159";"502"
"430160";"824"
"430161";"1016"
"430162";"265"
"430163";"427"
"430164";"214"
"430165";"155"
"430166";"427"
"430167";"550"
"430168";"991"
"430169";"1250"
"430170";"325"
"430171";"565"
"430172";"991"
"430173";"349"
"430174";"210"
"430175";"330"
"430176";"330"
"430177";"210"
"430178";"166"
"430179";"58"
"430180";"103"
"430181";"157"
"430182";"53"
"430183";"157"
"430184";"58"
"430185";"157"
"430186";"88"
"430187";"165"
"430188";"53"
"430189";"103"
"430190";"53"
"430191";"101"
"430192";"165"
"430193";"48"
"430194";"60"
"430195";"34"
"430196";"60"
"430197";"85"
"430198";"34"
"430199";"60"
"430200";"48"
"430201";"60"
"430202";"48"
"430203";"49"
"430204";"49"
"430205";"64"
"430206";"182"
"430207";"232"
"430208";"284"
"430209";"296"
"430210";"222"
"430211";"159"
"430212";"223"
"430213";"223"
"430214";"579"
"430215";"86"
"430216";"86"
"430217";"68"
"430218";"119"
"430219";"68"
"430220";"126"
"430221";"119"
"430222";"68"
"430223";"126"
"430224"
"430225";"122"
"430226";"122"
"430227";"579"
"430228"
"430229"
"430230";"122"
"430231";"68"
"430232";"137"
"430233";"126"
"430234";"119"
"430235";"68"
"430236";"126"
"430237";"119"
"430238";"93"
"430239";"93"
"430240";"43"
