"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7787";"ЧЕРНАЯ КАРТА Кофе в зернах 100 г";110199
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7793";"LEBO Кофе в зернах Original Арабика 100 г";110256
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7860";"ЧЕРНАЯ КАРТА Кофе в зернах 250 г";111001
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7869";"ЧЕРНАЯ КАРТА Кофе в зернах Gold 250 г";110194
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7871";"AMBASSADOR Кофе в зернах Platinum 250 г";110227
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7882";"ROBERTO TOTTI Кофе в зернах Caffe Ristretto 250 г";111009
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7900";"LEBO Кофе в зернах Южная Америка Арабика 250 г";110253
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7906";"ЧЕРНАЯ КАРТА Кофе в зернах Brazil 230 г";110212
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7910";"AMBASSADOR Кофе в зернах Blue Label 200 г";110223
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7911";"AMBASSADOR Кофе в зернах Black Label 200 г";110224
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7912";"AMBASSADOR Кофе в зернах Gold Label 200 г";110225
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7914";"ЧЕРНАЯ КАРТА Кофе в зернах 500 г";111002
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7939";"LEBO Кофе в зернах Original Арабика 500 г";110257
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7954";"ЧЕРНАЯ КАРТА Кофе в зернах 1 кг";111003
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7966";"ЧЕРНАЯ КАРТА Кофе в зернах Gold 1 кг";110195
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7967";"AMBASSADOR Кофе в зернах Blue Label 1 кг";110222
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7970";"AMBASSADOR Кофе в зернах Platinum 1 кг";111004
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7971";"LEBO Кофе в зернах Extra Арабика 1 кг";110258
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7972";"ROBERTO TOTTI Кофе в зернах Tuo Gusto 1 кг";111006
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7974";"ROBERTO TOTTI Кофе в зернах Piu Grande 1 кг";110191
"(Характеристики товара (Продукты))Тип товара:Кофе зерновой;
(Характеристики товара (Продукты))Код товара:АМ-7975";"ROBERTO TOTTI Кофе в зернах Supremo 1 кг";110192
