"Короткое название";"Артикул";"Категории";"Основная категория"
"BARNÄNGEN Бальзам для тела Интенсивный Уход для очень сухой кожи 200мл";570177;"Косметика и Уход/Уход за телом/Увлажнение и питание;
НОВИНКИ";"Косметика и Уход/Уход за телом/Увлажнение и питание"
"АКУЛЬЧЕВ пирожное Macaron со вкусом черники 1,2кг";170233;"Продукты/Кондитерские изделия/Круассаны, пирожные, рулеты;
НОВИНКИ";"Продукты/Кондитерские изделия/Круассаны, пирожные, рулеты"
"BUSHIDO кофе растворимый Light Katana Сублимированный 100 г";170280;"Продукты/Кофе, чай, какао, цикорий/Кофе;
НОВИНКИ";"Продукты/Кофе, чай, какао, цикорий/Кофе"
"GARNIER Ambre Solaire Спрей Солнечная вода SPF 50 150мл";570171;"Косметика и Уход/Уход за телом/Защита от солнца;
НОВИНКИ";"Косметика и Уход/Уход за телом/Защита от солнца"
"ЛОСК Стиральный порошок Автомат Колор 2,7кг";460345;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки;
НОВИНКИ";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки"
"PERFECT FIT Sensitive Сухой корм с индейкой  для взрослых кошек с чувствительным пищеварением 2,5кг";620580;"Зоотовары/Товары для кошек/Корма для кошек;
НОВИНКИ";"Зоотовары/Товары для кошек/Корма для кошек"
"GOT2B Окрашивающий мелок для волос Strand Up Голубой деним 3,5г";570070;"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос;
НОВИНКИ";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос"
"РАПТОР Аэрозоль от резистентных тараканов 430мл";250182;"Товары для дома/Защита от вредителей и насекомых/Защита от ползающих насекомых;
НОВИНКИ";"Товары для дома/Защита от вредителей и насекомых/Защита от ползающих насекомых"
"JARDIN Подарочный набор молотый кофе в растворимом 95 г + кружка";170281;"Продукты/Кофе, чай, какао, цикорий/Кофе;
НОВИНКИ";"Продукты/Кофе, чай, какао, цикорий/Кофе"
"BUSHIDO кофе растворимый Kodo Сублимированный 95 г";170279;"Продукты/Кофе, чай, какао, цикорий/Кофе;
НОВИНКИ";"Продукты/Кофе, чай, какао, цикорий/Кофе"
"GOT2B Окрашивающий мелок для волос Strand Up Королевский пурпур 3,5г";570071;"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос;
НОВИНКИ";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос"
"BUSHIDO кофе растворимый Blak Katana Сублимированный 50 г";170284;"Продукты/Кофе, чай, какао, цикорий/Кофе;
НОВИНКИ";"Продукты/Кофе, чай, какао, цикорий/Кофе"
"ЖОКЕЙ кофе зерновой Классический 500 г";170283;"Продукты/Кофе, чай, какао, цикорий/Кофе;
НОВИНКИ";"Продукты/Кофе, чай, какао, цикорий/Кофе"
"BUSHIDO кофе растворимый Red katana Сублимированный 50 г";170286;"Продукты/Кофе, чай, какао, цикорий/Кофе;
НОВИНКИ";"Продукты/Кофе, чай, какао, цикорий/Кофе"
"TESS Подарочный набор чая в пакетиках Tess, 4 вида по 25 шт + кружка";170315;"Продукты/Кофе, чай, какао, цикорий/Чай;
НОВИНКИ";"Продукты/Кофе, чай, какао, цикорий/Чай"
"LINDT Шоколад молочный Creation Лимон 150гр";170357;"Продукты/Супы, соусы и специи/Суповые концентраты, пюре;
НОВИНКИ";"Продукты/Супы, соусы и специи/Суповые концентраты, пюре"
"PALETTE оттеночный бальзам Холодный блонд 150 мл";570075;"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос;
НОВИНКИ";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос"
"PALETTE оттеночный бальзам Платиновый блонд 150мл";570077;"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос;
НОВИНКИ";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос"
