"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7822";"Ahmad Tea Классический черный чай, 100 г";121013
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7831";"Ahmad Tea зеленый чай, 100 г";121010
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7845";"Ahmad Tea Ceylon Tea Orange Pekoe черный чай, 100 г";121015
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7846";"Ahmad Tea English Breakfast черный чай, 100 г";121005
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7847";"Ahmad Tea Assam длиннолистовой черный чай, 100 г";121011
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7848";"Ahmad Tea Earl Grey черный чай с бергамотом, 100 г";121018
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7849";"Ahmad Tea English Tea No.1 черный чай, 100 г";121007
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7894";"Ahmad Tea Классический черный чай, 200 г";121014
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7915";"Ahmad Tea Assam длиннолистовой черный чай, 200 г";121012
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7916";"Ahmad Tea English Tea No.1 черный чай, 200 г";121008
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7917";"Ahmad Tea English Breakfast черный чай, 200 г";121006
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7918";"Ahmad Tea Earl Grey черный чай с бергамотом, 200 г";121019
"(Характеристики товара (Продукты))Тип товара:Чай листовой;
(Характеристики товара (Продукты))Код товара:АМ-7965";"Ahmad Tea Ceylon Tea Orange Pekoe черный чай, 500 г";121017
