"Артикул";"Цена_Трансазия";"Цена_Розничная";"Перечеркнутая цена";"Оценка товарного запаса"
110050;455;569;;15
110051;268;335;;25
110052;395;494;;25
110053;395;494;;25
110054;395;494;;25
110055;255;319;;25
110056;499;624;643;5
110058;463;579;;5
110059;141;176;;25
110060;230;288;;25
110061;160;200;;15
110062;10;12;;25
110063;338;422;;25
110064;491;614;;15
110065;235;294;;15
110066;895;1119;;15
110067;249;311;;15
110068;235;294;;15
110069;235;294;;25
110070;310;388;;25
110072;298;372;;25
110073;512;640;;5
110074;553;691;;15
110075;1143;1429;;15
110076;298;372;;25
110078;96;120;;25
110080;111;139;;25
110081;253;316;;25
110084;151;189;;5
110085;200;250;;25
110086;217;271;;15
110087;176;220;;25
110088;165;206;;25
110089;182;228;;15
110090;123;154;;25
110091;151;189;;5
110092;196;245;;25
110094;196;245;;25
110095;343;429;;25
110096;271;339;;25
110099;9;11;;25
110100;207;259;;25
110101;207;259;;25
110103;343;429;;25
110104;508;635;;25
110105;11;14;;25
110106;98;122;;25
110107;175;219;;25
110108;974;1218;;15
110109;183;229;;25
110110;271;339;;25
110112;175;219;;15
110113;271;339;;15
110116;232;290;;25
110117;400;500;;25
110118;313;391;;25
110122;245;306;;25
110123;201;251;;5
110124;135;169;;25
110126;135;169;;25
110127;56;70;;15
110128;256;320;;25
110131;99;124;;5
110132;99;124;;15
110133;99;124;;5
110134;260;325;;25
110136;351;439;;25
110137;50;62;;25
110138;84;105;;25
110140;220;275;;25
110143;235;294;;25
110144;235;294;;25
110145;136;170;;25
110149;217;271;;25
110150;228;285;;25
110151;203;254;;25
110152;266;332;;25
110153;212;265;;25
110154;175;219;;25
110155;321;401;;15
110157;192;240;;25
110158;185;231;;25
110159;178;222;;25
110160;192;240;;15
110161;185;231;;5
110162;178;222;;15
110163;210;262;;25
110164;210;262;;25
110166;120;150;;5
110167;133;166;;25
110168;133;166;;25
110169;133;166;;25
110170;240;300;;5
110172;111;139;;25
110173;105;131;;25
110187;250;312;;25
110188;195;244;;25
120050;81;101;;25
120051;100;125;;25
120052;140;175;;5
120054;49;61;;15
120056;151;189;;25
120057;43;54;;25
120058;77;96;;15
120059;77;96;;15
120060;77;96;;25
120061;77;96;;25
120062;79;99;;25
120063;77;96;;25
120064;77;96;;15
120065;77;96;;25
120067;79;99;;5
120068;335;419;;5
120070;77;96;;25
120071;77;96;;5
120072;81;101;;25
120074;39;49;;25
120075;76;95;;25
120076;76;95;;25
120077;76;95;;25
120078;144;180;;25
120079;76;95;;25
120080;144;180;;5
120081;77;96;;25
120082;76;95;;25
120083;70;88;;25
120086;240;300;;15
120087;70;88;;25
120088;70;88;;25
120089;240;300;;25
120090;240;300;;25
120091;70;88;;25
120093;70;88;;25
120095;70;88;;25
120097;70;88;;5
120098;70;88;;25
120099;76;95;;25
120100;70;88;;25
120101;70;88;;25
120102;70;88;;25
120103;76;95;;25
120106;240;300;;25
120107;70;88;;25
120108;70;88;;25
120117;90;112;;5
120122;25;31;84;25
120123;225;281;;25
120124;225;281;;25
120126;25;31;84;25
120128;35;44;;25
120129;112;140;;25
120130;218;272;;25
120131;62;78;;25
120133;62;78;;15
120135;106;132;;25
120136;106;132;;25
120137;110;138;;25
120139;210;262;;25
120140;62;78;;25
120141;124;155;;25
120142;62;78;;25
120143;81;101;;25
120144;84;105;;25
120145;84;105;;25
120146;81;101;;25
120147;81;101;;25
120148;84;105;;25
120149;81;101;;15
120150;81;101;;25
120151;84;105;;25
120152;84;105;;15
120153;81;101;;25
120155;84;105;;25
120157;84;105;;25
120158;84;105;;25
120160;81;101;;25
120161;82;102;;25
120162;225;281;;25
120163;66;82;;25
120164;81;101;;25
120165;68;85;;25
120166;81;101;;25
120167;81;101;;25
120168;84;105;;25
120170;246;308;;25
120171;117;146;;25
120173;606;758;;15
120174;164;205;;25
120175;86;108;;25
120177;311;389;;25
120178;485;606;;15
120182;72;90;;25
120183;161;201;;25
120184;157;196;;25
120185;44;55;;25
120187;72;90;;25
120188;84;105;;25
120189;157;196;;25
120190;72;90;;25
120191;21;26;;25
120192;20;25;;25
120193;64;80;;25
120194;26;32;;25
120195;23;29;;25
120196;20;25;;25
120197;20;25;;25
120198;20;25;;25
120202;121;151;;25
120203;48;60;;25
120204;41;51;;25
120205;54;68;;25
120206;56;70;;25
120207;41;51;;25
120210;38;48;;25
120211;38;48;;25
120212;38;48;;25
120213;38;48;;25
120218;38;48;;25
120220;38;48;;25
120221;126;158;;25
120222;36;45;;25
120223;69;86;;25
120224;38;48;;25
120225;38;48;;15
120226;39;49;;25
120227;30;38;;25
120228;38;48;;25
120229;35;44;;25
120230;35;44;;25
