"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"WAFF конфета ваффельная с шоколадной начинкой 35 г";"ЧИМ ЧИМ соус для курицы в сладком чили 90 г;НАЦИОНАЛЬ фасоль Красная 450 г;BARILLA макароны Fettucсine 500 г";140010;"DIROL жевательная резинка Арбуз-Дыня 24x13 г"
"ЮБИЛЕЙНОЕ печенье Молочное с глазурью 348 г";"ЧИМ ЧИМ корейская заправка для Хе из рыбы 60 г;НАЦИОНАЛЬ Горох 900 г;BARILLA макароны Filini Vermicelles №30 500 г";140011;"DIROL жевательная резинка Лайм и Маракуйя 24x13 г"
"ЮБИЛЕЙНОЕ печенье С овсяными хлопьями 313 г";"ЧИМ ЧИМ соус Якитори для курицы 90 г;НАЦИОНАЛЬ Гречка Алтайская 800 г;BARILLA макароны Fusilli №98 500 г";140012;"DIROL жевательная резинка Морозная Мята 24x13 г"
"ЮБИЛЕЙНОЕ печенье С темной глазурью 348 г";"ЯМЧАН соус соевый Жгучий чили 200 мл;НАЦИОНАЛЬ Киноа 450 г;BARILLA макароны Girandole №34 500 г";140013;"DIROL жевательная резинка Сладкая Мята 24x13 г"
"ЮБИЛЕЙНОЕ печенье традиционное 313 г";"ЯМЧАН заправка для фунчозы 40 г;НАЦИОНАЛЬ крупа Гречневая ядрица 900 г;BARILLA макароны Lasagne 500 г";140014;"DIROL жевательная резинка X-Fresh Мятная Свежесть 12x16 г"
"МИШКА БАРНИ сэндвич Оригинальный вкус с кусочками темного шоколада 180гр";"ЯМЧАН заправка для моркови по-корейски 40 г;НАЦИОНАЛЬ крупа Манная 800 г;BARILLA макароны Penne Rigate №73 500 г";140015;"DIROL жевательная резинка X-Fresh Мятный Лед 12x16 г"
"МИШКА БАРНИ сэндвич Какао с кусочками темного шоколада 180гр";"МАКФА хлопья 4 Злака 400 г;НАЦИОНАЛЬ крупа Пшено 900 г;BARILLA макароны Piccolini Mini Farfalle №64 500 г";140016;"HALLS леденцы Colors 25 г"
"BELVITA печенье Утреннее какао и йогуртовая начинка 253 г";"МАКФА хлопья 5 Злаков 400 г;НАЦИОНАЛЬ Кускус 450 г;BARILLA макароны Piccolini Mini Penne Rigate №66 500 г";140017;"HALLS леденцы Мед с Лимоном 25 г"
"OREO печенье Двойная Начика ванильный вкус 170 г";"МАКФА хлопья Геркулес Традиционный 400 г;НАЦИОНАЛЬ Маш 450 г;BARILLA макароны Pipe Rigate №91 500 г";140018;"HALLS леденцы Ментол Экстра 25 г"
"ЮБИЛЕЙНОЕ печенье Традиционное 134 г";"МАКФА хлопья Гречневые 450 г;НАЦИОНАЛЬ Нут 450 г;BARILLA макароны Spaghetti №5 500 г";140019;"HALLS леденцы Оригинальный 25 гр"
"АКУЛЬЧЕВ вафли Венские со взбитыми сливками 105 г";"МАКФА хлопья Овсяные 400 г;НАЦИОНАЛЬ Premium рис Басмати 500 г;BARILLA макароны Spaghettini №3 500 г";140020;"MENTOS жевательная резинка Fresh Mint 12х15,5 г"
"ЮБИЛЕЙНОЕ печенье  Молочное 112 г";"МАКФА хлопья Овсяные с отрубями 400 г;НАЦИОНАЛЬ Premium рис Дикий 500 г;BARILLA макароны Stelline №27 500 г";140021;"MENTOS жевательная резинка Pure Fresh Свежая Мята 50 шт"
"ЮБИЛЕЙНОЕ печенье  С Глазурью какао 116 г";"НАЦИОНАЛЬ хлопья Геркулес 450 г;НАЦИОНАЛЬ Premium рис Ризотто 500 г;BARILLA макароны Tortiglioni №83 500 г";140022;"SULA леденцы Гранат без сахара с витамином С 60 гр"
"ЮБИЛЕЙНОЕ печенье  С Глазурью молочное 116 г";"РУССКИЙ ЗАВТРАК хлопья 4 злака крупные 400 г;НАЦИОНАЛЬ Premium рис смесь Золотистого и дикого 500 г;GRAND DI PASTA макароны Campanelle 500 г";140023;"TIC TAC драже Апельсиновый 6x16 г"
