"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"БАРСИК поглотитель запаха и пятен для кошек 500 мл";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см;УЮТ игрушки для кошек Дразнилка Перья фиолетово-синие 40 см";610070;"HILLS Natures Best сухой корм для кошек Naturally Gentle с курицей 2 кг"
"УЮТ игрушки для кошек Дразнилка Перья фиолетово-синие 40 см;N1 наполнитель для кошачьего туалета Crystals 12,5 л";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см;BREESAL Aqua-нейтрализатор Запаха Освежающий Микс 375 мл";620544;"ROYAL CANIN влажный корм Ageing 12+ (в желе) для кошек старше 12 лет 85 г"
"VORTEX нейтрализатор запаха Block свежесть 500 мл;УЮТ игрушки для кошек Орех мяч-погремушка прозрачный 4 см";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см;N1 наполнитель для кошачьего туалета Crystals 3 л";610063;"BRIT Premium влажный корм для котят Курица (соус) 85 г"
"VORTEX нейтрализатор запаха Block свежесть 500 мл;УЮТ игрушки для кошек Орех мяч-погремушка прозрачный 4 см";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;УЮТ игрушки для кошек Носок мягкий с погремушкой 10x8 см;N1 наполнитель для кошачьего туалета Crystals 3 л";610515;"N1 наполнитель для кошачьего туалета Crystals для котят 5 л"
"PI-PI-BENT наполнитель для кошачьего туалета Классик комкующийся 5 кг;УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;УЮТ средство для приучения к туалету Отучитель 250 мл;УЮТ игрушки для кошек Дразнилка Перья фиолетово-синие 40 см";620547;"ROYAL CANIN влажный корм Sterilised (в желе) для стерилизованных кошек 3+1 x 85 г"
"PI-PI-BENT наполнитель для кошачьего туалета Классик комкующийся 5 кг;УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;УЮТ средство для приучения к туалету Отучитель 250 мл;УЮТ игрушки для кошек Дразнилка Перья фиолетово-синие 40 см";610359;"KITEKAT влажный корм для кошек с индейкой в соусе 85 г"
"SYMPHONY очиститель воздуха От запахов животных 300 мл;УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;N1 наполнитель для кошачьего туалета Crystals антибактериальный 5 л;УЮТ игрушки для кошек Мяч-погремушка с шипами 5 см";620465;"PRO PLAN сухой корм для кошек Sterilised с лососем 0,4 кг"
"SYMPHONY очиститель воздуха От запахов животных 300 мл;УЮТ игрушки для кошек Мяч-погремушка с цветной мышкой 4 см";"8 IN 1 пивные дрожжи для кошек и собак Excel 260 шт;N1 наполнитель для кошачьего туалета Crystals антибактериальный 5 л;УЮТ игрушки для кошек Мяч-погремушка с шипами 5 см";610474;"МНЯМС Лакомые палочки для кошек с Индейкой и ягненком 15 гр"
"УЮТ игрушки для кошек Дразнилка Катушка сизаль 40 см;УЮТ игрушки для кошек Орех мяч-погремушка прозрачный 4 см";"БАРСИК наполнитель для кошачьего туалета Натуральный древесный 4,54 л;DREAMIES лакомство для кошек с курицей 140 г;BREESAL Aqua-нейтрализатор Запаха Освежающий Микс 375 мл";610220;"ROYAL CANIN сухой корм для кошек Maine Coon 2 кг"
"DREAMIES лакомство для кошек с сыром 60 г;УЮТ игрушки для кошек Мяч-погремушка с шипами 5 см";"БАРСИК наполнитель для кошачьего туалета Стандарт 4,5 л;УЮТ игрушки для кошек Дразнилка Катушка сизаль 40 см";610266;"ROYAL CANIN сухой корм для котят Kitten Maine Coon 2 кг"
