"Категории";"Основная категория";"Показывать товар";"Артикул";"Короткое название";"Характеристики";"Описание товара";"Цена_Трансазия";"Цена_Розничная";"Бренд";"Фотографии";"Цена_Зачеркнутая";"Сопутствующие товары";"Похожие товары"
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";1;460424;"FAIRY Капсулы для посудомоечных машин  Platinum 10 шт";"(Характеристики товара (Бытовая химия))Тип товара:Капсулы для посудомоечных машин;
(Характеристики товара (Бытовая химия))Бренд:FAIRY;
(Характеристики товара (Бытовая химия))Серия:Platinum;
(Характеристики товара (Бытовая химия))Страна происхождения:Бельгия;
(Характеристики товара (Бытовая химия))Упаковка:До 40 шт;
(Характеристики товара (Бытовая химия))Количество:10 шт;
(Характеристики товара (Бытовая химия))EAN:4015600785031;
(Характеристики товара (Бытовая химия))Количество:10 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00006403";"Капсулы FAIRY для посудомоечных машин Platinum --><br><p> Многокомпонентная капсула в индивидуальной водорастворимой упаковке, используется для мытья посуды в автоматических посудомоечных машинах. Включает в себя соль, ополаскиватель и непосредственно основное моющее средство в гранулированной форме. В состав которого входят специальные вещества, очищающие детали посудомоечной машины от жировых отложений и остатков пищи. Может применяться как профессиональное средство для мытья посуды, так и в домашних условиях. </p>
<br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li>Эффективно удаляет жир.</li><li>Исключен прямой контакт кожи рук и моющего средства.</li><li>Работает даже при низкой температуре и повышенной жесткости воды.</li><li>Приятный запах.</li><li>Обеспечивается полное растворение капсулы. </li><li>Эффект безупречной чистоты без разводов.</li><li>Предупреждает износ деталей посудомоечной машины.</li><li>Удобная и практичная упаковка 10капсул.</li>
<br>
<br>
Состав: >30% фосфаты; 5-15% неионогенные ПАВ, кислородсодержащие отбеливатели, поликарбоксилаты; <5% фосфонаты; энзимы, ароматизирующие добавки, цитронеллол, лимонен, линаоол.";276;345;"FAIRY";"/storage/photo/original/h/fairy-kapsuli-dlya-posudomoechnih-mashin-platinum-10-sht.jpg";;"DOMESTOS универсальный чистящий гель Свежесть Атлантики 1 л;АНТИЗАСОР чистящее средство Экспресс-формула ганулированное средство для удаления засора в трубах 70 г;SANFOR чистящее средство Activ Антиржавчина 750 мл";"МИФ Средство для мытья посуды Свежесть цитрусов 0,5 л;FAIRY Капсулы для посудомоечных машин  84 шт;FAIRY Капсулы для посудомоечных машин  Platinum 10 шт"
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";1;460425;"FAIRY Капсулы для посудомоечных машин  22+22 шт";"(Характеристики товара (Бытовая химия))Тип товара:Капсулы для посудомоечных машин;
(Характеристики товара (Бытовая химия))Бренд:FAIRY;
(Характеристики товара (Бытовая химия))Серия:All-in-1;
(Характеристики товара (Бытовая химия))Страна происхождения:Бельгия;
(Характеристики товара (Бытовая химия))Количество:44 шт;
(Характеристики товара (Бытовая химия))EAN:8001090041531;
(Характеристики товара (Бытовая химия))Количество:44 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00015951";"Капсулы FAIRY для посудомоечных машин --><br><p>Многокомпонентная капсула в индивидуальной водорастворимой упаковке, используется для мытья посуды в автоматических посудомоечных машинах. В ее состав входит соль, ополаскиватель, непосредственно моющее средство, а также специальные вещества, очищающие детали посудомоечной машины от жировых отложений и остатков пищи. Упаковка оснащена замком многократного открывания, что обеспечивает качественное хранение капсул. Необходимо полностью исключить попадание влаги на их поверхность.</p>
<br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li>Эффективно удаляет жир.</li><li>Исключен прямой контакт кожи рук и моющего средства.</li><li>Работает даже при низкой температуре и повышенной жесткости воды.</li><li>Приятный запах.</li><li>Обеспечивается полное растворение капсулы. </li><li>Эффект безупречной чистоты без разводов.</li><li>Предупреждает износ деталей посудомоечной машины.</li><li>Удобная и практичная упаковка 44 капсулы.</li>
<br>
<br>
Состав: >30% фосфаты; 5-15% неионогенные ПАВ, кислородсодержащие отбеливатели, поликарбоксилаты; <5% фосфонаты; энзимы, ароматизирующие добавки, цитронеллол, лимонен, линаоол.";501;626;"FAIRY";"/storage/photo/original/h/fairy-kapsuli-dlya-posudomoechnih-mashin-2222-sht.jpg";;"AOS средство для мытья посуды Апельсин и Мята 900 мл;DR. SCHNELL средство для очистки санитарных зон и удаления отложений Milizid 1 л;ЧИСТИН средство для очистки канализационных труб Сток 750 мл";"ЧИСТИН средство для удаления накипи в стиральных машинах Эффект 500 г;MR PROPER моющее средство Для Полов и Стен роза 1 л;FAIRY Капсулы для посудомоечных машин  22+22 шт"
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";1;460426;"FAIRY Капсулы для посудомоечных машин  84 шт";"(Характеристики товара (Бытовая химия))Тип товара:Капсулы для посудомоечных машин;
(Характеристики товара (Бытовая химия))Бренд:FAIRY;
(Характеристики товара (Бытовая химия))Серия:All-in-1;
(Характеристики товара (Бытовая химия))Страна происхождения:Бельгия;
(Характеристики товара (Бытовая химия))Количество:84 шт;
(Характеристики товара (Бытовая химия))EAN:8001090016003;
(Характеристики товара (Бытовая химия))Количество:84 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00015954";"Капсулы FAIRY для посудомоечных машин --><br><p>Многокомпонентная капсула в индивидуальной водорастворимой упаковке, используется для мытья посуды в автоматических посудомоечных машинах. В ее состав входит соль, ополаскиватель, непосредственно моющее средство, а также специальные вещества, очищающие детали посудомоечной машины от жировых отложений и остатков пищи. Упаковка оснащена замком многократного открывания, что обеспечивает качественное хранение капсул. Необходимо полностью исключить попадание влаги на их поверхность.</p>
<br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li>Эффективно удаляет жир.</li><li>Исключен прямой контакт кожи рук и моющего средства.</li><li>Работает даже при низкой температуре и повышенной жесткости воды.</li><li>Приятный запах.</li><li>Обеспечивается полное растворение капсулы. </li><li>Эффект безупречной чистоты без разводов.</li><li>Предупреждает износ деталей посудомоечной машины.</li><li>Удобная и практичная упаковка 26 капсул.</li>
<br>
<br>
Состав: >30% фосфаты; 5-15% неионогенные ПАВ, кислородсодержащие отбеливатели, поликарбоксилаты; <5% фосфонаты; энзимы, ароматизирующие добавки, цитронеллол, лимонен, линаоол.";;" ";"FAIRY";"/storage/photo/original/h/fairy-kapsuli-dlya-posudomoechnih-mashin-84-sht.jpg";1564;"DOMESTOS туалетный блок Power 5 Duo Ледяная магнолия 1 шт;МИФ Средство для мытья посуды Свежесть цитрусов 1 л;BAGI Средство против грибка и плесени Анти-Плесень 500 мл";"БОЛЬШАЯ СТИРКА средство от накипи в стиральных машинах 500 г;КРОТ средство для прочистки канализационных труб Активный 580 мл;FAIRY Капсулы для посудомоечных машин  84 шт"
"Бытовая химия/Моющие средства/Средства для посудомоечных машин";"Бытовая химия/Моющие средства/Средства для посудомоечных машин";1;460427;"FAIRY Капсулы для посудомоечных машин  Platinum 70 шт";"(Характеристики товара (Бытовая химия))Тип товара:Капсулы для посудомоечных машин;
(Характеристики товара (Бытовая химия))Бренд:FAIRY;
(Характеристики товара (Бытовая химия))Серия:Platinum;
(Характеристики товара (Бытовая химия))Страна происхождения:Бельгия;
(Характеристики товара (Бытовая химия))Количество:70 шт;
(Характеристики товара (Бытовая химия))EAN:8001090150677;
(Характеристики товара (Бытовая химия))Количество:70 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00031013";"Капсулы FAIRY для посудомоечных машин Platinum --><br><p> Многокомпонентная капсула в индивидуальной водорастворимой упаковке, используется для мытья посуды в автоматических посудомоечных машинах. Включает в себя соль, ополаскиватель и непосредственно основное моющее средство в гранулированной форме. В состав которого входят специальные вещества, очищающие детали посудомоечной машины от жировых отложений и остатков пищи. Может применяться как профессиональное средство для мытья посуды, так и в домашних условиях. </p>
<br><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li>Эффективно удаляет жир.</li><li>Исключен прямой контакт кожи рук и моющего средства.</li><li>Работает даже при низкой температуре и повышенной жесткости воды.</li><li>Приятный запах.</li><li>Обеспечивается полное растворение капсулы. </li><li>Эффект безупречной чистоты без разводов.</li><li>Предупреждает износ деталей посудомоечной машины.</li><li>Удобная и практичная упаковка 10капсул.</li>
<br>
<br>
Состав: >30% фосфаты; 5-15% неионогенные ПАВ, кислородсодержащие отбеливатели, поликарбоксилаты; <5% фосфонаты; энзимы, ароматизирующие добавки, цитронеллол, лимонен, линаоол.";;" ";"FAIRY";"/storage/photo/original/h/fairy-kapsuli-dlya-posudomoechnih-mashin-platinum-70-sht.jpg";1564;"BAGI чистящее средство Шуманит от Известкового Налета 550 мл;AOS средство для мытья посуды Лимон 450 мл;ЧЕРНЫЙ ЖЕМЧУГ молочко для снятия макияжа 200 мл";"VORTEX чистящее средство для удаления плесени и грибка Fungus 500 мл;АНТИЗАСОР чистящее средство Экспресс-формула ганулированное средство для удаления засора в трубах 70 г;FAIRY Капсулы для посудомоечных машин  Platinum 70 шт"
"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";1;460428;"DELISS ароматизатор для автомобиля Romance  картонный 1 шт";"(Характеристики товара (Бытовая химия))Тип товара:Ароматизатор для авто;
(Характеристики товара (Бытовая химия))Бренд:DELISS;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4607131429616;
(Характеристики товара (Бытовая химия))Количество:1 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00038787";"<p>
Ароматизатор DELISS Romance это несомненная находка для любого автолюбителя, которая создаст благоприятную атмосферу в вашем автомобиле, привнесет непревзойденную чистоту и свежесть. Основной особенностью является создание приятного запаха, а не маскировка его. Ароматизатор воздуха для автомобиля Deliss Romance подарит вам весеннее романтическое настроение. Парфюмерная композиция собрана из нот жасмина, ванили и ежевики, и обладает теплым чувственным ароматом. </p>
<br>
Особенности Продукта:
<br>
<li>
Постепенное распределение аромата в салоне автомобиля
<li>
Устраняет запах, не маскируя его
<li>
Эффективен против большинства запахов
<li>
Стильный дизайн, современная упаковка
<li>
Срок годности 36 месяцев со дня изготовления";62;78;"DELISS";"/storage/photo/original/h/deliss-aromatizator-dlya-avtomobilya-romance-kartonnij-1-sht.jpg";;"ENERGIZER батарейки Plus AA 4 шт;ENERGIZER батарейки MAX C/LR14 2 шт;DURACELL батарейки Turbo Max AA 4 шт";"VILEDA салфетка хозяйственная МикроТафф Бэйс 36х36 см красная 1 шт;СОЮЗГРИЛЬ решетка-гриль 22 х 22 см 1 шт;DELISS ароматизатор для автомобиля Romance  картонный 1 шт"
"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";1;460429;"DELISS ароматизатор для автомобиля Harmony  картонный 1 шт";"(Характеристики товара (Бытовая химия))Тип товара:Ароматизатор для авто;
(Характеристики товара (Бытовая химия))Бренд:DELISS;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4607131429609;
(Характеристики товара (Бытовая химия))Количество:1 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00038789";"<p>
Ароматизатор DELISS Harmony это несомненная находка для автолюбителя, которая создаст благоприятную атмосферу в вашем автомобиле, привнесет непревзойденную чистоту и свежесть. Основной особенностью является создание приятного запаха, а не маскировка его. Ароматизатор воздуха для авто Deliss серии Harmony – это нежный природный аромат, в котором переплетаются ноты цитрона, вербены, олеандра. Парфюмерная композиция этой серии отличается спокойствием и прохладой. </p>
<br>
Особенности Продукта:
<br>
<li>
Постепенное распределение аромата в салоне автомобиля
<li>
Устраняет запах, не маскируя его
<li>
Эффективен против большинства запахов
<li>
Стильный дизайн, современная упаковка
<li>
Срок годности 36 месяцев со дня изготовления";62;78;"DELISS";"/storage/photo/original/h/deliss-aromatizator-dlya-avtomobilya-harmony-kartonnij-1-sht.jpg";;"DURACELL батарейки Turbo Max AA 8 шт;ЧИСТЮЛЯ губка Оттиратор меламиновая для сложных пятен 1 шт;ДОМИНГО Салфетка из микрофибры для уборки Plush-up";"ENERGIZER батарейки Maximum AA 4 шт;СОЮЗГРИЛЬ решетка-гриль Универсальная с регулируемой высотой 24 х 37 см;DELISS ароматизатор для автомобиля Harmony  картонный 1 шт"
"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";1;460430;"DELISS ароматизатор для автомобиля Romance  мембранный 4 мл";"(Характеристики товара (Бытовая химия))Тип товара:Ароматизатор для авто;
(Характеристики товара (Бытовая химия))Бренд:DELISS;
(Характеристики товара (Бытовая химия))Страна происхождения:Италия;
(Характеристики товара (Бытовая химия))EAN:4607131427711;
(Характеристики товара (Бытовая химия))Количество:1 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00038797";"<p>
Ароматизатор DELISS Romance это несомненная находка для любого автолюбителя, которая создаст благоприятную атмосферу в вашем автомобиле, привнесет непревзойденную чистоту и свежесть. Основной особенностью является создание приятного запаха, а не маскировка его. Ароматизатор воздуха для автомобиля Deliss Romance подарит вам весеннее романтическое настроение. Парфюмерная композиция собрана из нот жасмина, ванили и ежевики, и обладает теплым чувственным ароматом. </p>
<br>
Особенности Продукта:
<br>
<li>
Постепенное распределение аромата в салоне автомобиля
<li>
Устраняет запах, не маскируя его
<li>
Эффективен против большинства запахов
<li>
Стильный дизайн, современная упаковка
<li>
Срок годности 36 месяцев со дня изготовления
<li>
Легко крепится к дефлектору системы вентиляции";197;246;"DELISS";"/storage/photo/original/h/deliss-aromatizator-dlya-avtomobilya-romance-membrannij-4-ml.jpg";;"СОЮЗГРИЛЬ решетка-гриль универсальная с регулируемой высотой 25 х 32 см 1 шт;Набор для уборки УльтраСпид Мини Красный;EVEREADY батарейка SuperHD 9V 1 шт";"DURACELL зарядное устройство для аккумуляторов CEF15;VILEDA салфетка вискозная универсальная 38х40 см красная 1 шт;DELISS ароматизатор для автомобиля Romance  мембранный 4 мл"
"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";1;460431;"DELISS ароматизатор для автомобиля  Joy  картонный 1 шт";"(Характеристики товара (Бытовая химия))Тип товара:Ароматизатор для авто;
(Характеристики товара (Бытовая химия))Бренд:DELISS;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4607131429623;
(Характеристики товара (Бытовая химия))Количество:1 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00038788";"<p>
Ароматизатор DELISS Joy это несомненная находка для любого автолюбителя, которая создаст благоприятную атмосферу в вашем автомобиле, привнесет непревзойденную чистоту и свежесть. Основной особенностью является создание приятного запаха, а не маскировка его. Яркий игривый аромат Deliss серии Joy создаст бодрое игривое настроение на весь день. В освежителе собраны фруктовые сладкие ноты дыни и нектарина, в сочетании с сочными нотами лемонграсса. </p>
<br>
Особенности Продукта:
<br>
<li>
Постепенное распределение аромата в салоне автомобиля
<li>
Устраняет запах, не маскируя его
<li>
Эффективен против большинства запахов
<li>
Стильный дизайн, современная упаковка
<li>
Срок годности 36 месяцев со дня изготовления";62;78;"DELISS";"/storage/photo/original/h/deliss-aromatizator-dlya-avtomobilya-joy-kartonnij-1-sht.jpg";;"DURACELL батарейки Basic AAA 8 шт;FORESTER решетка-гриль со съёмной ручкой;СОЮЗГРИЛЬ Брикеты угольные длительного горения 2 кг";"ЧИСТЮЛЯ ЛЕГКАЯ салфетки вискозные тонкие 5 шт;KLEENEX салфетки универсальные Viva в рулоне1 шт;DELISS ароматизатор для автомобиля  Joy  картонный 1 шт"
"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";1;460432;"DELISS нейтрализатор запаха  для автомобиля Comfort Тройного действия 100 мл";"(Характеристики товара (Бытовая химия))Тип товара:Ароматизатор для авто;
(Характеристики товара (Бытовая химия))Бренд:DELISS;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4607131429012;
(Характеристики товара (Бытовая химия))Количество:1 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00038785";"<p>
Нейтрализатор воздуха DELISS Comfort это незаменимая вещь в салоне автомобиля, которая создаст благоприятную атмосферу, привнесет непревзойденную чистоту и свежесть. Без труда нейтрализует и устраняет причину неприятного запаха не только в воздухе, но и на поверхности, оставляя в вашем автомобиле легкий аромат свежести. Наносится методом распыления. Это инновационное средство нового поколения, действующее на молекулярном уровне. Парфюмерная композиция, состоящая из озона, лотоса, секвойи подарит теплый чувственный аромат. </p>
<br>
Особенности Продукта:
<br>
<li>
Постепенное распределение аромата в салоне автомобиля
<li>
Нейтрализует запах, не маскируя его
<li>
Эффективен против большинства запахов
<li>
Стильный дизайн, современная упаковка
<li>
Срок годности 36 месяцев со дня изготовления";231;289;"DELISS";"/storage/photo/original/h/deliss-nejtralizator-zapaha-dlya-avtomobilya-comfort-trojnogo-dejstviya-100-ml.jpg";;"DURACELL батарейка CR2 3V для фотоаппаратов 1 шт;FORESTER Решетка-гриль для рыбы 1 шт;ЧИСТЮЛЯ губка поролоновая для ванной";"FORESTER решетка-гриль малая;VILEDA салфетка вискозная универсальная 38х40 см зеленая 1 шт;DELISS нейтрализатор запаха  для автомобиля Comfort Тройного действия 100 мл"
"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";"Бытовая химия/Освежители воздуха/Ароматизаторы для автомобилей";1;460433;"DELISS ароматизатор для автомобиля Comfort  картонный 1 шт";"(Характеристики товара (Бытовая химия))Тип товара:Ароматизатор для авто;
(Характеристики товара (Бытовая химия))Бренд:DELISS;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4607131429593;
(Характеристики товара (Бытовая химия))Количество:1 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00038786";"<p>
Ароматизатор DELISS Comfort это несомненная находка для любого автолюбителя, которая создаст благоприятную атмосферу в вашем автомобиле, привнесет непревзойденную чистоту и свежесть. Основной особенностью является создание приятного запаха, а не маскировка его. Ароматизатор воздуха для автомобиля Deliss Comfort подарит вам отличное настроение. Парфюмерная композиция подарит теплый чувственный аромат. </p>
<br>
Особенности Продукта:
<br>
<li>
Постепенное распределение аромата в салоне автомобиля
<li>
Устраняет запах, не маскируя его
<li>
Эффективен против большинства запахов
<li>
Стильный дизайн, современная упаковка
<li>
Срок годности 36 месяцев со дня изготовления";62;78;"DELISS";"/storage/photo/original/h/deliss-aromatizator-dlya-avtomobilya-comfort-kartonnij-1-sht.jpg";;"DURACELL батарейки Turbo Max AA 8 шт;FORESTER решетка-гриль для стейков 22 х 44 см 1 шт;FORESTER решетка-гриль большая с антипригарным покрытием";"ЧИСТЮЛЯ губка поролоновая с абразивом Маленькая кухня XL 1 шт;FORESTER решетка-гриль для овощей объемная 21 х 28 см 1 шт;DELISS ароматизатор для автомобиля Comfort  картонный 1 шт"
