"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"DUREX презервативы Classic 12 шт";"CONTEX презервативы Ribbed ребристые 3 шт";370010;"CONTEX презервативы Romantic Love ароматизированные 3 шт"
"EVITEST One тест для определения беременности";"CONTEX презервативы Lights 12 шт";370011;"CONTEX презервативы Lights 3 шт"
"DUREX презервативы Classic 12 шт";"CONTEX презервативы Lights 3 шт";370012;"CONTEX презервативы Classic 3 шт"
"CONTEX презервативы Lights 3 шт";"CONTEX презервативы Classic 3 шт";370013;"CONTEX презервативы Ribbed ребристые 3 шт"
"CONTEX презервативы Classic 3 шт";"CONTEX презервативы Ribbed ребристые 3 шт";370014;"CONTEX презервативы Lights 12 шт"
"CONTEX презервативы Ribbed ребристые 3 шт";"CONTEX презервативы Lights 12 шт";370015;"CONTEX презервативы Classic 12 шт"
"CONTEX презервативы Lights 12 шт";"CONTEX презервативы Classic 12 шт";370016;"DUREX презервативы Elite 3 шт"
"CONTEX презервативы Classic 12 шт";"DUREX презервативы Elite 3 шт";370017;"DUREX презервативы Dual Extase 3 шт"
"DUREX презервативы Elite 3 шт";"DUREX презервативы Dual Extase 3 шт";370018;"DUREX презервативы Invisible Emoji 3 шт"
"DUREX презервативы Dual Extase 3 шт";"DUREX презервативы Invisible Emoji 3 шт";370019;"DUREX презервативы Classic 12 шт"
"DUREX презервативы Invisible Emoji 3 шт";"DUREX презервативы Classic 12 шт";370020;"EVITEST One тест для определения беременности"
"DUREX презервативы Classic 12 шт";"EVITEST One тест для определения беременности";;
"EVITEST One тест для определения беременности";;;
