"Цена_АмизянЦена_Розничная";;"Остаток";"Артикул"
12,75;17,85;7265;610355
12,75;17,85;8491;610352
12,75;17,85;10373;610354
12,75;17,85;10848;610357
12,75;17,85;10866;610356
12,75;17,85;10960;610358
17,4;24,36;11;610399
17,4;24,36;339;610412
17,4;24,36;440;610413
17,75;24,85;38;610400
23,64;33,096;4106;120057
25,28;35,392;858;120227
29,38;41,132;12039;120222
29,64;41,496;4449;120185
32,23;45,122;4989;120140
32,43;45,402;7884;140214
32,43;45,402;16874;140209
33,79;47,306;9648;140208
33,79;47,306;20218;140204
33,79;47,306;35540;140207
33,9;47,46;53;120212
33,9;47,46;62;120210
33,9;47,46;356;120209
33,9;47,46;376;120213
33,9;47,46;522;120220
33,9;47,46;532;120219
33,9;47,46;683;120217
33,9;47,46;736;120218
33,9;47,46;852;120211
33,9;47,46;1789;120224
34,24;47,936;80;120228
34,41;48,174;281;120131
34,88;48,832;17084;140215
35,43;49,602;13898;140202
35,43;49,602;32769;140206
35,97;50,358;13964;140205
36,68;51,352;2843;120229
36,83;51,562;4426;140203
37,22;52,108;361;110260
37,93;53,102;251;140217
38,21;53,494;153;110221
39,26;54,964;945;120207
39,55;55,37;351;120204
39,55;55,37;1114;120226
39,94;55,916;1003;120133
39,98;55,972;59;120053
39,98;55,972;608;120054
41,18;57,652;67;110199
43,21;60,494;1350;120163
44,4;62,16;59;120157
44,4;62,16;114;120145
44,4;62,16;117;120146
44,4;62,16;181;120153
44,4;62,16;196;120148
44,4;62,16;247;120155
44,4;62,16;298;120167
44,4;62,16;327;120159
44,4;62,16;378;120150
44,4;62,16;393;120143
44,4;62,16;402;120158
44,4;62,16;414;120168
44,4;62,16;507;120147
44,4;62,16;515;120149
44,4;62,16;677;120164
44,4;62,16;693;120166
44,87;62,818;308;110206
47,49;66,486;453;110301
48,18;67,452;504;110127
48,18;67,452;818;110256
48,18;67,452;11322;110264
48,58;68,012;218;110211
49,05;68,67;5047;110290
49,34;69,076;547;110137
50,85;71,19;420;120244
50,85;71,19;463;120249
50,85;71,19;781;120245
52,17;73,038;14897;110106
53,56;74,984;814;124023
53,56;74,984;2004;124022
55,66;77,924;668;124025
56,86;79,604;354;110254
57,63;80,682;283;120084
57,63;80,682;306;120101
57,63;80,682;1887;120088
57,63;80,682;2961;120105
57,63;80,682;10514;140286
59,33;83,062;232;140292
59,33;83,062;277;140288
59,33;83,062;316;140289
59,33;83,062;365;140275
59,33;83,062;374;140284
59,33;83,062;387;140287
59,33;83,062;444;140285
59,51;83,314;812;124030
59,51;83,314;1230;124015
59,51;83,314;2329;124032
59,51;83,314;2873;124017
59,85;83,79;3203;120188
59,89;83,846;9877;120091
60,1;84,14;433;120083
60,1;84,14;538;120087
60,1;84,14;573;120085
60,1;84,14;583;120094
60,12;84,168;148;120100
60,12;84,168;171;120097
60,12;84,168;198;120098
60,12;84,168;1246;120108
60,12;84,168;2091;120102
62;86,8;14248;140280
63,78;89,292;378;120239
63,84;89,376;1059;120232
63,84;89,376;1638;120235
65,54;91,756;177;110319
65,69;91,966;4517;110283
65,85;92,19;83;120065
65,85;92,19;101;120071
65,85;92,19;501;120059
65,85;92,19;942;120060
67,8;94,92;7481;110201
68,78;96,292;804;120103
69,93;97,902;3465;110147
70,09;98,126;251;110236
72,32;101,248;149;140291
72,32;101,248;477;140277
72,32;101,248;1711;140274
72,32;101,248;3456;140278
72,41;101,374;138;110255
72,41;101,374;189;110262
72,51;101,514;682;120079
73,46;102,844;204;140290
73,52;102,928;270;110217
75,17;105,238;108;120050
76,78;107,492;73;124026
76,78;107,492;162;124027
76,78;107,492;209;124029
76,78;107,492;250;124020
76,78;107,492;294;124028
77,7;108,78;7911;110107
78,88;110,432;239;121013
78,93;110,502;123;127008
78,93;110,502;129;127009
78,93;110,502;142;127010
78,93;110,502;248;127006
79,48;111,272;190;124019
79,48;111,272;306;124031
79,73;111,622;455;120051
80,13;112,182;308;110302
81,1;113,54;5292;110291
81,7;114,38;258;127011
82,28;115,192;379;110138
82,42;115,388;6833;140213
82,43;115,402;3716;140210
83,25;116,55;2021;110286
83,83;117,362;838;121010
83,94;117,516;546;110238
84,62;118,468;207;110231
86,46;121,044;363;110210
86,55;121,17;172;110184
86,55;121,17;180;110181
86,55;121,17;1180;110177
86,8;121,52;334;110313
87,01;121,814;1459;110173
88,14;123,396;7111;110205
88,8;124,32;3996;110284
91,02;127,428;690;120056
93,15;130,41;455;121018
93,15;130,41;482;121007
93,15;130,41;1707;121005
93,41;130,774;357;110245
94,09;131,726;145;110209
94,15;131,81;226;110208
94,67;132,538;240;110234
94,67;132,538;500;110233
95,36;133,504;777;110237
95,46;133,644;1948;110280
97,84;136,976;125;110214
98,53;137,942;49;121011
98,53;137,942;339;121015
100,17;140,238;510;110320
101,57;142,198;880;110115
101,7;142,38;4189;120221
102,12;142,968;12295;110109
103,84;145,376;559;110242
104,07;145,698;620;110179
104,34;146,076;1477;120139
106,02;148,428;1252;120189
106,56;149,184;42;110295
107,24;150,136;205;110318
107,67;150,738;143;110273
107,84;150,976;;110263
107,9;151,06;1367;110100
108,78;152,292;2164;110146
109,34;153,076;103;110180
109,4;153,16;154;110229
110,51;154,714;94;110218
111,72;156,408;3967;120184
114,13;159,782;298;110311
;0;918;110099
117,13;163,982;174;110227
117,38;164,332;505;110142
120,98;169,372;115;110304
121,36;169,904;4815;110202
122,47;171,458;140;110312
124,32;174,048;773;110271
128,95;180,53;194;170378
130,32;182,448;105;110216
