"Цена_Трансазия";"Показывать товар";"Категории";"Основная категория";"Артикул";"Описание товара";"Короткое название";"Цена_Розничная";"Характеристики";"Бренд";"Фотографии"
"100";"1";"Бытовая химия/Средства от насекомых/От комаров, клещей";"Бытовая химия/Средства от насекомых/От комаров, клещей";"460248";"<p>
Детский  защитный крем от комаров Моё солнышко эффективно защищает от комаров, слепней и других летающих насекомых. Наносится на кожу или одежду, защищает до 2х часов, применять не более 3 раз в сутки. Подходит для детей от 1 года.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Возраст: от одного года
<li>Время защиты до 2 часов
<li>Гипоаллергенно";"МОЕ СОЛНЫШКО Крем от комаров детский";"125";"(Характеристики товара (Бытовая химия))Тип товара:Репеллент;
(Характеристики товара (Бытовая химия))Бренд:МОЕ СОЛНЫШКО;
(Характеристики товара (Бытовая химия))Для кого:Для детей;
(Характеристики товара (Бытовая химия))Форма:Крем;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4606711703740;
(Характеристики товара (Бытовая химия))Объем:50 мл;
(Характеристики товара (Бытовая химия))Код товара:00000036990";"МОЕ СОЛНЫШКО";"/storage/photo/original/b/moe-solnishko-krem-ot-komarov-detskij.jpg"
"104";"1";"Средства гигиены/Душ и ванная/Гели для душа";"Средства гигиены/Душ и ванная/Гели для душа";"380063";"Густой гель для душа с натуральными экстрактом шелка и земляники, и протеинами молока. Отлично вспенивается и очищает. Удивит вас вкусным насыщенным ароматом и подарит хорошее настроение. Бережно очищает кожу, тонизирует и подпитывает ее полезными микроэлементами. Подходит для регулярного применения.</p><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Молоко и земляника<li>Приятный аромат<li>Подходит для всех типов кожи.<br>Состав: Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Chloride, Soyamide DEA, Styrene/Acrylates Copolymer, Hydrolyzed Milk Protein (протеины молока), Fragaria Vesca Leaf Extract (экстракт земляники), Bombyx Mori Еxtract (экстракт шелка), Disodium EDTA, Citric Acid, Parfum, Methylchlоroisothiazolinone, Мethylisothiazolinone.";"МИЛК крем-гель для душа Молоко и земляника 800 мл";"130";"(Характеристики товара (Средства гигиены))Тип товара:Гели для душа;
(Характеристики товара (Средства гигиены))Бренд:МИЛК;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:4670002412833;
(Характеристики товара (Средства гигиены))Объем:800 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00001267";"МИЛК";"/storage/photo/original/b/milk-krem-gel-dlya-dusha-moloko-i-zemlyanika-800-ml.jpg"
"107";"1";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"460244";"Концентрированное моющее средство для ручного мытья посуды. Новая формула обеспечивает глубокое проникновение в жировое отложение и расщепление его изнутри даже в холодной воде, не требуя дополнительного замачивания. Осуществляет должный уход за стеклянной посудой, предотвращая коррозию и износ, а также образование разводов и помутнения после мытья. Густая консистенция, дает возможность экономно расходовать моющее средство и отмыть большее количество посуды. Обладает приятным цитрусовым запахом. Не сушит кожу рук. Протестирован дерматологами и соответствует ГОСТ РФ по смываемости с поверхности посуды. </p><br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br>
<li> Отмывает большее количество посуды за те же деньги.</li><li> Бережно относится к коже рук.</li><li> Эффективно справляется с самыми сложными жировыми загрязнениями. </li><li> Без остатка смывается водой.</li><li> Нейтрализует неприятные запахи.</li><li> Экономичная концентрированная формула. </li><li> Удобная и герметичная упаковка.</li>
<br>
<br>
Состав: 15-30% анионные ПАВ, 5-15% неионогенные ПАВ, консерванты,ароматизирующие добавки, 2-(4-тертбутилбензил) пропиональдегид,гексилкоричный альдегид, лимонен.";"FAIRY Platinum Средство для мытья посуды Лимон и лайм 430 мл";"134";"(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Бренд:FAIRY;
(Характеристики товара (Бытовая химия))Серия:Platinum;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Страна происхождения:Чехия;
(Характеристики товара (Бытовая химия))Фасовка:0,4 - 0,7 л;
(Характеристики товара (Бытовая химия))EAN:4015600519797;
(Характеристики товара (Бытовая химия))Объем:430 мл;
(Характеристики товара (Бытовая химия))Код товара:00000039061";"FAIRY";"/storage/photo/original/b/fairy-platinum-sredstvo-dlya-mitya-posudi-limon-i-lajm-430-ml.jpg"
"107";"1";"Средства гигиены/Душ и ванная/Соли и пены для ванн";"Средства гигиены/Душ и ванная/Соли и пены для ванн";"380064";"Релаксирующая пена для ванн Organic Beauty создана для снятия напряжения и усталости. Прованская лаванда помогает снять эмоциональную нагрузку и восстановить гармоничное состояние. Легкий аромат свежесобранной мелиссы очищает сознание от накопившихся за день мыслей и поднимает настроение. Входящие в состав пены для ванн 100% натуральные экстракты питают кожу полезными микроэлементами и обеспечивают Вам и Вашей коже настоящую SPA-процедуру в домашних условиях.</p><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Содержит 100% натуральные экстракты</li><li>Не содержит парабены и SLS</li>";"ORGANIC BEAUTY пена для ванн Релаксирующая Лаванда и Мелисса 1000 мл";"134";"(Характеристики товара (Средства гигиены))Тип товара:Пена для ванн;
(Характеристики товара (Средства гигиены))Бренд:ORGANIC BEAUTY;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:4670002411133;
(Характеристики товара (Средства гигиены))Объем:1000 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00022929";"ORGANIC BEAUTY";"/storage/photo/original/b/organic-beauty-pena-dlya-vann-relaksiruyushaya-lavanda-i-melissa-1000-ml.jpg"
"1071";"1";"Средства гигиены/Душ и ванная/Шампуни";"Средства гигиены/Душ и ванная/Шампуни";"380080";"Немецкая косметическа компания Indola разработала великолепный шампунь для жирной кожи головы Indola Innova Specialist Cleansing Shampoo. Высокоэффективные средства в составе шампуня очищают, стимулируют и укрепляют волосы. Заботятся о специфическом уходе за проблемными волосами.
Натуральная формула шампуня позволяет мягко очищать волосы от жира и различных загрязнений. Волосы становятся чистыми, блестящими и послушными.<br>
<br>
Способ применения: Шампунь для частого применения. Нанести на мокрые волосы. Помассировать и оставить на 2 минуты. Тщательно смыть. При необходимости повторить.";"INDOLA шампунь Cleansing 1,5 л";"1339";"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:INDOLA;
(Характеристики товара (Средства гигиены))Серия:Innova Cleansing;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Страна происхождения:ГЕРМАНИЯ;
(Характеристики товара (Средства гигиены))EAN:4045787388732;
(Характеристики товара (Средства гигиены))Объем:1,5 л";"INDOLA";"/storage/photo/original/b/indola-shampun-cleansing-15-l.jpg"
"1071";"1";"Средства гигиены/Душ и ванная/Шампуни";"Средства гигиены/Душ и ванная/Шампуни";"380081";"Уникальный шампунь Indola Innova Color Silver Shampoo позволит каждой даме получить благородный и чарующий оттенок волос, избежав появления желтизны. Предлагаемое средство содержит особый комплекс с пигментами синего и фиолетового оттенков, благодаря которым поседевшие, а также осветленные волосы обретут неповторимое сияние и блеск. Этот придающий серебристый оттенок шампунь содержит в своем составе множество питательных компонентов, а также аминокислот, которые интенсивно питают волосы, делают их более здоровыми и шелковистыми. Регулярно используя Indola Innova Color Silver Shampoo, вы сможете забыть о частом повторном окрашивании, поскольку ваши волосы будут долго сохранять превосходный яркий оттенок. Применять предлагаемый шампунь стоит не чаще одного раза в неделю. Его необходимо нанести на волосы после мытья головы и тщательно смыть через пару минут. Данный продукт не имеет противопоказаний к использованию и прекрасно подойдет к любому типу волос.
<br>
Способ применения: после мытья головы нанести шампунь Indola color silver shampoo, помассировать и через 1-3 минуты промыть волосы. Можно использовать один раз в неделю.";"INDOLA шампунь Silver для светлых волос 1,5 л";"1339";"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:INDOLA;
(Характеристики товара (Средства гигиены))Серия:Innova Silver;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Страна происхождения:ГЕРМАНИЯ;
(Характеристики товара (Средства гигиены))EAN:4045787387490;
(Характеристики товара (Средства гигиены))Объем:1,5 л";"INDOLA";"/storage/photo/original/b/indola-shampun-silver-dlya-svetlih-volos-15-l.jpg"
"108";"1";"Товары для дома/Элементы питания/Батареи";"Товары для дома/Элементы питания/Батареи";"250173";"Алкалиновые батарейки Energizer обеспечивают длительную работу электроприборов, идеально подходят для часто используемых устройств.";"ENERGIZER батарейки MAX AA 4 шт (3+1)";"135";"(Характеристики товара (Товары для дома))Тип товара:Батарейки;
(Характеристики товара (Товары для дома))Бренд:ENERGIZER;
(Характеристики товара (Товары для дома))Страна происхождения:СИНГАПУР;
(Характеристики товара (Товары для дома))Тип элемента:АА (LR6);
(Характеристики товара (Товары для дома))EAN:7638900412062;
(Характеристики товара (Товары для дома))Количество:4 шт;
(Характеристики товара (Товары для дома))Код товара:CB-00001219";"ENERGIZER";"/storage/photo/original/b/energizer-batarejki-max-aa-4-sht-31.jpg"
"111";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560105";"<p>
Крем-краска разработана для придания волосам насыщенного жизненной энергией цвета. В комплекте с краской идет бальзам для нанесения на волосы перед окрашиванием, который подготавливает ваши волосы. После этой процедуры краска проникает глубоко внутрь волоса и остается там до 8 недель.
<br>
<br>
В комплекте: 1 тюбик с краской (50 мл), 1 тюбик с проявителем (50 мл), 1 пакетик с бальзамом-стабилизатором цвета (10 мл), 1 пара перчаток, инструкция по применению.
</p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<br>
<li>Номер оттенка: 14 </li>
<li>Цвет: Светлый шатен</li>";"LONDA крем-краска для волос стойкая Светлый шатен 14";"139";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:LONDA;
(Характеристики товара (Косметика и уход))Серия:Стойкая крем-краска;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4015203134144;
(Характеристики товара (Косметика и уход))Объем:50/50/10 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00008178";"LONDA";"/storage/photo/original/b/londa-krem-kraska-dlya-volos-stojkaya-svetlij-shaten-14.jpg"
"111";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560104";"<p>
Крем-краска разработана для придания волосам насыщенного жизненной энергией цвета. В комплекте с краской идет бальзам для нанесения на волосы перед окрашиванием, который подготавливает ваши волосы. После этой процедуры краска проникает глубоко внутрь волоса и остается там до 8 недель.
<br>
<br>
В комплекте: 1 тюбик с краской (50 мл), 1 тюбик с проявителем (50 мл), 1 пакетик с бальзамом-стабилизатором цвета (10 мл), 1 пара перчаток, инструкция по применению.
</p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<br>
<li>Номер оттенка: 44 </li>
<li>Цвет: Светло-каштановый</li>";"LONDA крем-краска для волос стойкая Светло-каштановый 44";"139";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:LONDA;
(Характеристики товара (Косметика и уход))Серия:Стойкая крем-краска;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4015203134441;
(Характеристики товара (Косметика и уход))Объем:50/50/10 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00008242";"LONDA";"/storage/photo/original/b/londa-krem-kraska-dlya-volos-stojkaya-svetlo-kashtanovij-44.jpg"
"111";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560103";"<p>
Крем-краска разработана для придания волосам насыщенного жизненной энергией цвета. В комплекте с краской идет бальзам для нанесения на волосы перед окрашиванием, который подготавливает ваши волосы. После этой процедуры краска проникает глубоко внутрь волоса и остается там до 8 недель.
<br>
<br>
В комплекте: 1 тюбик с краской (50 мл), 1 тюбик с проявителем (50 мл), 1 пакетик с бальзамом-стабилизатором цвета (10 мл), 1 пара перчаток, инструкция по применению.
</p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<br>
<li>Номер оттенка: 19 </li>
<li>Цвет: Платиновый блондин</li>";"LONDA крем-краска для волос стойкая Платиновый блондин 19";"139";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:LONDA;
(Характеристики товара (Косметика и уход))Серия:Стойкая крем-краска;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4015203134199;
(Характеристики товара (Косметика и уход))Объем:50/50/10 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00008456";"LONDA";"/storage/photo/original/b/londa-krem-kraska-dlya-volos-stojkaya-platinovij-blondin-19.jpg"
