"Короткое название";"Артикул";"Бренд";"Цена_Розничная";"Цена_Зачеркнутая";"Цена_Трансазия";"Характеристики";"Описание товара";"Категории";"Основная категория";"Показывать товар";"Фотографии"
"7 DAYS круассан CHIPICAO мини Драконы 50 г";140087;"7 DAYS";31;0;25;"(Характеристики товара (Продукты))Тип товара:Круассаны;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:5201360000000;
(Характеристики товара (Продукты))Вес:50 г;
(Характеристики товара (Продукты))";"<p>
Круассан 7 Days CHIPICAO- идеальное сочетание еды и веселья! Chipicao - это круассаны и коллекционный подарок с любимыми героями в каждой упаковке.</p>

Состав:
Тесто: мука пшеничная хлебопекарная высшего сорта, маргарин (пальмовое масло, вода питьевая, соль поваренная пищевая, эмульгатор (моно - и диглицериды жирных кислот), регулятор кислотности (лимонная кислота), консервант (сорбат калия 0,1%), вода питьевая, сахар, глюкозный сироп, дрожжи хлебопекарные прессованные, стабилизатор (моно - и диглицериды жирных кислот), соль поваренная пищевая, ароматизатор, молокосодержащий продукт (молочный белок, стабилизатор (ксантановая камедь), эмульгатор (рапсовый лецитин), регулятор кислотности (лимонная кислота), консервант (пропионат кальция 0,1%). Крем какао 23%: сахар, пальмовое масло, вода питьевая, обезжиренный какао порошок 7%, молоко сухое обезжиренное, спирт этиловый ректификованный из пищевого сырья ""Люкс"" крепость 96,3% об., эмульгатор (моно - и диглицериды жирных кислот), ароматизатор, загуститель (альгинат натрия), консервант (сорбат калия 0,1%).";"Продукты/Кондитерские изделия/Круассаны, пирожные, рулеты";"Продукты/Кондитерские изделия/Круассаны, пирожные, рулеты";1;"/storage/photo/original/h/7-days-kruassan-chipicao-mini-drakoni-50-g.jpg"
"АВЗ витамины для щенков Радостин от 21 дня до 18 мес с говядиной и пребиотики 90 т";620345;"АВЗ";172;0;138;"(Характеристики товара (Зоотовары))Тип товара:Витамины для собак;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4603590000000;
(Характеристики товара (Зоотовары))Количество:90 шт;
(Характеристики товара (Зоотовары))";"Витаминно-минеральный комплекс Радостин для щенков от 21 дня до 18 месяцев. Содержит 11 витаминов, 7 минералов и пребиотики для нормализации обмена веществ и укрепления иммунитета растущего организма, а также профилактики витаминно-минеральной недостаточности. «Радостин» содержит: биологически активные вещества, уникальные пребиотики, нормализующие процессы пищеварения; хитозан – своеобразное «транспортное средство», доставляющее необходимые вещества к органам и тканям; гидролизат беломорских мидий, повышающий устойчивость организма к опасным для него воздействиям окружающей среды; таурин, регулирующий функционирование нервной системы и обеспечивающий целостность сетчатки глаза. Препарат оказывает синергидное действие на здоровье собак и кошек, выражающееся в нормализации обмена веществ, профилактики витаминной и минеральной недостаточности и заболеваний, развивающихся на их фоне. «Радостин» повышает жизненный тонус и сопротивляемость организма животных болезням.</p>ОСОБЕННОСТИ ПРОДУКТА:<li>оптимизация роста и развития щенков
полноценное формирование костной ткани и зубов
укрепление мускулатуры и сухожилий
профилактика и лечение минеральной недостаточности, гипо- и авитоминозов
повышение устойчивости к стрессам и различным заболеваниям
улучшение состояния кожи и шерсти
улучшение работы ЖКТ и повышение аппетита
</li>";"Зоотовары/Товары для собак/Лакомства, Витамины для собак";"Зоотовары/Товары для собак/Лакомства, Витамины для собак";1;"/storage/photo/original/h/avz-vitamini-dlya-shenkov-radostin-ot-21-dnya-do-18-mes-s-govyadinoj-i-prebiotiki-90-t.jpg"
"БАРСИК наполнитель для кошачьего туалета Кукурузный 4,5 л";610493;"БАРСИК";109;0;87;"(Характеристики товара (Зоотовары))Тип товара:Наполнитель гигиенический;
(Характеристики товара (Зоотовары))Страна происхождения:РОССИЯ;
(Характеристики товара (Зоотовары))EAN:4605430000000;
(Характеристики товара (Зоотовары))Объем:4.5 л;
(Характеристики товара (Зоотовары))";"<p>
Гигиенический наполнитель для кошачьего туалета Барсик растительного происхождения, созданный из кукурузных волокон, обработанных и спресованных по специальной технологии. Без содержания искусственных добавок. Наполнитель Барсик – великолепный продукт из природных компонентов, удивительные свойства которых – впитывать и удерживать влагу, а также поглощать запахи. Еще одним достоинством данного наполнителя является возможность смывания его в унитаз, что категорически запрещено делать в случае использования силикагелевых наполнителей для кошачьих туалетов. </p>

Особенности Продукта:

<li>
Эффективно впитывает влагу
<li>
Надежно удерживает неприятный запах
<li>
Препятствует появлению бактерий
<li>
Экономичен в использовании
<li>
Удобен в использовании, не требует полной замены содержимого лотка
<li>
Не прилипает к шерстке и лапам кошки
<li>
Безопасен при случайном попадании внутрь организма животного";"Зоотовары/Товары для кошек/Наполнители для туалета";"Зоотовары/Товары для кошек/Наполнители для туалета";1;"/storage/photo/original/h/barsik-napolnitel-dlya-koshachego-tualeta-kukuruznij-45-l.jpg"
"БИОЛАН Средство для мытья посуды Бальзам с Алоэ вера 0,45 л";430198;"БИОЛАН";48;0;34;"(Характеристики товара (Бытовая химия))Объем:450 мл;
(Характеристики товара (Бытовая химия))Серия:Бальзам;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Фасовка:0,4 - 0,7 л;
(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4604050000000;
(Характеристики товара (Бытовая химия))";"<p> Средство для мытья посуды БИОЛАН - оптимальное соотношение цены и качества. Улучшенная формула, обладает более густой консистенцией. Входящие в состав активные компоненты направлены на удаление самого стойкого жира, даже при низких температурах. Прекрасно пенится и тщательно выполаскивается, не оставляя разводов на поверхности посуды. Содержит глицерин, который удерживает влагу в коже, предотвращает ее сухость после мытья посуды. Экстракт ромашки оказывает смягчающее действие. </p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Новая экономичная формула. </li><li> Эффективное удаление жира. </li><li> Ухаживает за кожей рук. </li><li> Не оставляет разводов и придает посуде блеск.</li>";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";1;"/storage/photo/original/h/biolan-sredstvo-dlya-mitya-posudi-balzam-s-aloe-vera-045-l.jpg"
"БИОЛАН Средство для мытья посуды Бальзам с Алоэ вера 0,9 л";430199;"БИОЛАН";85;0;60;"(Характеристики товара (Бытовая химия))Объем:900 мл;
(Характеристики товара (Бытовая химия))Серия:Бальзам;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Фасовка:0,9 - 1 л;
(Характеристики товара (Бытовая химия))Тип товара:Для посуды;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4604050000000;
(Характеристики товара (Бытовая химия))";"<p> Средство для мытья посуды БИОЛАН - оптимальное соотношение цены и качества. Улучшенная формула, обладает более густой консистенцией. Входящие в состав активные компоненты направлены на удаление самого стойкого жира, даже при низких температурах. Прекрасно пенится и тщательно выполаскивается, не оставляя разводов на поверхности посуды. Содержит глицерин, который удерживает влагу в коже, предотвращает ее сухость после мытья посуды. Экстракт ромашки оказывает смягчающее действие. </p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Новая экономичная формула. </li><li> Эффективное удаление жира. </li><li> Ухаживает за кожей рук. </li><li> Не оставляет разводов и придает посуде блеск.</li>";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";"Бытовая химия/Моющие средства/Средства для ручного мытья посуды";1;"/storage/photo/original/h/biolan-sredstvo-dlya-mitya-posudi-balzam-s-aloe-vera-09-l.jpg"
"БИОЛАН стиральный порошок Апельсин и Лимон автомат 0,35 кг";460265;"БИОЛАН";55;;44;"(Характеристики товара (Бытовая химия))Серия:Апельсин и лимон;
(Характеристики товара (Бытовая химия))Вес:350 г;
(Характеристики товара (Бытовая химия))Фасовка:0,3 - 1 кг;
(Характеристики товара (Бытовая химия))Тип белья:Белое;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Тип товара:Стиральный порошок;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4604050000000;
(Характеристики товара (Бытовая химия))";"Стиральный порошок эконом-класса для стирки белого белья в автоматических стиральных машинах любого типа. Содержит биодобавки и перикисные соли. Это способствует отстирыванию любых пятен, не оказывая влияния на ткань. Так же обладает системой активного отбеливания, которая позволяет сохранять белые вещи в первозданном виде стирка за стиркой. Может использоваться в стирке хлопка, синтетики, льна, в том числе и тканей со смешанными волокнами. Имеет низкий уровень пенообразования, что положительно влияет на эксплуатацию вашей стиральной машины. После стирки белье приобретает приятный аромат цитрусовых.</p><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Не подходит для деликатных тканей.</li><li>Действует даже при низких температурах.</li><li>Приспособлен к жесткой воде.</li><li>Не содержит хлор.</li><li>Не оставляет следов на одежде после сушки.</li><li>Качественный продукт по низкой цене.</li><li>Компактная упаковка 350 г.</li>";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";1;"/storage/photo/original/h/biolan-stiralnij-poroshok-apelsin-i-limon-avtomat-035-kg.jpg"
"БИОЛАН стиральный порошок Белые цветы автомат 0,35 кг";410289;"БИОЛАН";45;0;31;"(Характеристики товара (Бытовая химия))Серия:Белые цветы;
(Характеристики товара (Бытовая химия))Вес:350 г;
(Характеристики товара (Бытовая химия))Фасовка:0,3 - 1 кг;
(Характеристики товара (Бытовая химия))Тип белья:Белое;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Тип товара:Стиральный порошок;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4604050000000;
(Характеристики товара (Бытовая химия))";"Стиральный порошок эконом-класса для стирки белого белья в автоматических стиральных машинах любого типа. Содержит биодобавки и перикисные соли. Это способствует отстирыванию любых пятен, не оказывая влияния на ткань. Так же обладает системой активного отбеливания, которая позволяет сохранять белые вещи в первозданном виде стирка за стиркой. Может использоваться в стирке хлопка, синтетики, льна, в том числе и тканей со смешанными волокнами. Имеет низкий уровень пенообразования, что положительно влияет на эксплуатацию вашей стиральной машины. После стирки белье наполняется приятным цветочным ароматом.</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Не подходит для деликатных тканей.</li><li>Действует даже при низких температурах.</li><li>Приспособлен к жесткой воде.</li><li>Не содержит хлор.</li><li>Не оставляет следов на одежде после сушки.</li><li>Качественный продукт по низкой цене.</li><li>Компактная упаковка 350 г.</li>";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";1;"/storage/photo/original/h/biolan-stiralnij-poroshok-belie-cveti-avtomat-035-kg.jpg"
"БИОЛАН стиральный Порошок Эконом Эксперт Автомат 0,35 кг";410297;"БИОЛАН";57;0;44;"(Характеристики товара (Бытовая химия))Серия:Эконом эксперт;
(Характеристики товара (Бытовая химия))Вес:350 г;
(Характеристики товара (Бытовая химия))Фасовка:0,3 - 1 кг;
(Характеристики товара (Бытовая химия))Тип белья:Белое;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Тип товара:Стиральный порошок;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4604050000000;
(Характеристики товара (Бытовая химия))";"Стиральный порошок эконом-класса для стирки белого белья в автоматических стиральных машинах любого типа. Содержит биодобавки и перикисные соли. Это способствует отстирыванию любых пятен, не оказывая влияния на ткань. Так же обладает системой активного отбеливания, которая позволяет сохранять белые вещи в первозданном виде стирка за стиркой. Может использоваться в стирке хлопка, синтетики, льна, в том числе и тканей со смешанными волокнами.  Имеет низкий уровень пенообразования, что положительно влияет на эксплуатацию вашей стиральной машины. После стирки белье приобретает приятный аромат.</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Не подходит для деликатных тканей.</li><li>Действует даже при низких температурах.</li><li>Приспособлен к жесткой воде.</li><li>Не содержит хлор.</li><li>Не оставляет следов на одежде после сушки.</li><li>Качественный продукт по низкой цене.</li><li>Компактная упаковка 350 г.</li>";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";1;"/storage/photo/original/h/biolan-stiralnij-poroshok-ekonom-ekspert-avtomat-035-kg.jpg"
"БИОЛАН стиральный порошок Эконом Эксперт ручная стирка 0,35 кг";410300;"БИОЛАН";38;0;26;"(Характеристики товара (Бытовая химия))Серия:Эконом эксперт;
(Характеристики товара (Бытовая химия))Вес:350 г;
(Характеристики товара (Бытовая химия))Фасовка:0,3 - 1 кг;
(Характеристики товара (Бытовая химия))Тип белья:Белое;
(Характеристики товара (Бытовая химия))Тип стирки:Ручная;
(Характеристики товара (Бытовая химия))Тип товара:Стиральный порошок;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4604050000000;
(Характеристики товара (Бытовая химия))";"Стиральный порошок эконом-класса для ручной стирки белого белья. Содержит биодобавки и перикисные соли. Это способствует отстирыванию любых пятен, не оказывая влияния на ткань. Так же обладает системой активного отбеливания, которая позволяет сохранять белые вещи в первозданном виде стирка за стиркой. Может использоваться в стирке хлопка, синтетики, льна, в том числе и тканей со смешанными волокнами.  Имеет низкий уровень пенообразования, что положительно влияет на эксплуатацию вашей стиральной машины. После стирки белье приобретает приятный аромат.</p>ОСОБЕННОСТИ ПРОДУКТА:<li>Не подходит для деликатных тканей.</li><li>Действует даже при низких температурах.</li><li>Приспособлен к жесткой воде.</li><li>Не содержит хлор.</li><li>Не оставляет следов на одежде после сушки.</li><li>Качественный продукт по низкой цене.</li><li>Компактная упаковка 350 г.</li>";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";1;"/storage/photo/original/h/biolan-stiralnij-poroshok-ekonom-ekspert-ruchnaya-stirka-035-kg.jpg"
"ВАРЕНКА Сгущенка Вареная с Сахаром 370 гр";150240;"КОРОВКА ИЗ КОРЕНОВКИ";56;0;43;"(Характеристики товара (Продукты))Тип товара:Сгущенное молоко;
(Характеристики товара (Продукты))Страна происхождения:РОССИЯ;
(Характеристики товара (Продукты))EAN:4607110000000;
(Характеристики товара (Продукты))Вес:370 г;
(Характеристики товара (Продукты))";"Сгущенка вареная с сахаром 8,5%</p><br>ОСОБЕННОСТИ ПРОДУКТА:";"Продукты/Бакалея/Молоко сгущенное";"Продукты/Бакалея/Молоко сгущенное";1;"/storage/photo/original/h/varenka-sgushenka-varenaya-s-saharom-370-gr.jpg"
