"Артикул";"Цена_Амизян";"Цена_Розничная";"Остаток"
610355;12,75;17,85;7265
610352;12,75;17,85;8491
610354;12,75;17,85;10373
610357;12,75;17,85;10848
610356;12,75;17,85;10866
610358;12,75;17,85;10960
610399;17,4;24,36;11
610412;17,4;24,36;339
610413;17,4;24,36;440
610400;17,75;24,85;38
120057;23,64;33,096;4106
120227;25,28;35,392;858
120222;29,38;41,132;12039
120185;29,64;41,496;4449
120140;32,23;45,122;4989
140214;32,43;45,402;7884
140209;32,43;45,402;16874
140208;33,79;47,306;9648
140204;33,79;47,306;20218
140207;33,79;47,306;35540
120212;33,9;47,46;53
120210;33,9;47,46;62
120209;33,9;47,46;356
120213;33,9;47,46;376
120220;33,9;47,46;522
120219;33,9;47,46;532
120217;33,9;47,46;683
120218;33,9;47,46;736
120211;33,9;47,46;852
120224;33,9;47,46;1789
120228;34,24;47,936;80
120131;34,41;48,174;281
140215;34,88;48,832;17084
140202;35,43;49,602;13898
140206;35,43;49,602;32769
140205;35,97;50,358;13964
120229;36,68;51,352;2843
140203;36,83;51,562;4426
110260;37,22;52,108;361
140217;37,93;53,102;251
110221;38,21;53,494;153
120207;39,26;54,964;945
120204;39,55;55,37;351
120226;39,55;55,37;1114
120133;39,94;55,916;1003
120053;39,98;55,972;59
120054;39,98;55,972;608
110199;41,18;57,652;67
120163;43,21;60,494;1350
120157;44,4;62,16;59
120145;44,4;62,16;114
120146;44,4;62,16;117
120153;44,4;62,16;181
120148;44,4;62,16;196
120155;44,4;62,16;247
120167;44,4;62,16;298
120159;44,4;62,16;327
120150;44,4;62,16;378
120143;44,4;62,16;393
120158;44,4;62,16;402
120168;44,4;62,16;414
120147;44,4;62,16;507
120149;44,4;62,16;515
120164;44,4;62,16;677
120166;44,4;62,16;693
110206;44,87;62,818;308
110301;47,49;66,486;453
110127;48,18;67,452;504
110256;48,18;67,452;818
110264;48,18;67,452;11322
110211;48,58;68,012;218
110290;49,05;68,67;5047
110137;49,34;69,076;547
120244;50,85;71,19;420
120249;50,85;71,19;463
120245;50,85;71,19;781
110106;52,17;73,038;14897
124023;53,56;74,984;814
124022;53,56;74,984;2004
124025;55,66;77,924;668
110254;56,86;79,604;354
120084;57,63;80,682;283
120101;57,63;80,682;306
120088;57,63;80,682;1887
120105;57,63;80,682;2961
140286;57,63;80,682;10514
140292;59,33;83,062;232
140288;59,33;83,062;277
140289;59,33;83,062;316
140275;59,33;83,062;365
140284;59,33;83,062;374
140287;59,33;83,062;387
140285;59,33;83,062;444
124030;59,51;83,314;812
124015;59,51;83,314;1230
124032;59,51;83,314;2329
124017;59,51;83,314;2873
120188;59,85;83,79;3203
120091;59,89;83,846;9877
120083;60,1;84,14;433
120087;60,1;84,14;538
120085;60,1;84,14;573
120094;60,1;84,14;583
120100;60,12;84,168;148
120097;60,12;84,168;171
120098;60,12;84,168;198
120108;60,12;84,168;1246
120102;60,12;84,168;2091
140280;62;86,8;14248
120239;63,78;89,292;378
120232;63,84;89,376;1059
120235;63,84;89,376;1638
110319;65,54;91,756;177
110283;65,69;91,966;4517
120065;65,85;92,19;83
120071;65,85;92,19;101
120059;65,85;92,19;501
120060;65,85;92,19;942
110201;67,8;94,92;7481
120103;68,78;96,292;804
