"Артикул";"Цена_Амизян";"Цена_Розничная";"Остаток"
610355;12,75;18;7265
610352;12,75;18;8491
610354;12,75;18;10373
610357;12,75;18;10848
610356;12,75;18;10866
610358;12,75;18;10960
610399;17,4;24;11
610412;17,4;24;339
610413;17,4;24;440
610400;17,75;25;38
120057;23,64;33;4106
120227;25,28;35;858
120222;29,38;41;12039
120185;29,64;41;4449
120140;32,23;45;4989
140214;32,43;45;7884
140209;32,43;45;16874
140208;33,79;47;9648
140204;33,79;47;20218
140207;33,79;47;35540
120212;33,9;47;53
120210;33,9;47;62
120209;33,9;47;356
120213;33,9;47;376
120220;33,9;47;522
120219;33,9;47;532
120217;33,9;47;683
120218;33,9;47;736
120211;33,9;47;852
120224;33,9;47;1789
120228;34,24;48;80
120131;34,41;48;281
140215;34,88;49;17084
140202;35,43;50;13898
140206;35,43;50;32769
140205;35,97;50;13964
120229;36,68;51;2843
140203;36,83;52;4426
110260;37,22;52;361
140217;37,93;53;251
110221;38,21;53;153
120207;39,26;55;945
120204;39,55;55;351
120226;39,55;55;1114
120133;39,94;56;1003
120053;39,98;56;59
120054;39,98;56;608
110199;41,18;58;67
120163;43,21;60;1350
120157;44,4;62;59
120145;44,4;62;114
120146;44,4;62;117
120153;44,4;62;181
120148;44,4;62;196
120155;44,4;62;247
120167;44,4;62;298
120159;44,4;62;327
120150;44,4;62;378
120143;44,4;62;393
120158;44,4;62;402
120168;44,4;62;414
120147;44,4;62;507
120149;44,4;62;515
120164;44,4;62;677
120166;44,4;62;693
110206;44,87;63;308
110301;47,49;66;453
110127;48,18;67;504
110256;48,18;67;818
110264;48,18;67;11322
110211;48,58;68;218
110290;49,05;69;5047
110137;49,34;69;547
120244;50,85;71;420
120249;50,85;71;463
120245;50,85;71;781
110106;52,17;73;14897
124023;53,56;75;814
124022;53,56;75;2004
124025;55,66;78;668
110254;56,86;80;354
120084;57,63;81;283
120101;57,63;81;306
120088;57,63;81;1887
120105;57,63;81;2961
140286;57,63;81;10514
140292;59,33;83;232
140288;59,33;83;277
140289;59,33;83;316
140275;59,33;83;365
140284;59,33;83;374
140287;59,33;83;387
140285;59,33;83;444
124030;59,51;83;812
124015;59,51;83;1230
124032;59,51;83;2329
124017;59,51;83;2873
120188;59,85;84;3203
120091;59,89;84;9877
120083;60,1;84;433
120087;60,1;84;538
120085;60,1;84;573
120094;60,1;84;583
120100;60,12;84;148
120097;60,12;84;171
120098;60,12;84;198
120108;60,12;84;1246
120102;60,12;84;2091
140280;62;87;14248
120239;63,78;89;378
120232;63,84;89;1059
120235;63,84;89;1638
110319;65,54;92;177
110283;65,69;92;4517
120065;65,85;92;83
120071;65,85;92;101
120059;65,85;92;501
120060;65,85;92;942
110201;67,8;95;7481
120103;68,78;96;804
110147;69,93;98;3465
110236;70,09;98;251
140291;72,32;101;149
140277;72,32;101;477
140274;72,32;101;1711
140278;72,32;101;3456
110255;72,41;101;138
110262;72,41;101;189
120079;72,51;102;682
140290;73,46;103;204
110217;73,52;103;270
120050;75,17;105;108
124026;76,78;107;73
124027;76,78;107;162
124029;76,78;107;209
124020;76,78;107;250
124028;76,78;107;294
110107;77,7;109;7911
121013;78,88;110;239
127008;78,93;111;123
127009;78,93;111;129
127010;78,93;111;142
127006;78,93;111;248
124019;79,48;111;190
124031;79,48;111;306
120051;79,73;112;455
110302;80,13;112;308
110291;81,1;114;5292
127011;81,7;114;258
110138;82,28;115;379
140213;82,42;115;6833
140210;82,43;115;3716
110286;83,25;117;2021
121010;83,83;117;838
110238;83,94;118;546
110231;84,62;118;207
110210;86,46;121;363
110184;86,55;121;172
110181;86,55;121;180
110177;86,55;121;1180
110313;86,8;122;334
110173;87,01;122;1459
110205;88,14;123;7111
110284;88,8;124;3996
120056;91,02;127;690
121018;93,15;130;455
121007;93,15;130;482
121005;93,15;130;1707
110245;93,41;131;357
110209;94,09;132;145
110208;94,15;132;226
110234;94,67;133;240
110233;94,67;133;500
110237;95,36;134;777
110280;95,46;134;1948
110214;97,84;137;125
121011;98,53;138;49
121015;98,53;138;339
110320;100,17;140;510
110115;101,57;142;880
120221;101,7;142;4189
110109;102,12;143;12295
110242;103,84;145;559
110179;104,07;146;620
120139;104,34;146;1477
120189;106,02;148;1252
110295;106,56;149;42
110318;107,24;150;205
110273;107,67;151;143
110263;107,84;151;
110100;107,9;151;1367
110146;108,78;152;2164
110180;109,34;153;103
110229;109,4;153;154
110218;110,51;155;94
120184;111,72;156;3967
110311;114,13;160;298
110099;;" ";918
110227;117,13;164;174
110142;117,38;164;505
110304;120,98;169;115
110202;121,36;170;4815
110312;122,47;171;140
110271;124,32;174;773
170378;128,95;181;194
110216;130,32;182;105
110267;130,98;183;1049
160109;131,52;184;6
110239;131,62;184;416
110293;134,09;188;2211
140283;134,58;188;389
110261;136,17;191;250
160108;138,18;193;7
110062;;" ";1807
110228;141,66;198;521
110274;142,08;199;120
110272;144,3;202;456
110246;149,13;209;390
110317;149,16;209;262
110116;149,85;210;2118
110204;151,42;212;1788
110243;152,54;214;190
121014;153,51;215;95
110240;154,01;216;95
120052;154,22;216;18
170377;155,4;218;370
110247;157,34;220;62
110063;157,4;220;482
110140;161,21;226;364
116005;163,73;229;2665
110183;164,06;230;88
110178;164,06;230;378
110235;165,4;232;387
120234;171;239;38
110287;172,05;241;1518
110219;173,48;243;135
110103;174,27;244;6273
170374;179,07;251;377
170375;179,07;251;578
110223;180,31;252;16
110225;180,31;252;29
110224;180,31;252;39
110114;184,26;258;836
121008;184,8;259;102
121019;184,8;259;110
121006;184,8;259;164
110241;185,76;260;262
120092;192,1;269;1044
124018;198,32;278;10
124021;198,34;278;95
124013;202,81;284;122
120104;207,16;290;2024
127005;210,94;295;55
110117;212,01;297;9
170376;212,34;297;1241
110139;216,08;287;402
110200;216,2;288;682
124033;220,38;293;78
124016;220,38;293;108
124024;224,27;298;79
110148;227,55;303;1
160115;234,92;312;2
160112;234,92;312;11
110279;238,65;317;152
