"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Бытовая химия))Код товара:CB-00028668";"BREF туалетный блок Сила-Актив лимонная свежесть 2 шт";430455
"(Характеристики товара (Бытовая химия))Код товара:CB-00029143";"МИФ стиральный порошок Морозная Свежесть ручная стирка 1,8 кг";460261
"(Характеристики товара (Средства гигиены))Код товара:CB-00029418";"MATOPAT вата хирургическая медицинская Нестерильная 50 г";360013
"(Характеристики товара (Средства гигиены))Код товара:CB-00029954";"INDOLA шампунь Silver для светлых волос 1,5 л";380081
"(Характеристики товара (Средства гигиены))Код товара:CB-00029966";"INDOLA шампунь Cleansing 1,5 л";380080
"(Характеристики товара (Детские товары))Код товара:CB-00030018";"СОЛНЦЕ И ЛУНА влажные салфетки Для Детей с экстрактом алоэ 15 шт";360122
"(Характеристики товара (Детские товары))Код товара:CB-00030018";"СОЛНЦЕ И ЛУНА влажные салфетки для детей с экстрактом алоэ 15 шт";360132
"(Характеристики товара (Детские товары))Код товара:CB-00034569";"СОЛНЦЕ И ЛУНА подгузники-трусики для девочек Нежное Прикосновение 6 (16+ кг) 37 шт";710384
"(Характеристики товара (Средства гигиены))Код товара:CB-00035243";"ЛЕСНОЙ БАЛЬЗАМ ополаскиватель для полости рта Кедровые орешки и шалфей 250 мл";310241
"(Характеристики товара (Бытовая химия))Код товара:CB-00035369";"PERSIL гель для стирки Power Gel 360 1,5 л";460272
"(Характеристики товара (Бытовая химия))Код товара:CB-00035947";"VORTEX чистящее средство Daze для обезжиривания и удаления нагара 1 л";430441
"(Характеристики товара (Средства гигиены))Код товара:CB-00036032";"PLUSHE бумажные полотенца Light 2 слоя белые 2 шт";360050
"(Характеристики товара (Средства гигиены))Код товара:CB-00037465";"SYOSS бальзам-ополаскиватель Pure&Care Свежесть и уход 500 мл";330158
"(Характеристики товара (Средства гигиены))Код товара:CB-00040892";"SYOSS бальзам-ополаскиватель Salon Plex Реставрация для поврежденных волос 500 мл";330159
